NUM,SMAPE,n_changepoints,trend_reg,weekly_seasonality,learning_rate
1.0,0.5926703660067723,10.0,0.1,30.0,0.01
2.0,2.520214950308798,20.0,0.6,35.0,0.05
3.0,3.049710878132673,20.0,0.6,33.0,0.01
4.0,21.799494357181217,20.0,0.1,30.0,0.01
5.0,7.593745276031023,10.0,0.6,33.0,0.01
6.0,8.545267673428928,20.0,0.1,30.0,0.01
7.0,11.018372102660804,10.0,0.6,35.0,0.05
8.0,5.919134283476189,12.0,0.1,30.0,0.01
9.0,2.498820150258281,12.0,0.1,33.0,0.01
10.0,12.999640101082658,12.0,0.6,30.0,0.05
11.0,10.377436144969181,10.0,0.1,35.0,0.05
12.0,7.602413792323425,20.0,0.1,30.0,0.01
13.0,5.7188785013606465,12.0,0.1,30.0,0.01
14.0,4.940341670168831,12.0,0.1,30.0,0.01
15.0,8.353351302847857,10.0,0.1,33.0,0.05
16.0,2.4907012538875795,20.0,0.1,33.0,0.01
17.0,4.610006669989072,10.0,0.6,30.0,0.01
18.0,12.33514588835008,20.0,0.1,35.0,0.05
19.0,11.81632119495064,12.0,0.6,30.0,0.05
20.0,8.647139188912746,12.0,0.6,30.0,0.05
21.0,6.433819020310333,10.0,0.6,33.0,0.05
22.0,2.458929685935223,12.0,0.6,30.0,0.01
23.0,10.826802700994376,10.0,0.1,30.0,0.01
24.0,3.2982408039178592,10.0,0.1,35.0,0.01
25.0,7.109341570617512,12.0,0.6,35.0,0.01
26.0,3.383345300839174,12.0,0.6,35.0,0.05
27.0,15.501854369833136,20.0,0.1,33.0,0.05
28.0,5.006240724108045,20.0,0.1,30.0,0.01
29.0,6.932786292340243,12.0,0.1,33.0,0.05
30.0,7.81262153167254,20.0,0.1,35.0,0.05
31.0,1.879343067449168,12.0,0.6,35.0,0.01
32.0,0.84387829250707,20.0,0.6,35.0,0.05
33.0,1.2310657915096423,10.0,0.6,33.0,0.01
34.0,10.157091250090264,12.0,0.1,33.0,0.05
35.0,10.486280846181021,20.0,0.1,33.0,0.01
36.0,6.59047020558686,12.0,0.6,30.0,0.05
37.0,4.566169883727205,12.0,0.6,35.0,0.01
38.0,4.491437121358988,20.0,0.1,35.0,0.01
39.0,7.441913854847866,10.0,0.1,33.0,0.01
40.0,12.103395367613848,20.0,0.6,33.0,0.05
41.0,9.766591306396036,10.0,0.6,33.0,0.01
42.0,11.212886634849188,20.0,0.6,35.0,0.01
43.0,5.214250120281045,10.0,0.1,35.0,0.01
44.0,8.837630924513244,10.0,0.6,30.0,0.01
45.0,4.382969587542312,12.0,0.1,30.0,0.05
46.0,5.81039826239658,10.0,0.6,30.0,0.01
47.0,3.825177631790528,12.0,0.6,33.0,0.01
48.0,14.06661312860039,10.0,0.1,35.0,0.01
49.0,6.8399201394617934,12.0,0.6,35.0,0.05
50.0,10.159962744047645,12.0,0.6,35.0,0.05
51.0,7.2829997044094865,10.0,0.6,33.0,0.05
52.0,3.0208426839759026,20.0,0.6,33.0,0.01
53.0,3.736970841980046,12.0,0.1,35.0,0.05
54.0,4.42595375470752,12.0,0.1,35.0,0.01
55.0,6.8663708909150225,12.0,0.1,33.0,0.01
56.0,17.719957628818264,10.0,0.1,30.0,0.01
57.0,6.7004268867204315,20.0,0.6,35.0,0.01
58.0,4.250419434774454,20.0,0.1,30.0,0.05
59.0,11.776032437039259,12.0,0.1,35.0,0.01
60.0,5.204186495707053,20.0,0.1,35.0,0.05
