NUM,SMAPE,n_changepoints,trend_reg,weekly_seasonality,learning_rate
1.0,0.5926703660067723,10.0,0.1,30.0,0.01
2.0,2.520214950308798,20.0,0.6,35.0,0.05
3.0,3.0497108781326734,20.0,0.6,33.0,0.01
4.0,19.532101183164436,30.0,0.6,30.0,0.05
5.0,7.593745276031022,10.0,0.6,33.0,0.01
6.0,8.545267673428928,20.0,0.1,30.0,0.01
7.0,10.674829382825916,5.0,0.6,35.0,0.05
8.0,5.919134283476188,12.0,0.1,30.0,0.01
9.0,2.4988201502582807,12.0,0.1,33.0,0.01
10.0,12.999640101082658,12.0,0.6,30.0,0.05
11.0,10.013346708606194,3.0,0.6,35.0,0.05
12.0,7.602413792323425,20.0,0.1,30.0,0.01
13.0,5.718878501360647,12.0,0.1,30.0,0.01
14.0,4.940341670168832,12.0,0.1,30.0,0.01
15.0,8.353351302847857,10.0,0.1,33.0,0.05
16.0,2.4907012538875795,20.0,0.1,33.0,0.01
17.0,4.6100066699890725,10.0,0.6,30.0,0.01
18.0,11.744301533357833,40.0,0.1,38.0,0.05
19.0,12.986786738986865,12.0,0.6,25.0,0.05
20.0,8.647139188912746,12.0,0.6,30.0,0.05
21.0,6.433819020310332,10.0,0.6,33.0,0.05
22.0,2.458929685935223,12.0,0.6,30.0,0.01
23.0,10.588654968894796,13.0,0.1,25.0,0.05
24.0,3.2982408039178592,10.0,0.1,35.0,0.01
25.0,7.109341570617512,12.0,0.6,35.0,0.01
26.0,3.383345300839174,12.0,0.6,35.0,0.05
27.0,15.501854369833136,20.0,0.1,33.0,0.05
28.0,5.006240724108045,20.0,0.1,30.0,0.01
29.0,6.932786292340242,12.0,0.1,33.0,0.05
30.0,7.81262153167254,20.0,0.1,35.0,0.05
31.0,1.8793430674491682,12.0,0.6,35.0,0.01
32.0,0.84387829250707,20.0,0.6,35.0,0.05
33.0,1.2310657915096423,10.0,0.6,33.0,0.01
34.0,9.946709626248845,25.0,0.1,30.0,0.05
35.0,10.48628084618102,20.0,0.1,33.0,0.01
36.0,6.59047020558686,12.0,0.6,30.0,0.05
37.0,4.566169883727205,12.0,0.6,35.0,0.01
38.0,4.491437121358988,20.0,0.1,35.0,0.01
39.0,7.441913854847867,10.0,0.1,33.0,0.01
40.0,10.848572134514505,20.0,0.6,35.0,0.01
41.0,9.766591306396037,10.0,0.6,33.0,0.01
42.0,10.777431265743052,25.0,0.6,34.0,0.05
43.0,5.2142501202810445,10.0,0.1,35.0,0.01
44.0,8.837630924513245,10.0,0.6,30.0,0.01
45.0,4.382969587542312,12.0,0.1,30.0,0.05
46.0,5.81039826239658,10.0,0.6,30.0,0.01
47.0,3.8251776317905284,12.0,0.6,33.0,0.01
48.0,10.555850364985076,5.0,0.1,40.0,0.01
49.0,6.8399201394617934,12.0,0.6,35.0,0.05
50.0,10.407411829066945,12.0,0.6,35.0,0.05
51.0,7.2829997044094865,10.0,0.6,33.0,0.05
52.0,3.0208426839759026,20.0,0.6,33.0,0.01
53.0,3.7369708419800465,12.0,0.1,35.0,0.05
54.0,4.425953754707519,12.0,0.1,35.0,0.01
55.0,6.866370890915023,12.0,0.1,33.0,0.01
56.0,9.178760727416243,7.0,0.1,30.0,0.05
57.0,6.700426886720432,20.0,0.6,35.0,0.01
58.0,4.250419434774454,20.0,0.1,30.0,0.05
59.0,11.794894155265581,12.0,0.1,35.0,0.05
60.0,5.204186495707053,20.0,0.1,35.0,0.05
