,단독다가구(매매)_실거래가,아파트(매매)_실거래가,연립다세대(매매)_실거래가,오피스텔(매매)_실거래가,평균실거래가
2006,25247.863864491843,21315.016768916157,8988.094103269172,9356.390410958904,16226.841286909019
2007,29207.201138519926,24496.71299513551,11457.41137800253,8386.58426966292,18386.97744533022
2008,34973.60340632604,31572.327852998067,15046.502796768178,9344.36612021858,22734.200044077716
2009,39783.033755274264,31225.276572668114,16556.221217105263,9097.69918699187,24165.55768300988
2010,42324.067448680355,30760.3294892916,15997.072545340838,10101.358490566037,24795.706993469707
2011,41355.55773955774,30603.73370577281,16091.495359062043,10681.20634920635,24682.998288399736
2012,40310.22832369942,29788.926708074534,15662.064825930373,11366.444444444445,24281.916075537192
2013,42540.06553911205,30546.15425531915,15272.480231436837,11560.95652173913,24979.914136901796
2014,41754.920382165605,31829.69321148825,15370.666123778501,11300.128205128205,25063.851980640142
2015,44713.7,32536.23088984712,15171.176494509964,11069.32,25872.60684608927
2016,47706.781519861834,35734.974768280124,15893.81962264151,12323.496932515338,27914.7682108247
2017,55209.30256410257,37190.25339858619,16755.642081447964,12726.822429906542,30470.505118510817
2018,56576.27102803739,42263.48385469223,18258.841367221736,13298.260869565218,32599.21427987914
2019,55105.823420074346,46805.089734386216,18937.309572301427,12994.181818181818,33460.60113623595
