"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20070101 ~ 20071231"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강북구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 강북구 미아동","121-11","0121","0011","(121-11)","35.91","18.5","200703","2","6,700","1","1993","솔매로52길 14",""
"서울특별시 강북구 미아동","121-11","0121","0011","(121-11)","57.6","29.67","200703","4","8,400","2","1993","솔매로52길 14",""
"서울특별시 강북구 미아동","121-11","0121","0011","(121-11)","35.91","18.5","200703","17","4,100","-1","1993","솔매로52길 14",""
"서울특별시 강북구 미아동","121-11","0121","0011","(121-11)","35.91","18.5","200708","23","4,950","-1","1993","솔매로52길 14",""
"서울특별시 강북구 미아동","121-11","0121","0011","(121-11)","35.91","18.5","200710","8","8,560","3","1993","솔매로52길 14",""
"서울특별시 강북구 미아동","1261-473","1261","0473","(1261-473)","22.4","16.72","200711","1","10,500","1","2001","삼양로16길 19",""
"서울특별시 강북구 미아동","1264-136","1264","0136","(1264-136)","29.57","21.79","200701","16","11,500","-1","1994","삼양로20나길 55",""
"서울특별시 강북구 미아동","1264-173","1264","0173","(1264-173)","44.04","28.56","200710","25","15,000","2","1996","삼양로22길 39",""
"서울특별시 강북구 미아동","1264-177","1264","0177","(1264-177)","30.45","22","200710","22","14,500","3","1992","삼양로22길 35-4",""
"서울특별시 강북구 미아동","1264-178","1264","0178","(1264-178)","18.39","14.39","200710","20","10,600","-1","1993","삼양로22길 35-2",""
"서울특별시 강북구 미아동","1264-178","1264","0178","(1264-178)","26.21","20.5","200710","22","13,300","-1","1993","삼양로22길 35-2",""
"서울특별시 강북구 미아동","1264-178","1264","0178","(1264-178)","40.7","31.83","200711","7","17,900","1","1993","삼양로22길 35-2",""
"서울특별시 강북구 미아동","1264-186","1264","0186","(1264-186)","38.64","29.68","200702","9","12,000","-1","1993","삼양로22길 29",""
"서울특별시 강북구 미아동","1264-208","1264","0208","(1264-208)","37.35","23.14","200701","15","11,000","-1","1988","삼양로22길 23-1",""
"서울특별시 강북구 미아동","139-89","0139","0089","(139-89)","21.5","12.19","200707","26","2,000","-1","1994","도봉로18다길 4",""
"서울특별시 강북구 미아동","187-61","0187","0061","(187-61)","52.74","43.5","200709","13","5,000","1","1991","덕릉로28길 45-4",""
"서울특별시 강북구 미아동","187-61","0187","0061","(187-61)","52.74","43.5","200710","22","9,500","-1","1991","덕릉로28길 45-4",""
"서울특별시 강북구 미아동","229-16","0229","0016","(229-16)","40.34","25.69","200702","23","6,000","2","1991","솔매로41길 31-66",""
"서울특별시 강북구 미아동","229-16","0229","0016","(229-16)","46.5","29.62","200705","3","4,500","-1","1991","솔매로41길 31-66",""
"서울특별시 강북구 미아동","258-115","0258","0115","(258-115)","41.4","30.22","200704","12","8,850","1","1986","오패산로52라길 9",""
"서울특별시 강북구 미아동","258-151","0258","0151","(258-151)","46.62","32.5","200704","29","9,700","2","1986","오패산로52나길 30",""
"서울특별시 강북구 미아동","258-164","0258","0164","(258-164)","53.61","41.04","200704","19","9,600","1","1988","오패산로52다길 13-1",""
"서울특별시 강북구 미아동","258-208","0258","0208","(258-208)","34.26","23.16","200703","13","2,100","-1","1988","오현로9길 156-4",""
"서울특별시 강북구 미아동","258-209","0258","0209","(258-209)","33.91","25.06","200701","11","4,500","-1","1987","오현로9길 154",""
"서울특별시 강북구 미아동","258-210","0258","0210","(258-210)","55.21","39.48","200702","25","10,800","1","1988","오패산로52다길 32",""
"서울특별시 강북구 미아동","258-219","0258","0219","(258-219)","53.42","36.81","200702","24","8,200","-1","1987","오패산로52다길 47",""
"서울특별시 강북구 미아동","258-241","0258","0241","(258-241)","52.86","35.33","200701","8","6,100","-1","1986","오패산로52라길 35",""
"서울특별시 강북구 미아동","258-274","0258","0274","(258-274)","41.43","30.4","200702","24","6,400","-1","1987","오현로9길 107",""
"서울특별시 강북구 미아동","258-34","0258","0034","(258-34)","54.53","39.17","200704","15","4,800","-1","1987","오패산로52자길 29",""
"서울특별시 강북구 미아동","258-40","0258","0040","(258-40)","41.63","28.5","200708","30","8,500","2","1988","오패산로52아길 41",""
"서울특별시 강북구 미아동","258-42","0258","0042","(258-42)","39","26.17","200712","13","9,000","2","1988","오패산로52자길 20",""
"서울특별시 강북구 미아동","258-482","0258","0482","(258-482)","39.9","28.1","200710","23","7,600","-1","1986","오패산로52마길 20-13",""
"서울특별시 강북구 미아동","258-483","0258","0483","(258-483)","39.9","28.1","200709","10","6,000","-1","1986","오패산로52마길 20-9",""
"서울특별시 강북구 미아동","258-485","0258","0485","(258-485)","39.93","28.12","200705","11","6,000","-1","1986","오패산로52마길 20-5",""
"서울특별시 강북구 미아동","258-492","0258","0492","(258-492)","41.93","31.18","200710","19","8,400","-1","1986","오현로9길 109",""
"서울특별시 강북구 미아동","258-501","0258","0501","(258-501)","31.56","24","200708","24","6,300","-1","1986","오패산로52나길 18",""
"서울특별시 강북구 미아동","258-502","0258","0502","(258-502)","36.03","27.76","200705","8","5,000","-1","1986","오패산로52나길 14",""
"서울특별시 강북구 미아동","258-548","0258","0548","(258-548)","41.43","30.4","200704","3","6,800","-1","1987","오현로9길 105",""
"서울특별시 강북구 미아동","258-549","0258","0549","(258-549)","45.28","34.56","200709","22","10,400","2","1987","오현로9길 113",""
"서울특별시 강북구 미아동","258-569","0258","0569","(258-569)","41.31","27.67","200702","20","7,500","2","1987","오패산로52사길 45",""
"서울특별시 강북구 미아동","258-570","0258","0570","(258-570)","41.2","27.5","200703","10","6,000","2","1987","오패산로52사길 43",""
"서울특별시 강북구 미아동","258-572","0258","0572","(258-572)","41.58","28.83","200705","13","8,900","1","1987","오패산로52길 144",""
"서울특별시 강북구 미아동","258-578","0258","0578","(258-578)","39.56","26.67","200705","4","8,000","-1","1987","오패산로52사길 27",""
"서울특별시 강북구 미아동","258-578","0258","0578","(258-578)","39.56","26.67","200712","5","8,550","-1","1987","오패산로52사길 27",""
"서울특별시 강북구 미아동","258-582","0258","0582","(258-582)","39.25","28.16","200710","8","8,600","1","1987","오패산로52자길 28",""
"서울특별시 강북구 미아동","258-594","0258","0594","(258-594)","35.74","23.83","200701","9","6,000","1","1987","오패산로52아길 32",""
"서울특별시 강북구 미아동","258-598","0258","0598","(258-598)","37.98","25.33","200702","2","5,800","1","1987","오패산로52아길 22",""
"서울특별시 강북구 미아동","258-604","0258","0604","(258-604)","45.28","33.47","200708","18","9,400","1","1987","오현로9길 152",""
"서울특별시 강북구 미아동","258-604","0258","0604","(258-604)","45.28","33.47","200710","23","10,000","2","1987","오현로9길 152",""
"서울특별시 강북구 미아동","258-606","0258","0606","(258-606)","45.27","31.73","200705","11","8,550","1","1988","오현로9길 126-2",""
"서울특별시 강북구 미아동","258-61","0258","0061","(258-61)","35.64","29.98","200701","3","7,500","2","1986","오패산로52아길 8",""
"서울특별시 강북구 미아동","258-61","0258","0061","(258-61)","35.64","29.98","200701","22","6,700","2","1986","오패산로52아길 8",""
"서울특별시 강북구 미아동","258-63","0258","0063","(258-63)","39.36","26.5","200706","20","8,300","1","1988","오패산로52길 117",""
"서울특별시 강북구 미아동","258-633","0258","0633","(258-633)","39","26.17","200710","9","4,000","-1","1988","오패산로52자길 18",""
"서울특별시 강북구 미아동","258-636","0258","0636","(258-636)","32.82","22","200711","26","7,500","-1","1988","오패산로52자길 21-1",""
"서울특별시 강북구 미아동","258-639","0258","0639","(258-639)","37.85","25.33","200708","23","5,700","-1","1988","오패산로52아길 36-1",""
"서울특별시 강북구 미아동","258-642","0258","0642","(258-642)","40.96","27.67","200708","24","8,900","1","1988","오패산로52아길 37",""
"서울특별시 강북구 미아동","258-643","0258","0643","(258-643)","35.39","23.8","200708","26","5,500","1","1988","오패산로52사길 81-11",""
"서울특별시 강북구 미아동","258-646","0258","0646","(258-646)","39.19","26.17","200705","11","6,500","-1","1988","오패산로52바길 28",""
"서울특별시 강북구 미아동","258-648","0258","0648","(258-648)","39.8","25.67","200710","13","7,600","1","1988","오패산로52길 89",""
"서울특별시 강북구 미아동","258-674","0258","0674","(258-674)","32.59","23.7","200705","4","5,000","-1","1988","오패산로52아길 14",""
"서울특별시 강북구 미아동","258-674","0258","0674","(258-674)","63.34","46.1","200706","11","7,200","2","1988","오패산로52아길 14",""
"서울특별시 강북구 미아동","258-7","0258","0007","(258-7)","39.49","27.67","200702","10","6,000","-1","1987","오패산로52사길 47",""
"서울특별시 강북구 미아동","258-7","0258","0007","(258-7)","39.49","27.67","200703","2","8,200","2","1987","오패산로52사길 47",""
"서울특별시 강북구 미아동","258-7","0258","0007","(258-7)","39.49","27.67","200707","25","5,700","-1","1987","오패산로52사길 47",""
"서울특별시 강북구 미아동","258-7","0258","0007","(258-7)","39.49","27.67","200712","10","11,000","1","1987","오패산로52사길 47",""
"서울특별시 강북구 미아동","258-720","0258","0720","(258-720)","37.95","31.3","200702","4","7,000","2","1990","오패산로52가길 7-14",""
"서울특별시 강북구 미아동","258-720","0258","0720","(258-720)","37.95","31.3","200708","25","8,900","1","1990","오패산로52가길 7-14",""
"서울특별시 강북구 미아동","258-721","0258","0721","(258-721)","50.24","42.25","200702","20","9,000","2","1990","오패산로52가길 7-9",""
"서울특별시 강북구 미아동","258-722","0258","0722","(258-722)","38.21","31.43","200701","27","7,400","2","1990","오패산로52가길 7-6",""
"서울특별시 강북구 미아동","258-8","0258","0008","(258-8)","41.47","28.83","200701","8","6,000","1","1987","오패산로52길 146",""
"서울특별시 강북구 미아동","258-87","0258","0087","(258-87)","39.19","26.17","200705","10","7,400","2","1988","오패산로52바길 30",""
"서울특별시 강북구 미아동","3-220","0003","0220","(3-220)","60.66","33.53","200712","14","19,800","2","2007","도봉로18다길 21-22",""
"서울특별시 강북구 미아동","3-220","0003","0220","(3-220)","59.44","32.85","200712","28","20,500","2","2007","도봉로18다길 21-22",""
"서울특별시 강북구 미아동","3-249","0003","0249","(3-249)","26.08","18.59","200702","21","6,000","-1","1993","오패산로30가길 3-4",""
"서울특별시 강북구 미아동","3-249","0003","0249","(3-249)","21.52","15.35","200703","1","5,200","-1","1993","오패산로30가길 3-4",""
"서울특별시 강북구 미아동","3-249","0003","0249","(3-249)","26.08","18.59","200710","7","6,300","-1","1993","오패산로30가길 3-4",""
"서울특별시 강북구 미아동","3-491","0003","0491","(3-491)","38.16","20.88","200701","20","10,800","1","2005","오현로9길 62",""
"서울특별시 강북구 미아동","3-491","0003","0491","(3-491)","38.16","20.88","200701","20","10,500","1","2005","오현로9길 62",""
"서울특별시 강북구 미아동","3-491","0003","0491","(3-491)","44.64","24.43","200701","30","10,500","-1","2005","오현로9길 62",""
"서울특별시 강북구 미아동","3-491","0003","0491","(3-491)","38.16","20.88","200709","10","9,950","3","2005","오현로9길 62",""
"서울특별시 강북구 미아동","3-491","0003","0491","(3-491)","38.16","20.88","200710","23","11,200","1","2005","오현로9길 62",""
"서울특별시 강북구 미아동","3-491","0003","0491","(3-491)","38.16","20.88","200710","25","12,500","1","2005","오현로9길 62",""
"서울특별시 강북구 미아동","3-51","0003","0051","(3-51)","49.24","31.1","200703","2","13,000","4","2006","오패산로30가길 8-6",""
"서울특별시 강북구 미아동","3-51","0003","0051","(3-51)","44.49","33.8","200704","21","14,000","3","2006","오패산로30가길 8-6",""
"서울특별시 강북구 미아동","3-580","0003","0580","(3-580)","48.54","26.3","200710","15","11,200","2","1995","오현로9가길 33",""
"서울특별시 강북구 미아동","3-580","0003","0580","(3-580)","39.02","21.2","200710","17","8,000","2","1995","오현로9가길 33",""
"서울특별시 강북구 미아동","3-580","0003","0580","(3-580)","67.62","36.7","200710","23","15,000","-1","1995","오현로9가길 33",""
"서울특별시 강북구 미아동","3-617","0003","0617","(3-617)","47.43","26.28","200710","25","14,000","1","1992","오현로9나길 21",""
"서울특별시 강북구 미아동","3-660","0003","0660","(3-660)","44.93","22.55","200701","3","9,000","3","1994","오현로11가길 36",""
"서울특별시 강북구 미아동","3-660","0003","0660","(3-660)","57.84","29.03","200704","30","12,050","2","1994","오현로11가길 36",""
"서울특별시 강북구 미아동","3-660","0003","0660","(3-660)","57.84","29.03","200708","1","12,000","-1","1994","오현로11가길 36",""
"서울특별시 강북구 미아동","3-660","0003","0660","(3-660)","57.84","29.03","200709","10","12,000","-1","1994","오현로11가길 36",""
"서울특별시 강북구 미아동","3-660","0003","0660","(3-660)","39.48","19.81","200711","2","8,700","1","1994","오현로11가길 36",""
"서울특별시 강북구 미아동","3-660","0003","0660","(3-660)","38.28","19.21","200712","3","8,000","1","1994","오현로11가길 36",""
"서울특별시 강북구 미아동","3-721","0003","0721","(3-721)","38.16","29.5","200701","30","15,000","-1","1990","도봉로28길 70",""
"서울특별시 강북구 미아동","302-76","0302","0076","(302-76)","40.85","32.61","200710","19","7,000","-1","1986","도봉로49길 38",""
"서울특별시 강북구 미아동","303-26","0303","0026","(303-26)","27.36","13.98","200710","5","7,000","3","1994","도봉로51길 3",""
"서울특별시 강북구 미아동","400-2","0400","0002","(400-2)","32.27","25.69","200706","15","12,500","2","1994","솔샘로60가길 28-12",""
"서울특별시 강북구 미아동","400-2","0400","0002","(400-2)","36.19","28.81","200708","30","15,500","1","1994","솔샘로60가길 28-12",""
"서울특별시 강북구 미아동","400-23","0400","0023","(400-23)","33.595","31.57","200706","29","13,000","1","1994","솔샘로60가길 28-10",""
"서울특별시 강북구 미아동","403-105","0403","0105","(403-105)","52.08","49.58","200705","1","15,000","1","1973","솔샘로60길 25",""
"서울특별시 강북구 미아동","403-147","0403","0147","(403-147)","75.57","26.45","200705","29","19,950","2","1973","솔샘로60길 17-9",""
