"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20090101 ~ 20091231"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강북구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","200901","19","8,000","14","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","200903","10","7,500","11","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","200903","20","7,600","10","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","40.02","200904","2","8,300","14","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","200904","8","7,900","18","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","40.02","200904","14","9,000","15","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","200904","17","7,500","12","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","200905","4","7,300","19","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","200905","4","7,550","10","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","200906","22","8,200","19","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","200906","22","8,200","19","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","200906","22","7,800","11","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","35.1","200906","23","7,700","7","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","200906","30","7,900","11","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","200907","29","9,000","7","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","200907","31","9,000","11","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","200908","25","8,100","17","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","200910","16","8,000","17","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","35.1","200911","9","7,500","15","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","200911","12","8,700","15","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","200911","26","8,200","15","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","35.1","200912","7","8,200","16","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","200912","29","10,400","8","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","200912","29","8,700","15","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","200912","29","10,400","8","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","40.02","200912","29","10,900","8","1991","도봉로 328",""
"서울특별시 강북구 번동","465-4","465","4","밀레니엄 오피스텔","24.95","200902","6","8,000","9","2001","도봉로 396",""
"서울특별시 강북구 번동","465-4","465","4","밀레니엄 오피스텔","24.47","200902","24","6,700","7","2001","도봉로 396",""
"서울특별시 강북구 번동","465-4","465","4","밀레니엄 오피스텔","24.95","200907","8","7,000","7","2001","도봉로 396",""
"서울특별시 강북구 번동","448-2","448","2","북한산드림캐슬","24.09","200902","19","6,500","13","2003","덕릉로 99",""
"서울특별시 강북구 번동","448-2","448","2","북한산드림캐슬","24.09","200903","9","7,200","13","2003","덕릉로 99",""
"서울특별시 강북구 번동","448-2","448","2","북한산드림캐슬","24.09","200904","27","6,900","7","2003","덕릉로 99",""
"서울특별시 강북구 번동","448-2","448","2","북한산드림캐슬","24.09","200905","15","7,000","7","2003","덕릉로 99",""
"서울특별시 강북구 번동","448-2","448","2","북한산드림캐슬","24.09","200905","28","7,000","12","2003","덕릉로 99",""
"서울특별시 강북구 번동","448-2","448","2","북한산드림캐슬","24.09","200907","7","6,950","14","2003","덕릉로 99",""
"서울특별시 강북구 번동","448-2","448","2","북한산드림캐슬","24.09","200907","13","7,000","13","2003","덕릉로 99",""
"서울특별시 강북구 번동","448-2","448","2","북한산드림캐슬","24.09","200907","15","7,750","14","2003","덕릉로 99",""
"서울특별시 강북구 번동","448-2","448","2","북한산드림캐슬","24.09","200907","15","7,750","15","2003","덕릉로 99",""
"서울특별시 강북구 번동","448-2","448","2","북한산드림캐슬","24.09","200907","15","7,750","8","2003","덕릉로 99",""
"서울특별시 강북구 번동","448-2","448","2","북한산드림캐슬","24.09","200908","5","7,300","12","2003","덕릉로 99",""
"서울특별시 강북구 번동","448-2","448","2","북한산드림캐슬","24.09","200909","5","7,300","13","2003","덕릉로 99",""
"서울특별시 강북구 번동","448-2","448","2","북한산드림캐슬","24.09","200910","19","7,250","8","2003","덕릉로 99",""
"서울특별시 강북구 번동","448-2","448","2","북한산드림캐슬","24.09","200912","14","7,300","11","2003","덕릉로 99",""
"서울특별시 강북구 번동","417-6","417","6","포르텔오피스텔","25.6","200903","12","10,000","5","2004","한천로 1003",""
"서울특별시 강북구 번동","417-6","417","6","포르텔오피스텔","25.6","200903","12","10,000","4","2004","한천로 1003",""
"서울특별시 강북구 번동","417-6","417","6","포르텔오피스텔","25.6","200905","15","9,600","7","2004","한천로 1003",""
"서울특별시 강북구 번동","417-6","417","6","포르텔오피스텔","25.6","200906","12","9,600","5","2004","한천로 1003",""
"서울특별시 강북구 번동","417-6","417","6","포르텔오피스텔","25.6","200907","4","9,300","2","2004","한천로 1003",""
"서울특별시 강북구 번동","417-6","417","6","포르텔오피스텔","25.6","200908","14","9,700","5","2004","한천로 1003",""
"서울특별시 강북구 번동","417-6","417","6","포르텔오피스텔","25.6","200908","27","9,700","7","2004","한천로 1003",""
"서울특별시 강북구 번동","417-6","417","6","포르텔오피스텔","44.76","200909","16","15,000","6","2004","한천로 1003",""
"서울특별시 강북구 번동","417-6","417","6","포르텔오피스텔","25.6","200910","5","9,700","5","2004","한천로 1003",""
"서울특별시 강북구 번동","417-6","417","6","포르텔오피스텔","25.6","200910","5","9,500","2","2004","한천로 1003",""
"서울특별시 강북구 번동","417-6","417","6","포르텔오피스텔","25.6","200910","8","7,000","11","2004","한천로 1003",""
"서울특별시 강북구 번동","418-3","418","3","효성네오인텔리안","32.97","200902","9","10,500","5","2005","도봉로 352",""
"서울특별시 강북구 번동","418-3","418","3","효성네오인텔리안","29.1","200902","16","11,396","4","2005","도봉로 352",""
"서울특별시 강북구 번동","418-3","418","3","효성네오인텔리안","29.1","200903","23","9,700","5","2005","도봉로 352",""
"서울특별시 강북구 번동","418-3","418","3","효성네오인텔리안","32.97","200903","31","10,300","6","2005","도봉로 352",""
"서울특별시 강북구 번동","418-3","418","3","효성네오인텔리안","32.97","200909","26","11,000","5","2005","도봉로 352",""
"서울특별시 강북구 번동","418-3","418","3","효성네오인텔리안","31.71","200910","24","11,300","5","2005","도봉로 352",""
"서울특별시 강북구 번동","418-3","418","3","효성네오인텔리안","29.1","200911","11","10,300","6","2005","도봉로 352",""
"서울특별시 강북구 번동","418-3","418","3","효성네오인텔리안","32.97","200911","23","10,800","6","2005","도봉로 352",""
"서울특별시 강북구 수유동","223-1","223","1","두온오피스텔","33.2","200903","4","8,700","5","2003","노해로 38",""
"서울특별시 강북구 수유동","223-1","223","1","두온오피스텔","33.2","200903","16","9,000","5","2003","노해로 38",""
"서울특별시 강북구 수유동","223-1","223","1","두온오피스텔","33.2","200904","1","9,250","8","2003","노해로 38",""
"서울특별시 강북구 수유동","223-1","223","1","두온오피스텔","33.2","200904","13","9,000","5","2003","노해로 38",""
"서울특별시 강북구 수유동","223-1","223","1","두온오피스텔","33.2","200904","27","8,500","4","2003","노해로 38",""
"서울특별시 강북구 수유동","223-1","223","1","두온오피스텔","33.2","200905","27","9,500","10","2003","노해로 38",""
"서울특별시 강북구 수유동","223-1","223","1","두온오피스텔","33.2","200906","27","9,600","10","2003","노해로 38",""
"서울특별시 강북구 수유동","223-1","223","1","두온오피스텔","33.2","200907","30","9,250","6","2003","노해로 38",""
"서울특별시 강북구 수유동","223-1","223","1","두온오피스텔","33.2","200910","12","9,100","5","2003","노해로 38",""
"서울특별시 강북구 수유동","223-1","223","1","두온오피스텔","33.2","200910","16","9,300","5","2003","노해로 38",""
"서울특별시 강북구 수유동","223-1","223","1","두온오피스텔","33.2","200910","16","9,500","8","2003","노해로 38",""
"서울특별시 강북구 수유동","95-7","95","7","수유동이테크밸리오피스텔","27.81","200903","5","8,600","11","2005","도봉로77길 6",""
"서울특별시 강북구 수유동","95-7","95","7","수유동이테크밸리오피스텔","27.81","200904","13","9,100","11","2005","도봉로77길 6",""
"서울특별시 강북구 수유동","95-7","95","7","수유동이테크밸리오피스텔","27.81","200904","21","8,200","17","2005","도봉로77길 6",""
"서울특별시 강북구 수유동","95-7","95","7","수유동이테크밸리오피스텔","27.81","200906","3","8,745","14","2005","도봉로77길 6",""
"서울특별시 강북구 수유동","95-7","95","7","수유동이테크밸리오피스텔","27.81","200906","5","8,745","13","2005","도봉로77길 6",""
"서울특별시 강북구 수유동","95-7","95","7","수유동이테크밸리오피스텔","27.98","200906","6","8,800","16","2005","도봉로77길 6",""
"서울특별시 강북구 수유동","95-7","95","7","수유동이테크밸리오피스텔","34.23","200906","29","10,800","15","2005","도봉로77길 6",""
"서울특별시 강북구 수유동","95-7","95","7","수유동이테크밸리오피스텔","29.61","200906","29","8,900","8","2005","도봉로77길 6",""
"서울특별시 강북구 수유동","95-7","95","7","수유동이테크밸리오피스텔","34.23","200907","2","10,694","17","2005","도봉로77길 6",""
"서울특별시 강북구 수유동","95-7","95","7","수유동이테크밸리오피스텔","27.98","200907","10","8,745","14","2005","도봉로77길 6",""
"서울특별시 강북구 수유동","95-7","95","7","수유동이테크밸리오피스텔","36.78","200907","10","11,550","13","2005","도봉로77길 6",""
"서울특별시 강북구 수유동","95-7","95","7","수유동이테크밸리오피스텔","34.23","200907","14","8,500","12","2005","도봉로77길 6",""
"서울특별시 강북구 수유동","95-7","95","7","수유동이테크밸리오피스텔","29.61","200907","15","9,100","11","2005","도봉로77길 6",""
"서울특별시 강북구 수유동","95-7","95","7","수유동이테크밸리오피스텔","29.61","200907","20","9,300","16","2005","도봉로77길 6",""
"서울특별시 강북구 수유동","95-7","95","7","수유동이테크밸리오피스텔","27.98","200907","29","8,600","9","2005","도봉로77길 6",""
"서울특별시 강북구 수유동","95-7","95","7","수유동이테크밸리오피스텔","27.81","200908","8","8,250","16","2005","도봉로77길 6",""
"서울특별시 강북구 수유동","95-7","95","7","수유동이테크밸리오피스텔","27.81","200908","10","8,784","17","2005","도봉로77길 6",""
