"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20150101 ~ 20151231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강북구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"서울특별시 강북구 미아동","7**","다가구","8m미만","34.66","33","201507","14","15,500","1985","솔매로31길",""
"서울특별시 강북구 미아동","6**","다가구","8m미만","115.46","63","201510","26","28,800","1993","삼양로20길",""
"서울특별시 강북구 미아동","1***","다가구","12m미만","89.37","69","201505","1","25,900","1995","숭인로7길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","95.67","69","201510","24","20,500","2007","솔매로22가길",""
"서울특별시 강북구 미아동","1***","다가구","8m미만","113.45","69","201502","24","25,200","1994","숭인로7길",""
"서울특별시 강북구 미아동","1***","다가구","8m미만","139.71","70","201504","15","26,000","1995","솔샘로60길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","111.15","72.7","201507","6","22,500","1995","도봉로27길",""
"서울특별시 강북구 미아동","4**","다가구","8m미만","124.83","73","201507","7","29,700","1992","솔샘로64다길",""
"서울특별시 강북구 미아동","2**","다가구","8m미만","119.87","77","201509","24","31,000","1996","도봉로57길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","113.01","78","201506","5","29,000","1996","삼양로54길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","80.22","79","201510","22","27,000","1994","솔매로31길",""
"서울특별시 강북구 미아동","7*","다가구","8m미만","150.26","79","201501","23","50,500","1993","도봉로10다길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","119.91","80","201511","14","31,500","1997","솔샘로59가길",""
"서울특별시 강북구 미아동","1**","다가구","8m미만","127.76","80","201507","18","30,000","1994","도봉로20길",""
"서울특별시 강북구 미아동","1**","다가구","8m미만","144.42","81","201501","14","25,500","1993","도봉로76가길",""
"서울특별시 강북구 미아동","1**","다가구","8m미만","173.88","81.3","201501","8","20,000","1993","덕릉로32길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","118.19","83","201506","2","16,000","1998","인수봉로6길",""
"서울특별시 강북구 미아동","7*","다가구","8m미만","123.6","83","201508","19","40,100","1994","오패산로31길",""
"서울특별시 강북구 미아동","7*","다가구","8m미만","128.52","83","201507","24","40,000","2006","도봉로10다길",""
"서울특별시 강북구 미아동","6**","다가구","8m미만","156.75","83","201510","10","32,000","1995","삼양로20길",""
"서울특별시 강북구 미아동","6**","다가구","8m미만","160.86","83","201508","24","32,500","1993","삼양로20길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","172.07","83","201512","2","28,000","1993","삼양로46길",""
"서울특별시 강북구 미아동","1**","다가구","8m미만","153.58","84","201512","7","30,400","1992","도봉로34길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","148.12","84.3","201506","14","37,700","1993","도봉로51길",""
