"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20160101 ~ 20161231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강북구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"서울특별시 강북구 미아동","6**","다가구","8m미만","103.01","56","201601","22","23,500","1993","삼양로20길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","117.3","63","201611","25","22,600","1996","삼양로46길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","77","69","201612","21","25,500","1996","삼양로38다길",""
"서울특별시 강북구 미아동","2**","다가구","8m미만","116.4","72.4","201609","6","32,100","1993","도봉로53길",""
"서울특별시 강북구 미아동","1***","다가구","8m미만","69","73","201607","11","28,500","1995","삼양로16길",""
"서울특별시 강북구 미아동","1***","다가구","8m미만","69","73","201604","29","28,400","1995","삼양로16길",""
"서울특별시 강북구 미아동","1**","다가구","8m미만","125.97","73.2","201609","1","29,700","1992","도봉로24길",""
"서울특별시 강북구 미아동","8**","다가구","8m미만","149.58","76","201605","20","16,000","1994","솔샘로",""
"서울특별시 강북구 미아동","2**","다가구","8m미만","130.59","82.6","201603","22","32,000","1994","솔매로41길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","103.68","83","201611","21","30,000","1992","삼양로42길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","115.28","83","201610","28","30,000","1994","솔매로31길",""
"서울특별시 강북구 미아동","6**","다가구","8m미만","127.89","83","201607","2","34,900","1995","삼양로20가길",""
"서울특별시 강북구 미아동","4**","다가구","8m미만","142.2","83","201606","14","37,500","1993","솔샘로68길",""
"서울특별시 강북구 미아동","7*","다가구","8m미만","144.24","83","201609","15","39,500","1993","도봉로10다길",""
"서울특별시 강북구 미아동","6**","다가구","8m미만","160.86","83","201602","11","37,000","1993","삼양로20길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","138.4","83.6","201606","17","37,000","1996","도봉로25길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","119.61","86","201607","25","36,920","1996","삼양로38가길",""
