"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20160101 ~ 20161231"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강북구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 강북구 미아동","796","0796","0000","경남아너스빌","84.8712","201601","18","38,500","4","2008","삼양로74길 8",""
"서울특별시 강북구 미아동","796","0796","0000","경남아너스빌","84.9134","201602","6","37,300","2","2008","삼양로74길 8",""
"서울특별시 강북구 미아동","796","0796","0000","경남아너스빌","62.7103","201602","22","34,100","10","2008","삼양로74길 8",""
"서울특별시 강북구 미아동","796","0796","0000","경남아너스빌","84.9134","201603","2","40,500","9","2008","삼양로74길 8",""
"서울특별시 강북구 미아동","796","0796","0000","경남아너스빌","84.9134","201603","26","40,000","2","2008","삼양로74길 8",""
"서울특별시 강북구 미아동","796","0796","0000","경남아너스빌","81.9853","201604","2","38,500","12","2008","삼양로74길 8",""
"서울특별시 강북구 미아동","796","0796","0000","경남아너스빌","81.9853","201605","20","37,200","4","2008","삼양로74길 8",""
"서울특별시 강북구 미아동","796","0796","0000","경남아너스빌","84.9134","201605","30","40,700","15","2008","삼양로74길 8",""
"서울특별시 강북구 미아동","796","0796","0000","경남아너스빌","81.9853","201606","15","40,000","9","2008","삼양로74길 8",""
"서울특별시 강북구 미아동","796","0796","0000","경남아너스빌","84.8712","201606","26","40,650","5","2008","삼양로74길 8",""
"서울특별시 강북구 미아동","796","0796","0000","경남아너스빌","84.9134","201607","6","42,800","11","2008","삼양로74길 8",""
"서울특별시 강북구 미아동","796","0796","0000","경남아너스빌","84.9134","201608","2","41,000","3","2008","삼양로74길 8",""
"서울특별시 강북구 미아동","796","0796","0000","경남아너스빌","84.9134","201608","9","40,600","3","2008","삼양로74길 8",""
"서울특별시 강북구 미아동","796","0796","0000","경남아너스빌","84.9134","201608","27","42,500","10","2008","삼양로74길 8",""
"서울특별시 강북구 미아동","796","0796","0000","경남아너스빌","84.9134","201609","10","41,500","15","2008","삼양로74길 8",""
"서울특별시 강북구 미아동","796","0796","0000","경남아너스빌","84.9898","201609","27","42,500","11","2008","삼양로74길 8",""
