"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20160101 ~ 20161231"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강북구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 강북구 미아동","1261-22","1261","0022","(1261-22)","43.91","30.41","201609","2","17,900","-1","1993","숭인로7나길 13-5",""
"서울특별시 강북구 미아동","1264-141","1264","0141","(1264-141)","13.86","12.23","201605","11","12,000","1","2003","삼양로20나길 57",""
"서울특별시 강북구 미아동","1264-159","1264","0159","(1264-159)","32.83","17.64","201604","21","15,500","2","1996","삼양로24길 16",""
"서울특별시 강북구 미아동","1264-159","1264","0159","(1264-159)","99.36","51.11","201610","18","35,000","3","1996","삼양로24길 16",""
"서울특별시 강북구 미아동","139-7","0139","0007","(139-7)","45","30.92","201608","9","18,500","1","1991","도봉로18길 21-16",""
"서울특별시 강북구 미아동","139-7","0139","0007","(139-7)","45","30.92","201612","16","19,500","1","1991","도봉로18길 21-16",""
"서울특별시 강북구 미아동","164-30","0164","0030","(164-30)","49.92","34.6","201612","17","20,200","1","1992","도봉로76가길 36",""
"서울특별시 강북구 미아동","187-61","0187","0061","(187-61)","52.74","43.5","201610","20","12,000","-1","1991","덕릉로28길 45-4",""
"서울특별시 강북구 미아동","218-56","0218","0056","(218-56)","39.93","28.87","201604","15","15,000","1","1992","도봉로65길 43-6",""
"서울특별시 강북구 미아동","218-56","0218","0056","(218-56)","39.93","28.87","201607","19","13,000","1","1992","도봉로65길 43-6",""
