"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20160101 ~ 20161231"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강북구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 강북구 미아동","160-3","160","3","수유역푸르지오시티","22.43","201601","26","14,000","8","2014","도봉로 290",""
"서울특별시 강북구 미아동","160-3","160","3","수유역푸르지오시티","22.43","201601","27","13,650","18","2014","도봉로 290",""
"서울특별시 강북구 미아동","160-3","160","3","수유역푸르지오시티","22.43","201602","18","14,000","12","2014","도봉로 290",""
"서울특별시 강북구 미아동","160-3","160","3","수유역푸르지오시티","22.43","201602","25","13,500","5","2014","도봉로 290",""
"서울특별시 강북구 미아동","160-3","160","3","수유역푸르지오시티","22.43","201606","30","13,500","6","2014","도봉로 290",""
"서울특별시 강북구 미아동","160-3","160","3","수유역푸르지오시티","22.43","201607","23","13,800","17","2014","도봉로 290",""
"서울특별시 강북구 미아동","160-3","160","3","수유역푸르지오시티","22.43","201608","8","13,700","6","2014","도봉로 290",""
"서울특별시 강북구 미아동","160-3","160","3","수유역푸르지오시티","22.43","201608","26","13,800","9","2014","도봉로 290",""
"서울특별시 강북구 미아동","160-3","160","3","수유역푸르지오시티","22.43","201609","19","14,000","17","2014","도봉로 290",""
"서울특별시 강북구 미아동","160-3","160","3","수유역푸르지오시티","22.43","201610","11","13,800","14","2014","도봉로 290",""
"서울특별시 강북구 미아동","160-3","160","3","수유역푸르지오시티","22.43","201612","12","13,950","19","2014","도봉로 290",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","201601","28","11,700","16","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","201602","2","11,400","10","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","201603","3","11,550","10","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","35.1","201603","7","11,250","18","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","201603","23","11,600","8","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","35.1","201606","30","11,300","16","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","35.1","201607","1","9,800","10","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","201607","7","12,100","9","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","201607","11","12,300","19","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","40.02","201608","17","13,500","12","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","201609","4","13,000","7","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","40.02","201610","18","13,500","12","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","201610","24","11,500","12","1991","도봉로 328",""
"서울특별시 강북구 번동","446-68","446","68","목인트라움오피스텔","26.45","201608","3","10,400","6","2003","오패산로77길 26",""
"서울특별시 강북구 번동","446-68","446","68","목인트라움오피스텔","25.9","201608","3","10,100","6","2003","오패산로77길 26",""
"서울특별시 강북구 번동","446-68","446","68","목인트라움오피스텔","25.9","201608","3","10,100","6","2003","오패산로77길 26",""
"서울특별시 강북구 번동","446-68","446","68","목인트라움오피스텔","20.31","201608","3","8,000","6","2003","오패산로77길 26",""
"서울특별시 강북구 번동","446-68","446","68","목인트라움오피스텔","19.04","201608","3","7,500","6","2003","오패산로77길 26",""
"서울특별시 강북구 번동","446-68","446","68","목인트라움오피스텔","19.38","201608","3","7,600","6","2003","오패산로77길 26",""
"서울특별시 강북구 번동","446-68","446","68","목인트라움오피스텔","18.05","201608","3","7,100","7","2003","오패산로77길 26",""
"서울특별시 강북구 번동","446-68","446","68","목인트라움오피스텔","17.7","201608","3","7,000","7","2003","오패산로77길 26",""
"서울특별시 강북구 번동","446-68","446","68","목인트라움오피스텔","17.7","201608","3","7,000","7","2003","오패산로77길 26",""
"서울특별시 강북구 번동","446-68","446","68","목인트라움오피스텔","31.23","201608","3","12,200","4","2003","오패산로77길 26",""
"서울특별시 강북구 번동","446-68","446","68","목인트라움오피스텔","31.23","201608","3","12,200","4","2003","오패산로77길 26",""
"서울특별시 강북구 번동","446-68","446","68","목인트라움오피스텔","20.31","201608","3","8,000","4","2003","오패산로77길 26",""
"서울특별시 강북구 번동","446-68","446","68","목인트라움오피스텔","19.04","201608","3","7,500","4","2003","오패산로77길 26",""
"서울특별시 강북구 번동","446-68","446","68","목인트라움오피스텔","19.38","201608","3","7,600","4","2003","오패산로77길 26",""
"서울특별시 강북구 번동","446-68","446","68","목인트라움오피스텔","31.91","201608","3","12,500","5","2003","오패산로77길 26",""
"서울특별시 강북구 번동","446-68","446","68","목인트라움오피스텔","31.23","201608","3","12,200","5","2003","오패산로77길 26",""
"서울특별시 강북구 번동","446-68","446","68","목인트라움오피스텔","31.23","201608","3","12,200","5","2003","오패산로77길 26",""
"서울특별시 강북구 번동","446-68","446","68","목인트라움오피스텔","20.31","201608","3","8,000","5","2003","오패산로77길 26",""
"서울특별시 강북구 번동","446-68","446","68","목인트라움오피스텔","19.04","201608","3","7,500","5","2003","오패산로77길 26",""
"서울특별시 강북구 번동","446-68","446","68","목인트라움오피스텔","31.91","201608","3","12,500","4","2003","오패산로77길 26",""
"서울특별시 강북구 번동","446-68","446","68","목인트라움오피스텔","20.31","201608","3","8,000","7","2003","오패산로77길 26",""
"서울특별시 강북구 번동","446-68","446","68","목인트라움오피스텔","19.04","201608","3","7,500","7","2003","오패산로77길 26",""
"서울특별시 강북구 번동","446-68","446","68","목인트라움오피스텔","19.38","201608","3","7,600","7","2003","오패산로77길 26",""
"서울특별시 강북구 번동","446-68","446","68","목인트라움오피스텔","13.11","201608","3","5,200","8","2003","오패산로77길 26",""
"서울특별시 강북구 번동","446-68","446","68","목인트라움오피스텔","19.38","201608","3","7,600","5","2003","오패산로77길 26",""
"서울특별시 강북구 번동","446-68","446","68","목인트라움오피스텔","13","201608","3","5,200","8","2003","오패산로77길 26",""
"서울특별시 강북구 번동","446-68","446","68","목인트라움오피스텔","13.34","201608","3","5,300","8","2003","오패산로77길 26",""
"서울특별시 강북구 번동","446-68","446","68","목인트라움오피스텔","19.38","201608","3","7,600","8","2003","오패산로77길 26",""
"서울특별시 강북구 번동","446-68","446","68","목인트라움오피스텔","19.04","201608","3","7,500","8","2003","오패산로77길 26",""
"서울특별시 강북구 번동","465-4","465","4","밀레니엄 오피스텔","24.47","201603","26","8,700","9","2001","도봉로 396",""
"서울특별시 강북구 번동","465-4","465","4","밀레니엄 오피스텔","24.95","201608","22","8,500","4","2001","도봉로 396",""
"서울특별시 강북구 번동","465-4","465","4","밀레니엄 오피스텔","24.47","201610","10","8,000","2","2001","도봉로 396",""
"서울특별시 강북구 번동","465-4","465","4","밀레니엄 오피스텔","24.95","201610","16","8,000","7","2001","도봉로 396",""
"서울특별시 강북구 번동","465-4","465","4","밀레니엄 오피스텔","24.47","201612","9","8,700","3","2001","도봉로 396",""
"서울특별시 강북구 번동","448-2","448","2","북한산드림캐슬","24.09","201601","5","8,900","15","2003","덕릉로 99",""
"서울특별시 강북구 번동","448-2","448","2","북한산드림캐슬","24.09","201601","5","8,800","14","2003","덕릉로 99",""
