날짜,강수량(mm)
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,10.5
2020-06-12,2.3
2020-06-13,91
2020-06-14,16.4
2020-06-15,
2020-06-16,
2020-06-17,0
2020-06-18,40.2
2020-06-19,0.8
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,19.5
2020-06-25,35.3
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,99.2
2020-06-30,5.9
2020-07-01,0
2020-07-02,
2020-07-03,7.8
2020-07-04,0
2020-07-05,
2020-07-06,0.8
2020-07-07,0.6
2020-07-08,
2020-07-09,2.1
2020-07-10,208.7
2020-07-11,
2020-07-12,37.5
2020-07-13,100.9
2020-07-14,5.2
2020-07-15,0
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,0.5
2020-07-20,1.1
2020-07-21,3.4
2020-07-22,105.3
2020-07-23,176.2
2020-07-24,2.3
2020-07-25,1.5
2020-07-26,
2020-07-27,32.1
2020-07-28,46.5
2020-07-29,14.3
2020-07-30,50
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,6.3
2020-08-07,107
2020-08-08,163.1
2020-08-09,15.1
2020-08-10,12.5
2020-08-11,10.5
2020-08-12,36.6
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,0
2020-08-27,27.4
2020-08-28,17.6
2020-08-29,3.1
2020-08-30,
2020-08-31,0
