날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-06-01,159,22,18.3,25.5
2020-06-02,159,21.1,18,25.1
2020-06-03,159,21.3,18.6,25.7
2020-06-04,159,22.9,20.3,26.6
2020-06-05,159,22,18.4,27
2020-06-06,159,21,17.7,26.6
2020-06-07,159,21.5,17.8,24.6
2020-06-08,159,23.3,18,28
2020-06-09,159,24,18.6,29.4
2020-06-10,159,24.7,20.9,28.9
2020-06-11,159,22.6,21.3,25.9
2020-06-12,159,22.6,21.1,25.8
2020-06-13,159,22,21,24.2
2020-06-14,159,23.3,20.2,27
2020-06-15,159,23.8,20.3,29
2020-06-16,159,23.9,21.4,29
2020-06-17,159,22.3,19.7,26.2
2020-06-18,159,18.3,16.8,21.2
2020-06-19,159,21.8,18.3,27.1
2020-06-20,159,21.2,19,24.9
2020-06-21,159,21.2,18,25.3
2020-06-22,159,22.8,18,27.7
2020-06-23,159,23.8,19.9,29
2020-06-24,159,22.6,20.5,26.2
2020-06-25,159,22,20.9,24.6
2020-06-26,159,23.3,20.3,28.2
2020-06-27,159,23.2,20.2,27.9
2020-06-28,159,24.9,21.7,30.7
2020-06-29,159,21.6,18.9,25.2
2020-06-30,159,22,19.9,24.7
2020-07-01,159,20.8,19.1,24.3
2020-07-02,159,21.7,19,25.8
2020-07-03,159,20.6,18.7,22.1
2020-07-04,159,20.4,18.7,25.4
2020-07-05,159,22.2,19.1,25.9
2020-07-06,159,22.7,21.2,25.6
2020-07-07,159,22.7,21.6,25.1
2020-07-08,159,23.5,21.3,28.1
2020-07-09,159,22.2,20.6,25.5
2020-07-10,159,22.2,20.8,25.9
2020-07-11,159,21.6,20.2,24.3
2020-07-12,159,20.1,18.7,21.4
2020-07-13,159,18.9,18.1,20.2
2020-07-14,159,19.3,18.7,20.7
2020-07-15,159,19.6,18.5,21
2020-07-16,159,21.3,18.7,24.2
2020-07-17,159,21.8,17.8,25.9
2020-07-18,159,22.2,18.9,25.5
2020-07-19,159,23.2,21.4,25.2
2020-07-20,159,24.9,23.7,26.4
2020-07-21,159,24.9,22.6,28.6
2020-07-22,159,22.5,21.4,23.9
2020-07-23,159,21.8,21.2,23
2020-07-24,159,21.6,20.1,24.1
2020-07-25,159,21.3,20,23.7
2020-07-26,159,23.9,20.2,27.1
2020-07-27,159,22.6,21.5,24.7
2020-07-28,159,21.9,21.5,22.8
2020-07-29,159,23.2,21.9,24.8
2020-07-30,159,24,22,27.9
2020-07-31,159,26.1,22.8,30.6
2020-08-01,159,26.9,24.3,30
2020-08-02,159,26.8,24.2,30
2020-08-03,159,26.9,25.2,29.3
2020-08-04,159,27,25.1,29.4
2020-08-05,159,26.6,25.4,29.2
2020-08-06,159,26.1,24.5,27.4
2020-08-07,159,25.6,23.6,27.8
2020-08-08,159,24.9,23.7,26.4
2020-08-09,159,25.8,23.9,28.5
2020-08-10,159,25.6,23.5,28.5
2020-08-11,159,26.2,23.5,29.8
2020-08-12,159,25.9,24.6,28.2
2020-08-13,159,27.6,24.4,31.2
2020-08-14,159,27.9,26.2,30.2
2020-08-15,159,28.1,24.7,31.5
2020-08-16,159,28.2,25.5,31.3
2020-08-17,159,28.4,26,33.1
2020-08-18,159,28.7,26.1,31.6
2020-08-19,159,29.1,26.3,33.2
2020-08-20,159,29.4,26.5,33.2
2020-08-21,159,26.7,23.6,30.7
2020-08-22,159,27,24.2,30.8
2020-08-23,159,27.1,24.7,30.6
2020-08-24,159,28,24.8,32
2020-08-25,159,29.3,25.8,32.8
2020-08-26,159,28.7,27.6,31.2
2020-08-27,159,26.2,23.4,28.5
2020-08-28,159,26.9,25,31.3
2020-08-29,159,27.5,24,31.4
2020-08-30,159,28.5,25.7,33.1
2020-08-31,159,26.2,24.3,29.7
