연번,방문일,방문객수(명),관리구군명,관리기관명
1,2020-06-01,"7,843",부산광역시 해운대구,관광시설관리사업소
2,2020-06-02,"22,450",부산광역시 해운대구,관광시설관리사업소
3,2020-06-03,"23,454",부산광역시 해운대구,관광시설관리사업소
4,2020-06-04,"23,727",부산광역시 해운대구,관광시설관리사업소
5,2020-06-05,"24,739",부산광역시 해운대구,관광시설관리사업소
6,2020-06-06,"29,359",부산광역시 해운대구,관광시설관리사업소
7,2020-06-07,"38,538",부산광역시 해운대구,관광시설관리사업소
8,2020-06-08,"27,799",부산광역시 해운대구,관광시설관리사업소
9,2020-06-09,"25,177",부산광역시 해운대구,관광시설관리사업소
10,2020-06-10,"25,689",부산광역시 해운대구,관광시설관리사업소
11,2020-06-11,"25,571",부산광역시 해운대구,관광시설관리사업소
12,2020-06-12,"25,843",부산광역시 해운대구,관광시설관리사업소
13,2020-06-13,"26,441",부산광역시 해운대구,관광시설관리사업소
14,2020-06-14,"31,894",부산광역시 해운대구,관광시설관리사업소
15,2020-06-15,"26,234",부산광역시 해운대구,관광시설관리사업소
16,2020-06-16,"23,059",부산광역시 해운대구,관광시설관리사업소
17,2020-06-17,"23,170",부산광역시 해운대구,관광시설관리사업소
18,2020-06-18,"23,392",부산광역시 해운대구,관광시설관리사업소
19,2020-06-19,"21,113",부산광역시 해운대구,관광시설관리사업소
20,2020-06-20,"31,414",부산광역시 해운대구,관광시설관리사업소
21,2020-06-21,"41,331",부산광역시 해운대구,관광시설관리사업소
22,2020-06-22,"31,178",부산광역시 해운대구,관광시설관리사업소
23,2020-06-23,"23,625",부산광역시 해운대구,관광시설관리사업소
24,2020-06-24,"24,557",부산광역시 해운대구,관광시설관리사업소
25,2020-06-25,"21,551",부산광역시 해운대구,관광시설관리사업소
26,2020-06-26,"22,507",부산광역시 해운대구,관광시설관리사업소
27,2020-06-27,"30,993",부산광역시 해운대구,관광시설관리사업소
28,2020-06-28,"43,432",부산광역시 해운대구,관광시설관리사업소
29,2020-06-29,"33,187",부산광역시 해운대구,관광시설관리사업소
30,2020-06-30,"21,039",부산광역시 해운대구,관광시설관리사업소
31,2020-07-01,"23,774",부산광역시 해운대구,관광시설관리사업소
32,2020-07-02,"26,027",부산광역시 해운대구,관광시설관리사업소
33,2020-07-03,"26,569",부산광역시 해운대구,관광시설관리사업소
34,2020-07-04,"28,460",부산광역시 해운대구,관광시설관리사업소
35,2020-07-05,"68,704",부산광역시 해운대구,관광시설관리사업소
36,2020-07-06,"32,172",부산광역시 해운대구,관광시설관리사업소
37,2020-07-07,"23,105",부산광역시 해운대구,관광시설관리사업소
38,2020-07-08,"25,490",부산광역시 해운대구,관광시설관리사업소
39,2020-07-09,"26,381",부산광역시 해운대구,관광시설관리사업소
40,2020-07-10,"22,237",부산광역시 해운대구,관광시설관리사업소
41,2020-07-11,"68,686",부산광역시 해운대구,관광시설관리사업소
42,2020-07-12,"82,559",부산광역시 해운대구,관광시설관리사업소
43,2020-07-13,"61,175",부산광역시 해운대구,관광시설관리사업소
44,2020-07-14,"55,765",부산광역시 해운대구,관광시설관리사업소
45,2020-07-15,"60,162",부산광역시 해운대구,관광시설관리사업소
46,2020-07-16,"64,857",부산광역시 해운대구,관광시설관리사업소
47,2020-07-17,"70,333",부산광역시 해운대구,관광시설관리사업소
48,2020-07-18,"79,645",부산광역시 해운대구,관광시설관리사업소
49,2020-07-19,"89,298",부산광역시 해운대구,관광시설관리사업소
50,2020-07-20,"64,635",부산광역시 해운대구,관광시설관리사업소
51,2020-07-21,"62,001",부산광역시 해운대구,관광시설관리사업소
52,2020-07-22,"63,199",부산광역시 해운대구,관광시설관리사업소
53,2020-07-23,"60,563",부산광역시 해운대구,관광시설관리사업소
54,2020-07-24,"60,656",부산광역시 해운대구,관광시설관리사업소
55,2020-07-25,"72,155",부산광역시 해운대구,관광시설관리사업소
56,2020-07-26,"81,363",부산광역시 해운대구,관광시설관리사업소
57,2020-07-27,"75,673",부산광역시 해운대구,관광시설관리사업소
58,2020-07-28,"58,619",부산광역시 해운대구,관광시설관리사업소
59,2020-07-29,"63,216",부산광역시 해운대구,관광시설관리사업소
60,2020-07-30,"67,051",부산광역시 해운대구,관광시설관리사업소
61,2020-07-31,"73,573",부산광역시 해운대구,관광시설관리사업소
62,2020-08-01,"247,941",부산광역시 해운대구,관광시설관리사업소
63,2020-08-02,"277,656",부산광역시 해운대구,관광시설관리사업소
64,2020-08-03,"258,034",부산광역시 해운대구,관광시설관리사업소
65,2020-08-04,"246,333",부산광역시 해운대구,관광시설관리사업소
66,2020-08-05,"243,453",부산광역시 해운대구,관광시설관리사업소
67,2020-08-06,"235,457",부산광역시 해운대구,관광시설관리사업소
68,2020-08-07,"232,047",부산광역시 해운대구,관광시설관리사업소
69,2020-08-08,"231,085",부산광역시 해운대구,관광시설관리사업소
70,2020-08-09,"232,622",부산광역시 해운대구,관광시설관리사업소
71,2020-08-10,"232,181",부산광역시 해운대구,관광시설관리사업소
72,2020-08-11,"210,814",부산광역시 해운대구,관광시설관리사업소
73,2020-08-12,"221,131",부산광역시 해운대구,관광시설관리사업소
74,2020-08-13,"225,025",부산광역시 해운대구,관광시설관리사업소
75,2020-08-14,"235,920",부산광역시 해운대구,관광시설관리사업소
76,2020-08-15,"249,119",부산광역시 해운대구,관광시설관리사업소
77,2020-08-16,"267,413",부산광역시 해운대구,관광시설관리사업소
78,2020-08-17,"99,271",부산광역시 해운대구,관광시설관리사업소
79,2020-08-18,"40,535",부산광역시 해운대구,관광시설관리사업소
80,2020-08-19,"35,475",부산광역시 해운대구,관광시설관리사업소
81,2020-08-20,"34,486",부산광역시 해운대구,관광시설관리사업소
