예보시각,관광기후지수,관광기후지수등급,평균기온,최고기온,최고기온시각,최저기온,최저기온시각,일교차,강수량(mm),1시간최다강수량(mm),1시간최다강수량시각,일조합,일조율,일사합,평균습도(%rh),최저습도(%rh),평균풍속(m/s),최대풍속(m/s),최대풍속풍향(deg),최대순간풍속(m/s),최대순간풍속풍향(deg),최대순간풍속시각,최대풍속시각,year_month_day,year_month,month_day,year,month,date,day
2020-01-01,-0.4928000000000001,1.0,-2.2,0.3,1457,-6.5,1,6.8,0.1,0.0,0,0.8,8.3,4.53,64.4,37.0,0.6,2.6,50.0,4.8,50.0,906,904,20200101,202001,101,2020,1,1,Wednesday
2020-01-02,-0.2772,1.0,1.0,3.8,1500,-0.7,1,4.5,0.0,0.0,0,0.0,0.0,3.47,65.4,54.0,1.2,4.0,290.0,6.7,250.0,1437,1525,20200102,202001,102,2020,1,2,Thursday
2020-01-03,-0.049200000000000015,1.92,-0.1,4.6,1547,-3.4,807,8.0,0.0,0.0,0,8.8,90.7,10.1,56.9,26.0,1.7,3.5,270.0,5.8,270.0,1122,1422,20200103,202001,103,2020,1,3,Friday
2020-01-04,-0.13680000000000006,1.48,1.2,6.1,1450,-2.8,512,8.9,0.0,0.0,0,7.9,81.4,9.29,50.8,32.0,1.9,4.5,320.0,8.5,340.0,1206,1228,20200104,202001,104,2020,1,4,Saturday
2020-01-05,-0.10480000000000006,1.88,1.3,6.6,1453,-3.2,821,9.8,0.0,0.0,0,7.1,73.2,9.1,45.6,28.0,1.1,2.9,70.0,4.4,180.0,1312,2335,20200105,202001,105,2020,1,5,Sunday
2020-01-06,-0.6679999999999999,1.0,3.1,4.6,1158,0.6,53,4.0,1.8,0.0,0,0.0,0.0,2.03,65.4,39.0,3.1,5.4,70.0,8.8,70.0,1505,1739,20200106,202001,106,2020,1,6,Monday
2020-01-07,-0.8416000000000001,1.0,6.3,7.7,2350,4.2,1,3.5,46.3,0.0,0,0.0,0.0,0.75,95.0,93.0,4.0,6.3,70.0,9.5,90.0,2015,1846,20200107,202001,107,2020,1,7,Tuesday
2020-01-08,-0.6660000000000003,1.0,2.4,8.9,47,-0.4,2336,9.3,11.6,0.0,0,0.0,0.0,1.84,86.1,73.0,3.3,6.3,270.0,11.8,250.0,49,550,20200108,202001,108,2020,1,8,Wednesday
2020-01-09,-0.10880000000000005,1.16,-1.2,2.0,1534,-3.1,2349,5.1,0.0,0.0,0,8.7,89.7,9.14,65.3,47.0,2.3,4.3,320.0,7.2,270.0,1049,1223,20200109,202001,109,2020,1,9,Thursday
2020-01-10,-0.1400000000000001,1.0,-0.6,4.2,1534,-4.3,453,8.5,0.0,0.0,0,7.5,76.5,9.39,62.9,36.0,1.5,3.7,320.0,5.5,320.0,1810,1408,20200110,202001,110,2020,1,10,Friday
