지점 번호,지점명,일시,평균 기온(°C),최저 기온(°C),최저 기온 시각(hhmi),최고 기온(°C),최고 기온 시각(hhmi),강수 계속시간(hr),10분 최다강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다강수량 시각(hhmi),일강수량(mm),최대 순간풍속(m/s),최대 순간풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다 풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),평균 상대습도 시각(hhmi),평균 상대습도(%),평균 중기압(hPa),평균 현지기압(hPa),최고 해면 기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다 일사 시각(hhmi),1시간 최다 일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(10분위),평균 중하층운량(10분위),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0cm 지중온도(°C),1.5cm 지중온도(°C),3.0cm 지중온도(°C),5.0cm 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),일기현상,안개 계속 시간(hr)
130,울진,2015-01-01,-4.0,-7.0,752,1.2,1438,,,,,,,15.2,290,225,8.5,290,219,4.1,3559,250,-20.6,18,1259,26.8,1.2,1012.4,1021.9,2156,1015.3,110,1018.8,9.7,8.9,,,,,,,,,0.6,0.0,-2.5,-9.1,,,,,,,,,,,,,,
130,울진,2015-01-02,-2.4,-5.7,49,2.8,1343,,,,,,,16.2,320,1106,9.9,290,1147,4.1,3512,250,-17.9,19,1345,30.1,1.5,1014.5,1024.0,2207,1017.9,1211,1020.9,9.7,7.8,,,,,,,,,1.9,0.8,-1.7,-7.6,,,,,,,,,,,,,,
130,울진,2015-01-03,1.2,-5.0,538,7.4,1533,,,,,,,9.9,250,2127,5.4,250,2131,3.4,2913,250,-17.6,12,1457,24.6,1.6,1013.4,1023.6,157,1016.9,2359,1019.7,9.7,8.7,,,,,,,,,3.4,2.3,0.3,-8.1,,,,,,,,,,,,,,
130,울진,2015-01-04,3.9,-0.8,748,9.7,1601,,,,,,,9.1,250,53,5.2,90,1245,2.5,2172,250,-4.0,36,1,57.1,4.6,1010.6,1019.5,2341,1014.4,1326,1016.8,9.7,8.7,,,,,,,,,1.9,1.3,2.7,-3.4,,,,,,,,,,,,,,
130,울진,2015-01-05,6.7,-1.7,456,10.8,1138,,,,,,,8.2,250,2149,4.2,250,2151,2.2,1914,250,-2.5,24,1826,53.6,5.3,1010.1,1021.4,340,1009.2,2357,1016.3,9.7,3.5,,,,,,,,,6.0,3.5,3.5,-4.1,,,,,,,,,,,,,,
130,울진,2015-01-06,4.9,-1.0,2326,9.8,1303,,,,,3.63,0.0,14.3,340,1353,8.6,360,1338,3.6,3126,250,-5.6,22,1222,49.4,4.5,1003.9,1015.2,2320,1005.0,503,1010.0,9.7,8.1,,,,,,,,,3.5,2.4,4.2,-4.4,,,,,,,,,,,,,{비}0012-{비}{강도0}0300-0350.,
130,울진,2015-01-07,-1.6,-4.9,724,2.8,1329,,,,,,,9.7,340,1501,5.7,360,1358,2.9,2496,250,-14.8,19,1122,35.8,2.0,1012.6,1022.0,2142,1014.7,37,1019.0,9.8,9.2,,,,,,,,,1.4,0.1,-0.4,-7.1,,,,,,,,,,,,,,
130,울진,2015-01-08,0.2,-4.6,23,5.7,1544,,,,,,,8.0,250,413,4.5,250,417,2.5,2193,250,-14.9,18,1207,32.1,2.0,1015.7,1023.5,934,1020.4,1412,1022.0,9.8,9.0,,,,,,,,,0.0,0.0,-0.1,-6.9,,,,,,,,,,,,,,
130,울진,2015-01-09,1.4,-2.6,313,7.1,1351,,,,,,,8.9,230,1306,5.5,290,1606,2.9,2533,250,-13.3,16,1355,33.3,2.2,1015.1,1023.2,852,1019.7,1357,1021.4,9.8,9.0,,,,,,,,,0.0,0.0,0.4,-6.0,,,,,,,,,,,,,,
130,울진,2015-01-10,3.1,-2.5,505,9.1,1359,,,,,,,8.1,250,832,4.6,230,1033,2.7,2345,250,-10.8,18,1334,36.6,2.7,1014.5,1021.8,901,1019.2,1342,1020.7,9.8,9.2,,,,,,,,,0.0,0.0,1.5,-6.3,,,,,,,,,,,,,,
