지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),최고해면기압 나타난날(yyyymmdd),최저해면기압 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),소형총증발량(mm),소형일최대증발량(mm),대형총증발량(mm),대형일최대증발량(mm),소형일최대증발량 나타난날(yyyymmdd),대형일최대증발량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),최다풍향(16방위),평균운량(1/10),평균중하층운량(1/10),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),최심적설(cm),최심신적설(cm),3시간신적설합(cm),최심적설 나타난날(yyyymmdd),최심신적설 나타난날(yyyymmdd),평균 최저초상온도(°C),최저초상온도(°C),최저초상온도 나타난날(yyyymmdd),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C),0.2m평균지중온도(°C),0.3m평균지중온도(°C),0.5m평균지중온도(°C),1.0m평균지중온도(°C),1.5m평균지중온도(°C),3.0m평균지중온도(°C),5.0m평균지중온도(°C)
108,서울,2011-01,-7.2,-3.4,-10.5,.3,-17.8,20110114,20110116,1016.1,1027.3,1039.6,1014.9,20110127,20110111,2,4.5,.7,20110123,20110116,-15.3,54,19,20110119,8.9,5.3,,,20110123,,,37.5,1.7,,,20110112,,2.8,8,14.4,270,320,20110115,20110115,270,2.7,1.8,218.5,71.15,308.49,6,6,12.2,20110124,20110123,-16.1,-22.2,20110117,-4.7,-3.3,-2.7,-2.2,-1.1,1.5,5.3,8.3,14.6,17.2
108,서울,2011-02,1.2,5.9,-2.5,13.2,-9.2,20110226,20110212,1011.3,1022.1,1031.3,1007.6,20110215,20110208,3.7,8.1,1.3,20110227,20110225,-7.6,55,15,20110225,29.1,28.5,,,20110227,,,50.5,3.2,,,20110225,,2.6,10.6,17.4,70,50,20110227,20110227,270,4,2,166.6,55.07,303.18,1.6,.2,.2,20110201,20110217,-9.6,-16.5,20110213,1.7,.6,.5,.3,.4,1,3.5,6.2,12.3,15.9
108,서울,2011-03,3.6,8.3,-.1,16.8,-5.5,20110331,20110303,1010.7,1021.4,1029,1011.4,20110326,20110320,4.1,9.5,.9,20110313,20110316,-6.6,51,12,20110322,14.6,5.8,,,20110324,,,91.7,4.4,,,20110321,,3.4,9.9,15.4,230,250,20110308,20110308,270,3.3,2,240.2,64.83,506.61,1.8,1.8,2.5,20110324,20110324,-5,-11.9,20110303,6.4,5.2,5.3,5.2,5.4,5.2,5.8,6.9,11,14.7
108,서울,2011-04,10.7,15.6,6.8,19,4.3,20110415,20110401,1003.8,1014.1,1028.4,998.7,20110405,20110427,6.8,15.3,1.8,20110430,20110411,.3,54,10,20110411,110.1,69,12,5.5,20110430,20110430,20110430,112.7,6.6,79.6,4.5,20110411,20110411,3.2,9.5,16.4,230,230,20110424,20110424,270,4.7,2.9,202.1,51.2,504.97,,,,,,1.1,-4.7,20110401,13.6,12.2,12.1,11.7,11.7,10.7,10,9.6,10.8,13.5
108,서울,2011-05,17.9,23,13.6,31.2,8.5,20110529,20110502,1000.8,1010.7,1017.1,999.8,20110524,20110501,11.1,22.4,4.8,20110509,20110514,7.9,57,15,20110508,53.4,15,3.5,1.5,20110520,20110520,20110520,134.6,8,95.1,5.4,20110529,20110514,2.8,9.7,16.4,200,230,20110519,20110513,250,5.6,2.8,180.4,41.02,529.85,,,,,,8.9,3.2,20110504,21,19.4,19.1,18.5,18.2,16.3,14.6,13.4,11.9,13.2
108,서울,2011-06,22,26.6,18.4,32.9,14.4,20110619,20110603,996.7,1006.5,1013.3,996.3,20110602,20110623,17,27.4,7.3,20110630,20110606,14.6,67,19,20110617,404.5,177,34.5,10.5,20110629,20110629,20110629,126.2,8.8,94.8,7.1,20110620,20110616,2.9,10.9,19,70,70,20110626,20110626,270,6.1,4,170.8,38.64,492.72,,,,,,15.4,9.7,20110607,25.8,24.3,24.2,23.5,23.3,21.7,19.5,17.7,13.9,13.5
108,서울,2011-07,24.6,28,22,34.1,18.9,20110718,20110704,996,1005.7,1013.3,994.1,20110711,20110703,24,29.7,14.5,20110727,20110706,20.3,79,30,20110720,1131,301.5,62,18,20110727,20110726,20110726,80.1,7.5,58.9,6.2,20110720,20110720,2.4,9.3,16.7,50,50,20110719,20110719,70,8,6,80.4,17.91,342.33,,,,,,21.5,16.3,20110705,26.5,26,25.9,25.5,25.5,24.9,23.6,22.6,19.5,16
108,서울,2011-08,25.8,29.5,23,34.1,18.1,20110805,20110823,998.6,1008.3,1016.6,997,20110826,20110808,24.3,30,12.9,20110803,20110823,20.5,74,30,20110831,166.8,41.5,24,12,20110803,20110803,20110803,104.5,6.5,75.5,5.1,20110826,20110826,2.5,9.4,15.6,200,200,20110808,20110808,70,7.5,5.4,94,22.3,378.91,,,,,,21.4,16.1,20110823,27.5,26.9,26.8,26.4,26.5,26.3,25.2,24.5,21.2,17.6
108,서울,2011-09,21.8,26.6,17.7,32.4,10.3,20110902,20110930,1002.9,1012.8,1023.3,1001.7,20110925,20110902,15.1,24,5.5,20110901,20110930,12.5,58,13,20110927,25.6,22.5,7.5,2,20110929,20110929,20110929,144.9,7.2,98.1,5.1,20110905,20110930,2.4,7.6,15,50,70,20110903,20110919,50,4.5,2.9,180.4,48.29,449.39,,,,,,13.1,4.5,20110922,25.1,24.1,24.4,24.2,24.6,24.5,24.7,24.3,21.1,18.2
108,서울,2011-10,14.2,19.3,9.7,23.4,3.1,20111013,20111026,1010.1,1020.3,1027.9,1005.3,20111019,20111015,8.8,15.5,2.6,20111011,20111017,4.3,55,15,20111017,32,20,8,5,20111015,20111015,20111015,116.5,6.5,75,4.1,20111006,20111003,2.1,7.1,13.6,250,290,20111016,20111017,50,3.8,1.7,215.3,63.81,364.29,,,,,,4,-3.5,20111018,15.3,15.1,15.6,15.9,16.6,18.1,20.3,21.3,20.8,18.7
108,서울,2011-11,10.7,14.7,7.2,25.9,-5.5,20111105,20111124,1012.3,1022.7,1033.5,1005.3,20111121,20111119,8.4,16.8,1.1,20111104,20111121,2.8,61,14,20111121,56.2,30,,,20111130,,,63.5,4.8,,,20111101,,2.7,9.7,16.1,270,270,20111123,20111123,70,6,4.1,129.5,42.33,189.83,,,,,,3.5,-8.2,20111121,10.2,10.7,11.1,11.3,12.1,13.4,16.3,17.9,19.6,18.8
108,서울,2011-12,-.9,2.9,-4.1,9.1,-10.6,20111203,20111217,1016.7,1027.6,1037.8,1015.7,20111227,20111203,3.1,7.4,.6,20111203,20111223,-10.5,51,15,20111223,7.1,3.5,,,20111203,,,60.5,3.7,,,20111227,,2.6,7.7,13.3,290,270,20111222,20111222,290,3.9,2.6,195.6,65.44,215.83,2.1,1.2,3.2,20111224,20111223,-9.2,-17.2,20111217,-.5,.8,1.5,2,3.1,5.5,9.9,12.7,17.5,18.2
