측정일자,동대문구,종로구,중구,성동구,금천구,송파구,관악구,강동구,서대문구,노원구,마포구,동작구,서초구,구로구,영등포구,강남구,강서구,성북구,중랑구,강북구,양천구,도봉구,은평구,용산구,광진구
2010-01-01,35.0,36.0,33.0,31.0,33.0,32.0,36.0,29.0,32.0,30.0,34.0,32.0,32.0,33.0,31.0,36.0,34.0,33.0,33.0,33.0,36.0,31.0,29.0,34.0,32.0
2010-01-02,50.0,53.0,48.0,51.0,56.0,46.0,59.0,45.0,53.0,47.0,54.0,57.0,55.0,56.0,53.0,56.0,53.0,42.0,49.0,47.0,62.0,44.0,47.0,51.0,45.0
2010-01-03,50.0,44.0,48.0,46.0,45.0,46.0,50.0,42.0,45.0,45.0,51.0,44.0,49.0,48.0,48.0,50.0,49.0,46.0,52.0,44.0,50.0,49.0,47.0,49.0,46.0
2010-01-04,38.0,43.0,37.0,38.0,38.0,34.0,39.0,32.0,37.0,37.0,42.0,39.0,37.0,38.0,37.0,38.0,37.0,34.0,40.0,37.0,43.0,33.0,35.0,38.0,34.0
2010-01-05,49.0,48.0,49.0,50.0,45.0,47.0,52.0,38.0,56.0,41.0,54.0,48.0,51.0,54.0,52.0,50.0,54.0,44.0,50.0,40.0,53.0,46.0,48.0,51.0,48.0
2010-01-06,34.0,34.0,35.0,35.0,38.0,52.0,38.0,40.0,38.0,43.0,39.0,35.0,34.0,42.0,39.0,37.0,42.0,33.0,38.0,38.0,41.0,41.0,34.0,37.0,39.0
2010-01-07,67.0,62.0,60.0,63.0,49.0,71.0,57.0,57.0,49.0,74.0,60.0,53.0,58.0,54.0,54.0,65.0,68.0,65.0,67.0,69.0,62.0,76.0,48.0,61.0,67.0
2010-01-08,89.0,78.0,79.0,77.0,81.0,82.0,81.0,63.0,71.0,87.0,82.0,77.0,79.0,82.0,80.0,87.0,91.0,76.0,83.0,83.0,89.0,90.0,69.0,77.0,79.0
2010-01-09,85.0,79.0,78.0,90.0,77.0,94.0,83.0,74.0,72.0,77.0,84.0,79.0,84.0,81.0,82.0,93.0,79.0,72.0,83.0,77.0,90.0,77.0,62.0,88.0,82.0
2010-01-10,69.0,72.0,62.0,63.0,84.0,68.0,74.0,61.0,67.0,66.0,74.0,72.0,67.0,77.0,73.0,72.0,84.0,59.0,64.0,68.0,87.0,64.0,52.0,65.0,67.0
2010-01-11,80.0,76.0,72.0,76.0,75.0,83.0,72.0,67.0,81.0,73.0,84.0,67.0,75.0,79.0,84.0,80.0,85.0,73.0,77.0,69.0,84.0,76.0,68.0,72.0,79.0
2010-01-12,33.0,34.0,34.0,36.0,54.5,58.5,31.0,29.0,35.0,28.0,34.0,30.0,36.0,42.0,36.0,35.0,62.5,29.0,33.0,27.0,61.0,31.0,34.0,38.0,32.0
