측정일자,미세먼지(㎍/㎥)
2010-01-01,31
2010-01-02,44
2010-01-03,49
2010-01-04,33
2010-01-05,46
2010-01-06,41
2010-01-07,76
2010-01-08,90
2010-01-09,77
2010-01-10,64
2010-01-11,76
2010-01-12,31
2010-01-13,32
2010-01-14,47
2010-01-15,52
2010-01-16,62
2010-01-17,58
2010-01-18,67
2010-01-19,74
2010-01-20,35
2010-01-21,39
2010-01-22,37
2010-01-23,47
2010-01-24,57
2010-01-25,131
2010-01-26,60
2010-01-27,44
2010-01-28,45
2010-01-29,43
2010-01-30,74
2010-01-31,84
2010-02-01,93
2010-02-02,21
2010-02-03,37
2010-02-04,39
2010-02-05,31
2010-02-06,46
2010-02-07,47
2010-02-08,52
2010-02-09,52
2010-02-10,31
2010-02-11,9
2010-02-12,14
2010-02-13,26
2010-02-14,36
2010-02-15,55
2010-02-16,41
2010-02-17,51
2010-02-18,57
2010-02-19,51
2010-02-20,69
2010-02-21,57
2010-02-22,54
2010-02-23,70
2010-02-24,72
2010-02-25,26
2010-02-26,27
2010-02-27,32
2010-02-28,51
2010-03-01,16
2010-03-02,20
2010-03-03,86
2010-03-04,33
2010-03-05,34
2010-03-06,54
2010-03-07,13
2010-03-08,12
2010-03-09,16
2010-03-10,20
2010-03-11,43
2010-03-12,78
2010-03-13,119
2010-03-14,94
2010-03-15,111
2010-03-16,237
2010-03-17,44
2010-03-18,36
2010-03-19,45
2010-03-20,101
2010-03-21,40
2010-03-22,47
2010-03-23,46
2010-03-24,68
2010-03-25,50
2010-03-26,46
2010-03-27,88
2010-03-28,51
2010-03-29,53
2010-03-30,60
2010-03-31,27
2010-04-01,47
2010-04-02,88
2010-04-03,68
2010-04-04,47
2010-04-05,39
2010-04-06,38
2010-04-07,35
2010-04-08,54
2010-04-09,44
2010-04-10,50
2010-04-11,23
2010-04-12,28
2010-04-13,28
2010-04-14,34
2010-04-15,39
2010-04-16,69
2010-04-17,40
2010-04-18,54
2010-04-19,53
2010-04-20,51
2010-04-21,30
2010-04-22,11
2010-04-23,19
2010-04-24,39
2010-04-25,52
2010-04-26,36
2010-04-27,32
2010-04-28,31
2010-04-29,58
2010-04-30,38
2010-05-01,35
2010-05-02,60
2010-05-03,82
2010-05-04,76
2010-05-05,69
2010-05-06,29
2010-05-07,32
2010-05-08,55
2010-05-09,62
2010-05-10,84
2010-05-11,55
2010-05-12,45
2010-05-13,50
2010-05-14,32
2010-05-15,39
2010-05-16,36
2010-05-17,46
2010-05-18,14
2010-05-19,68
2010-05-20,119
2010-05-21,108
2010-05-22,71
2010-05-23,6
2010-05-24,11
2010-05-25,35
2010-05-26,10
2010-05-27,13
2010-05-28,33
2010-05-29,32
2010-05-30,18
2010-05-31,18
2010-06-01,21
2010-06-02,31
2010-06-03,34
2010-06-04,30
2010-06-05,32
2010-06-06,31
2010-06-07,24
2010-06-08,24
2010-06-09,43
2010-06-10,54
2010-06-11,40
2010-06-12,21
2010-06-13,18
2010-06-14,18
2010-06-15,19
2010-06-16,40
2010-06-17,138
2010-06-18,109
2010-06-19,58
2010-06-20,35
2010-06-21,42
2010-06-22,41
2010-06-23,31
2010-06-24,41
2010-06-25,53
2010-06-26,27
2010-06-27,21
2010-06-28,45
2010-06-29,55
2010-06-30,48
2010-07-01,57
2010-07-02,42
2010-07-03,16
2010-07-04,17
2010-07-05,42
2010-07-06,63
2010-07-07,53
2010-07-08,32
2010-07-09,32
2010-07-10,33
2010-07-11,21
2010-07-12,18
2010-07-13,18
2010-07-14,25
2010-07-15,40
2010-07-16,24
2010-07-17,9
2010-07-18,11
2010-07-19,18
2010-07-20,20
2010-07-21,20
2010-07-22,11
2010-07-23,14
2010-07-24,48
2010-07-25,25
2010-07-26,13
2010-07-27,18
2010-07-28,15
2010-07-29,20
2010-07-30,39
2010-07-31,45
2010-08-01,50
2010-08-02,33
2010-08-03,30
2010-08-04,52
2010-08-05,35
2010-08-06,14
2010-08-07,14
2010-08-08,24
2010-08-09,28
2010-08-10,18
2010-08-11,13
2010-08-12,33
2010-08-13,33
2010-08-14,46
2010-08-15,41
2010-08-16,64
2010-08-17,46
2010-08-18,23
2010-08-19,24
2010-08-20,28
2010-08-21,28
2010-08-22,26
2010-08-23,15
2010-08-24,13
2010-08-25,9
2010-08-26,13
2010-08-27,19
2010-08-28,19
2010-08-29,11
2010-08-30,19
2010-08-31,36
2010-09-01,14
2010-09-02,11
2010-09-03,18
2010-09-04,21
2010-09-05,21
2010-09-06,11
2010-09-07,16
2010-09-08,19
2010-09-09,16
2010-09-10,11
2010-09-11,8
2010-09-12,11
2010-09-13,41
2010-09-14,47
2010-09-15,26
2010-09-16,29
2010-09-17,38
2010-09-18,35
2010-09-19,31
2010-09-20,15
2010-09-21,13
2010-09-22,7
2010-09-23,10
2010-09-24,20
2010-09-25,15
2010-09-26,17
2010-09-27,19
2010-09-28,28
2010-09-29,29
2010-09-30,35
2010-10-01,38
2010-10-02,30
2010-10-03,16
2010-10-04,15
2010-10-05,23
2010-10-06,28
2010-10-07,36
2010-10-08,28
2010-10-09,15
2010-10-10,41
2010-10-11,62
2010-10-12,54
2010-10-13,58
2010-10-14,41
2010-10-15,25
2010-10-16,45
2010-10-17,46
2010-10-18,49
2010-10-19,64
2010-10-20,77
2010-10-21,41
2010-10-22,20
2010-10-23,29
2010-10-24,39
2010-10-25,51
2010-10-26,30
2010-10-27,29
2010-10-28,43
2010-10-29,44
2010-10-30,39
2010-10-31,29
2010-11-01,48
2010-11-02,40
2010-11-03,37
2010-11-04,73
2010-11-05,118
2010-11-06,180
2010-11-07,183
2010-11-08,35
2010-11-09,18
2010-11-10,20
2010-11-11,205
2010-11-12,53
2010-11-13,85
2010-11-14,44
2010-11-15,21
2010-11-16,30
2010-11-17,54
