미세먼지(㎍/㎥),측정일자
21,2021-01-01
27,2021-01-02
30,2021-01-03
33,2021-01-04
21,2021-01-05
17,2021-01-06
26,2021-01-07
12,2021-01-08
20,2021-01-09
26,2021-01-10
37,2021-01-11
50,2021-01-12
94,2021-01-13
63,2021-01-14
72,2021-01-15
43,2021-01-16
11,2021-01-17
27,2021-01-18
25,2021-01-19
41,2021-01-20
37,2021-01-21
37,2021-01-22
6,2021-01-23
5,2021-01-24
12,2021-01-25
25,2021-01-26
31,2021-01-27
25,2021-01-28
17,2021-01-29
36,2021-01-30
44,2021-01-31
64,2021-02-01
23,2021-02-02
24,2021-02-03
16,2021-02-04
23,2021-02-05
57,2021-02-06
74,2021-02-07
16,2021-02-08
14,2021-02-09
29,2021-02-10
61,2021-02-11
70,2021-02-12
74,2021-02-13
66,2021-02-14
40,2021-02-15
13,2021-02-16
37,2021-02-17
35,2021-02-18
39,2021-02-19
60,2021-02-20
67,2021-02-21
52,2021-02-22
47,2021-02-23
47,2021-02-24
44,2021-02-25
29,2021-02-26
11,2021-02-27
13,2021-02-28
11,2021-03-01
4,2021-03-02
29,2021-03-03
38,2021-03-04
30,2021-03-05
25,2021-03-06
14,2021-03-07
32,2021-03-08
34,2021-03-09
75,2021-03-10
107,2021-03-11
63,2021-03-12
50,2021-03-13
66,2021-03-14
70,2021-03-15
109,2021-03-16
96,2021-03-17
69,2021-03-18
57,2021-03-19
21,2021-03-20
35,2021-03-21
31,2021-03-22
77,2021-03-23
61,2021-03-24
67,2021-03-25
83,2021-03-26
52,2021-03-27
15,2021-03-28
313,2021-03-29
96,2021-03-30
37,2021-03-31
35,2021-04-01
36,2021-04-02
28,2021-04-03
6,2021-04-04
13,2021-04-05
32,2021-04-06
40,2021-04-07
26,2021-04-08
29,2021-04-09
28,2021-04-10
39,2021-04-11
30,2021-04-12
7,2021-04-13
26,2021-04-14
57,2021-04-15
91,2021-04-16
74,2021-04-17
33,2021-04-18
55,2021-04-19
79,2021-04-20
74,2021-04-21
75,2021-04-22
43,2021-04-23
23,2021-04-24
26,2021-04-25
29,2021-04-26
33,2021-04-27
65,2021-04-28
67,2021-04-29
34,2021-04-30
26,2021-05-01
18,2021-05-02
36,2021-05-03
28,2021-05-04
48,2021-05-05
73,2021-05-06
292,2021-05-07
454,2021-05-08
44,2021-05-09
24,2021-05-10
22,2021-05-11
22,2021-05-12
44,2021-05-13
54,2021-05-14
45,2021-05-15
9,2021-05-16
13,2021-05-17
30,2021-05-18
31,2021-05-19
24,2021-05-20
15,2021-05-21
27,2021-05-22
35,2021-05-23
132,2021-05-24
94,2021-05-25
42,2021-05-26
38,2021-05-27
35,2021-05-28
16,2021-05-29
23,2021-05-30
31,2021-05-31
37,2021-06-01
51,2021-06-02
28,2021-06-03
26,2021-06-04
45,2021-06-05
67,2021-06-06
38,2021-06-07
36,2021-06-08
37,2021-06-09
47,2021-06-10
19,2021-06-11
19,2021-06-12
31,2021-06-13
35,2021-06-14
30,2021-06-15
11,2021-06-16
14,2021-06-17
17,2021-06-18
43,2021-06-19
50,2021-06-20
44,2021-06-21
20,2021-06-22
16,2021-06-23
29,2021-06-24
41,2021-06-25
21,2021-06-26
18,2021-06-27
23,2021-06-28
26,2021-06-29
34,2021-06-30
32,2021-07-01
25,2021-07-02
13,2021-07-03
9,2021-07-04
18,2021-07-05
45,2021-07-06
31,2021-07-07
26,2021-07-08
17,2021-07-09
27,2021-07-10
30,2021-07-11
27,2021-07-12
33,2021-07-13
26,2021-07-14
20,2021-07-15
18,2021-07-16
14,2021-07-17
13,2021-07-18
14,2021-07-19
19,2021-07-20
18,2021-07-21
17,2021-07-22
27,2021-07-23
24,2021-07-24
