측정일자,미세먼지(㎍/㎥)
2010-01-01,32
2010-01-02,57
2010-01-03,44
2010-01-04,39
2010-01-05,48
2010-01-06,35
2010-01-07,53
2010-01-08,77
2010-01-09,79
2010-01-10,72
2010-01-11,67
2010-01-12,30
2010-01-13,32
2010-01-14,42
2010-01-15,58
2010-01-16,53
2010-01-17,53
2010-01-18,88
2010-01-19,96
2010-01-20,74
2010-01-21,35
2010-01-22,33
2010-01-23,39
2010-01-24,52
2010-01-25,104
2010-01-26,42
2010-01-27,48
2010-01-28,51
2010-01-29,34
2010-01-30,73
2010-01-31,95
2010-02-01,105
2010-02-02,21
2010-02-03,33
2010-02-04,39
2010-02-05,34
2010-02-06,40
2010-02-07,49
2010-02-08,58
2010-02-09,66
2010-02-10,29
2010-02-11,9
2010-02-12,21
2010-02-13,29
2010-02-14,31
2010-02-15,52
2010-02-16,33
2010-02-17,48
2010-02-18,53
2010-02-19,47
2010-02-20,67
2010-02-21,60
2010-02-22,68
2010-02-23,79
2010-02-24,73
2010-02-25,34
2010-02-26,31
2010-02-27,40
2010-02-28,63
2010-03-01,26
2010-03-02,28
2010-03-03,80
2010-03-04,26
2010-03-05,39
2010-03-06,62
2010-03-07,16
2010-03-08,14
2010-03-09,22
2010-03-10,30
2010-03-11,44
2010-03-12,70
2010-03-13,83
2010-03-14,76
2010-03-15,82
2010-03-16,142
2010-03-17,43
2010-03-18,39
2010-03-19,44
2010-03-20,102
2010-03-21,36
2010-03-22,36
2010-03-23,51
2010-03-24,64
2010-03-25,46
2010-03-26,41
2010-03-27,79
2010-03-28,45
2010-03-29,50
2010-03-30,60
2010-03-31,35
2010-04-01,61
2010-04-02,68
2010-04-03,49
2010-04-04,44
2010-04-05,49
2010-04-06,41
2010-04-07,36
2010-04-08,55
2010-04-09,47
2010-04-10,59
2010-04-11,31
2010-04-12,28
2010-04-13,30
2010-04-14,26
2010-04-15,40
2010-04-16,72
2010-04-17,52
2010-04-18,63
2010-04-19,60
2010-04-20,57
2010-04-21,35
2010-04-22,14
2010-04-23,24
2010-04-24,52
2010-04-25,56
2010-04-26,50
2010-04-27,32
2010-04-28,30
2010-04-29,50
2010-04-30,46
2010-05-01,40
2010-05-02,60
2010-05-03,73
2010-05-04,72
2010-05-05,64
2010-05-06,31
2010-05-07,36
2010-05-08,63
2010-05-09,75
2010-05-10,76
2010-05-11,49
2010-05-12,50
2010-05-13,60
2010-05-14,34
2010-05-17,54
2010-05-18,18
2010-05-19,78
2010-05-20,129
2010-05-21,131
2010-05-22,93
2010-05-23,11
2010-05-24,18
2010-05-25,58
2010-05-26,20
2010-05-27,19
2010-05-28,46
2010-05-29,41
2010-05-30,36
2010-05-31,36
2010-06-01,30
2010-06-02,49
2010-06-03,52
2010-06-04,40
2010-06-05,42
2010-06-06,42
2010-06-07,37
2010-06-08,33
2010-06-09,55
2010-06-10,75
2010-06-11,56
2010-06-12,40
2010-06-13,34
2010-06-14,48
2010-06-15,32
2010-06-16,61
2010-06-17,160
2010-06-18,140
2010-06-19,103
2010-06-20,59
2010-06-21,64
2010-06-22,46
2010-06-23,46
2010-06-24,56
2010-06-25,74
2010-06-26,39
2010-06-27,28
2010-06-28,66
2010-06-29,78
2010-06-30,62
2010-07-01,69
2010-07-02,43
2010-07-03,58
2010-07-04,26
2010-07-05,66
2010-07-06,82
2010-07-07,70
2010-07-08,48
2010-07-09,44
2010-07-10,46
2010-07-11,31
2010-07-12,27
2010-07-13,31
2010-07-14,47
2010-07-15,58
2010-07-16,32
2010-07-17,13
2010-07-18,6
2010-07-19,20
2010-07-20,23
2010-07-21,22
2010-07-22,15
2010-07-23,19
2010-07-24,50
2010-07-25,21
2010-07-26,18
2010-07-27,24
2010-07-28,20
2010-07-29,26
2010-07-30,38
2010-07-31,52
2010-08-01,55
2010-08-02,49
2010-08-03,41
2010-08-04,56
2010-08-05,34
2010-08-06,21
2010-08-07,25
2010-08-08,30
2010-08-09,32
2010-08-10,25
2010-08-11,21
2010-08-12,48
2010-08-13,61
2010-08-14,69
2010-08-15,54
2010-08-16,73
2010-08-17,58
2010-08-18,38
2010-08-19,34
2010-08-20,31
2010-08-21,33
2010-08-22,35
2010-08-23,23
2010-08-24,18
2010-08-25,17
2010-08-26,24
2010-08-27,30
2010-08-28,26
2010-08-29,17
2010-08-30,30
2010-08-31,42
2010-09-01,19
2010-09-02,18
2010-09-03,23
2010-09-04,23
2010-09-05,16
2010-09-06,10
2010-09-07,17
2010-09-08,22
2010-09-09,23
2010-09-10,17
2010-09-11,12
2010-09-12,19
2010-09-13,53
2010-09-14,63
2010-09-15,26
2010-09-16,31
2010-09-17,44
2010-09-18,39
2010-09-19,36
2010-09-20,28
2010-09-21,28
2010-09-22,11
2010-09-23,13
2010-09-24,20
2010-09-25,18
2010-09-26,19
2010-09-27,26
2010-09-28,35
2010-09-29,32
2010-09-30,38
2010-10-01,41
2010-10-02,29
2010-10-03,20
2010-10-04,18
2010-10-05,29
2010-10-06,48
2010-10-07,48
2010-10-08,32
2010-10-09,17
2010-10-10,47
2010-10-11,79
2010-10-12,54
2010-10-13,48
2010-10-14,44
2010-10-15,22
2010-10-16,41
2010-10-17,47
2010-10-18,48
2010-10-19,62
2010-10-20,83
2010-10-21,50
2010-10-22,22
2010-10-23,27
2010-10-24,41
2010-10-25,46
2010-10-26,23
2010-10-27,24
2010-10-28,37
2010-10-29,41
2010-10-30,36
2010-10-31,28
2010-11-01,53
2010-11-02,31
2010-11-03,32
2010-11-04,71
2010-11-05,124
2010-11-06,196
2010-11-07,163
2010-11-08,33
2010-11-09,17
2010-11-10,24
2010-11-11,161
2010-11-12,42
2010-11-13,69
2010-11-14,29
2010-11-15,21
2010-11-16,27
2010-11-17,64
2010-11-18,67
2010-11-19,94
2010-11-20,94
2010-11-21,92
2010-11-22,36
2010-11-23,40
2010-11-24,56
2010-11-25,52
2010-11-26,29
2010-11-27,62
2010-11-28,48
2010-11-29,52
2010-11-30,114
2010-12-01,159
2010-12-02,113
2010-12-03,74
2010-12-04,40
2010-12-05,57
2010-12-06,56
2010-12-07,29
2010-12-08,40
2010-12-09,35
2010-12-10,68
2010-12-11,61
2010-12-12,21
2010-12-13,36
2010-12-14,28
2010-12-15,31
2010-12-16,36
2010-12-17,70
2010-12-18,80
2010-12-19,76
2010-12-20,154
2010-12-21,100
2010-12-22,69
2010-12-23,62
2010-12-24,36
2010-12-25,36
2010-12-26,0
2010-12-27,56
2010-12-28,67
2010-12-29,36
2010-12-30,42
2010-12-31,38
2011-01-01,54
2011-01-02,67
2011-01-03,60
2011-01-04,55
2011-01-05,41
2011-01-06,33
2011-01-07,38
2011-01-08,62
2011-01-09,43
2011-01-10,37
2011-01-11,53
2011-01-12,33
2011-01-13,44
2011-01-14,56
2011-01-15,37
2011-01-16,29
2011-01-17,30
2011-01-18,40
2011-01-19,40
2011-01-20,40
2011-01-21,35
2011-01-22,45
2011-01-23,57
2011-01-24,46
2011-01-25,42
2011-01-26,37
2011-01-27,33
2011-01-28,35
2011-01-29,28
2011-01-30,28
2011-01-31,44
2011-02-01,65
2011-02-02,103
2011-02-03,127
2011-02-04,149
2011-02-05,138
2011-02-06,146
2011-02-07,123
2011-02-08,83
2011-02-09,47
2011-02-10,50
2011-02-11,57
2011-02-12,41
2011-02-13,44
2011-02-14,54
2011-02-15,69
2011-02-16,69
2011-02-17,73
2011-02-18,89
2011-02-19,81
2011-02-20,62
2011-02-21,43
2011-02-22,75
2011-02-23,100
2011-02-24,51
2011-02-25,46
2011-02-26,47
2011-02-27,36
2011-02-28,13
2011-03-01,34
2011-03-02,27
2011-03-03,27
2011-03-04,41
2011-03-05,48
2011-03-06,67
2011-03-07,50
2011-03-08,37
2011-03-09,35
2011-03-10,44
2011-03-11,52
2011-03-12,79
2011-03-13,59
2011-03-14,72
2011-03-15,50
2011-03-16,29
2011-03-17,34
2011-03-18,37
2011-03-19,210
2011-03-20,126
2011-03-21,121
2011-03-22,36
2011-03-23,40
2011-03-24,54
2011-03-25,43
2011-03-26,41
2011-03-27,43
2011-03-28,59
2011-03-29,63
2011-03-30,90
2011-03-31,127
2011-04-01,80
2011-04-02,106
2011-04-03,91
2011-04-04,67
2011-04-05,52
2011-04-06,54
2011-04-07,27
2011-04-08,41
2011-04-09,51
2011-04-10,75
2011-04-11,60
2011-04-12,56
2011-04-13,74
2011-04-14,71
2011-04-15,64
2011-04-16,57
2011-04-17,60
2011-04-18,32
2011-04-19,40
2011-04-20,82
2011-04-21,54
2011-04-22,30
2011-04-23,41
2011-04-24,53
2011-04-25,53
2011-04-26,29
2011-04-27,40
2011-04-28,29
2011-04-29,46
2011-04-30,47
2011-05-01,172
2011-05-02,230
2011-05-03,193
2011-05-04,58
2011-05-05,65
2011-05-06,57
2011-05-07,55
2011-05-08,79
2011-05-09,46
2011-05-10,48
2011-05-11,14
2011-05-12,80
2011-05-13,84
2011-05-14,72
2011-05-15,91
2011-05-16,76
2011-05-17,41
2011-05-18,50
2011-05-19,42
2011-05-20,27
2011-05-21,47
2011-05-22,35
