미세먼지(㎍/㎥),측정일자
26,2021-01-01
32,2021-01-02
39,2021-01-03
39,2021-01-04
30,2021-01-05
26,2021-01-06
34,2021-01-07
23,2021-01-08
28,2021-01-09
35,2021-01-10
48,2021-01-11
58,2021-01-12
94,2021-01-13
79,2021-01-14
75,2021-01-15
61,2021-01-16
20,2021-01-17
41,2021-01-18
34,2021-01-19
46,2021-01-20
55,2021-01-21
38,2021-01-22
12,2021-01-23
13,2021-01-24
24,2021-01-25
37,2021-01-26
42,2021-01-27
37,2021-01-28
27,2021-01-29
51,2021-01-30
56,2021-01-31
67,2021-02-01
34,2021-02-02
34,2021-02-03
27,2021-02-04
28,2021-02-05
63,2021-02-06
87,2021-02-07
29,2021-02-08
27,2021-02-09
34,2021-02-10
66,2021-02-11
90,2021-02-12
96,2021-02-13
92,2021-02-14
53,2021-02-15
25,2021-02-16
43,2021-02-17
45,2021-02-18
44,2021-02-19
70,2021-02-20
70,2021-02-21
57,2021-02-22
56,2021-02-23
57,2021-02-24
56,2021-02-25
41,2021-02-26
19,2021-02-27
24,2021-02-28
17,2021-03-01
11,2021-03-02
38,2021-03-03
42,2021-03-04
37,2021-03-05
32,2021-03-06
24,2021-03-07
47,2021-03-08
47,2021-03-09
94,2021-03-10
123,2021-03-11
64,2021-03-12
52,2021-03-13
74,2021-03-14
73,2021-03-15
92,2021-03-16
98,2021-03-17
95,2021-03-18
70,2021-03-19
31,2021-03-20
45,2021-03-21
42,2021-03-22
81,2021-03-23
64,2021-03-24
66,2021-03-25
122,2021-03-26
63,2021-03-27
19,2021-03-28
312,2021-03-29
121,2021-03-30
46,2021-03-31
47,2021-04-01
49,2021-04-02
37,2021-04-03
10,2021-04-04
24,2021-04-05
42,2021-04-06
55,2021-04-07
36,2021-04-08
35,2021-04-09
34,2021-04-10
45,2021-04-11
40,2021-04-12
15,2021-04-13
29,2021-04-14
48,2021-04-15
71,2021-04-16
83,2021-04-17
32,2021-04-18
46,2021-04-19
73,2021-04-20
77,2021-04-21
71,2021-04-22
46,2021-04-23
26,2021-04-24
26,2021-04-25
28,2021-04-26
31,2021-04-27
65,2021-04-28
76,2021-04-29
36,2021-04-30
28,2021-05-01
16,2021-05-02
33,2021-05-03
32,2021-05-04
45,2021-05-05
68,2021-05-06
328,2021-05-07
478,2021-05-08
53,2021-05-09
19,2021-05-10
21,2021-05-11
21,2021-05-12
46,2021-05-13
52,2021-05-14
58,2021-05-15
11,2021-05-16
15,2021-05-17
32,2021-05-18
32,2021-05-19
30,2021-05-20
13,2021-05-21
24,2021-05-22
32,2021-05-23
122,2021-05-24
106,2021-05-25
45,2021-05-26
40,2021-05-27
42,2021-05-28
24,2021-05-29
29,2021-05-30
36,2021-05-31
38,2021-06-01
53,2021-06-02
33,2021-06-03
25,2021-06-04
44,2021-06-05
64,2021-06-06
39,2021-06-07
46,2021-06-08
52,2021-06-09
61,2021-06-10
22,2021-06-11
26,2021-06-12
33,2021-06-13
41,2021-06-14
31,2021-06-15
13,2021-06-16
18,2021-06-17
18,2021-06-18
44,2021-06-19
49,2021-06-20
46,2021-06-21
28,2021-06-22
23,2021-06-23
33,2021-06-24
37,2021-06-25
25,2021-06-26
24,2021-06-27
29,2021-06-28
36,2021-06-29
41,2021-06-30
43,2021-07-01
31,2021-07-02
17,2021-07-03
9,2021-07-04
23,2021-07-05
46,2021-07-06
36,2021-07-07
24,2021-07-08
19,2021-07-09
28,2021-07-10
35,2021-07-11
34,2021-07-12
33,2021-07-13
22,2021-07-14
22,2021-07-15
24,2021-07-16
20,2021-07-17
14,2021-07-18
16,2021-07-19
21,2021-07-20
25,2021-07-21
27,2021-07-22
29,2021-07-23
31,2021-07-24
