미세먼지(㎍/㎥),측정일자
22,2021-01-01
30,2021-01-02
32,2021-01-03
31,2021-01-04
25,2021-01-05
21,2021-01-06
35,2021-01-07
17,2021-01-08
21,2021-01-09
25,2021-01-10
38,2021-01-11
49,2021-01-12
102,2021-01-13
68,2021-01-14
73,2021-01-15
49,2021-01-16
16,2021-01-17
36,2021-01-18
27,2021-01-19
40,2021-01-20
33,2021-01-21
30,2021-01-22
12,2021-01-23
8,2021-01-24
14,2021-01-25
42,2021-01-26
37,2021-01-27
32,2021-01-28
22,2021-01-29
47,2021-01-30
42,2021-01-31
65,2021-02-01
29,2021-02-02
29,2021-02-03
22,2021-02-04
23,2021-02-05
64,2021-02-06
80,2021-02-07
25,2021-02-08
19,2021-02-09
32,2021-02-10
67,2021-02-11
80,2021-02-12
76,2021-02-13
74,2021-02-14
54,2021-02-15
20,2021-02-16
46,2021-02-17
42,2021-02-18
41,2021-02-19
66,2021-02-20
72,2021-02-21
55,2021-02-22
54,2021-02-23
50,2021-02-24
52,2021-02-25
30,2021-02-26
12,2021-02-27
18,2021-02-28
12,2021-03-01
7,2021-03-02
39,2021-03-03
35,2021-03-04
34,2021-03-05
29,2021-03-06
20,2021-03-07
38,2021-03-08
39,2021-03-09
81,2021-03-10
105,2021-03-11
62,2021-03-12
51,2021-03-13
74,2021-03-14
86,2021-03-15
105,2021-03-16
102,2021-03-17
102,2021-03-18
90,2021-03-19
27,2021-03-20
42,2021-03-21
37,2021-03-22
81,2021-03-23
65,2021-03-24
71,2021-03-25
103,2021-03-26
45,2021-03-27
18,2021-03-28
313,2021-03-29
108,2021-03-30
39,2021-03-31
37,2021-04-01
46,2021-04-02
25,2021-04-03
7,2021-04-04
21,2021-04-05
40,2021-04-06
53,2021-04-07
33,2021-04-08
31,2021-04-09
33,2021-04-10
38,2021-04-11
35,2021-04-12
14,2021-04-13
27,2021-04-14
49,2021-04-15
93,2021-04-16
81,2021-04-17
29,2021-04-18
54,2021-04-19
73,2021-04-20
74,2021-04-21
71,2021-04-22
38,2021-04-23
19,2021-04-24
21,2021-04-25
30,2021-04-26
30,2021-04-27
67,2021-04-28
70,2021-04-29
37,2021-04-30
23,2021-05-01
13,2021-05-02
33,2021-05-03
21,2021-05-04
46,2021-05-05
76,2021-05-06
324,2021-05-07
420,2021-05-08
48,2021-05-09
17,2021-05-10
13,2021-05-11
17,2021-05-12
40,2021-05-13
47,2021-05-14
53,2021-05-15
4,2021-05-16
5,2021-05-17
24,2021-05-18
33,2021-05-19
15,2021-05-20
9,2021-05-21
22,2021-05-22
33,2021-05-23
135,2021-05-24
91,2021-05-25
44,2021-05-26
38,2021-05-27
34,2021-05-28
14,2021-05-29
20,2021-05-30
33,2021-05-31
34,2021-06-01
48,2021-06-02
26,2021-06-03
24,2021-06-04
47,2021-06-05
66,2021-06-06
35,2021-06-07
40,2021-06-08
37,2021-06-09
50,2021-06-10
15,2021-06-11
17,2021-06-12
26,2021-06-13
43,2021-06-14
23,2021-06-15
4,2021-06-16
13,2021-06-17
12,2021-06-18
45,2021-06-19
51,2021-06-20
43,2021-06-21
23,2021-06-22
13,2021-06-23
30,2021-06-24
38,2021-06-25
18,2021-06-26
14,2021-06-27
20,2021-06-28
25,2021-06-29
30,2021-06-30
31,2021-07-01
19,2021-07-02
7,2021-07-03
5,2021-07-04
17,2021-07-05
41,2021-07-06
29,2021-07-07
24,2021-07-08
14,2021-07-09
24,2021-07-10
28,2021-07-11
27,2021-07-12
34,2021-07-13
19,2021-07-14
19,2021-07-15
14,2021-07-16
11,2021-07-17
9,2021-07-18
10,2021-07-19
16,2021-07-20
15,2021-07-21
18,2021-07-22
27,2021-07-23
21,2021-07-24
