측정일자,미세먼지(㎍/㎥)
2010-01-01,33
2010-01-02,47
2010-01-03,44
2010-01-04,37
2010-01-05,40
2010-01-06,38
2010-01-07,69
2010-01-08,83
2010-01-09,77
2010-01-10,68
2010-01-11,69
2010-01-12,27
2010-01-13,26
2010-01-14,41
2010-01-15,53
2010-01-16,57
2010-01-17,60
2010-01-18,73
2010-01-19,83
2010-01-20,59
2010-01-21,33
2010-01-22,30
2010-01-23,37
2010-01-24,51
2010-01-25,98
2010-01-26,49
2010-01-27,47
2010-01-28,47
2010-01-29,33
2010-01-30,70
2010-01-31,86
2010-02-01,90
2010-02-02,19
2010-02-03,29
2010-02-04,35
2010-02-05,27
2010-02-06,41
2010-02-07,50
2010-02-08,58
2010-02-09,65
2010-02-10,32
2010-02-11,13
2010-02-12,17
2010-02-13,27
2010-02-14,34
2010-02-15,48
2010-02-16,35
2010-02-17,50
2010-02-18,49
2010-02-19,42
2010-02-20,63
2010-02-21,61
2010-02-22,59
2010-02-23,71
2010-02-24,75
2010-02-25,35
2010-02-26,34
2010-02-27,34
2010-02-28,62
2010-03-01,22
2010-03-02,25
2010-03-03,74
2010-03-04,32
2010-03-05,39
2010-03-06,54
2010-03-07,14
2010-03-08,14
2010-03-09,16
2010-03-10,23
2010-03-11,44
2010-03-12,67
2010-03-13,78
2010-03-14,74
2010-03-15,82
2010-03-16,144
2010-03-17,39
2010-03-18,37
2010-03-19,45
2010-03-20,90
2010-03-21,38
2010-03-22,48
2010-03-23,53
2010-03-24,61
2010-03-25,46
2010-03-26,43
2010-03-27,85
2010-03-28,48
2010-03-29,51
2010-03-30,60
2010-03-31,39
2010-04-01,54
2010-04-02,68
2010-04-03,48
2010-04-04,42
2010-04-05,40
2010-04-06,42
2010-04-07,35
2010-04-08,57
2010-04-09,48
2010-04-10,55
2010-04-11,34
2010-04-12,29
2010-04-13,29
2010-04-14,28
2010-04-15,44
2010-04-16,69
2010-04-17,49
2010-04-18,65
2010-04-19,58
2010-04-20,62
2010-04-21,38
2010-04-22,20
2010-04-23,26
2010-04-24,49
2010-04-25,61
2010-04-26,45
2010-04-27,38
2010-04-28,34
2010-04-29,55
2010-04-30,45
2010-05-01,45
2010-05-02,59
2010-05-03,81
2010-05-04,76
2010-05-05,71
2010-05-06,37
2010-05-07,37
2010-05-08,68
2010-05-09,69
2010-05-10,68
2010-05-11,54
2010-05-12,49
2010-05-13,54
2010-05-14,33
2010-05-15,44
2010-05-16,39
2010-05-17,45
2010-05-18,25
2010-05-19,77
2010-05-20,130
2010-05-21,119
2010-05-22,76
2010-05-23,12
2010-05-24,21
2010-05-25,59
2010-05-26,20
2010-05-27,20
2010-05-28,51
2010-05-29,52
2010-05-30,28
2010-05-31,26
2010-06-01,27
2010-06-02,44
2010-06-03,42
2010-06-04,36
2010-06-05,40
2010-06-06,40
2010-06-07,38
2010-06-08,32
2010-06-09,61
2010-06-10,72
2010-06-11,53
2010-06-12,32
2010-06-13,24
2010-06-14,30
2010-06-15,26
2010-06-16,47
2010-06-17,161
2010-06-18,121
2010-06-19,80
2010-06-20,50
2010-06-21,57
2010-06-22,46
2010-06-23,39
2010-06-24,46
2010-06-25,59
2010-06-26,30
2010-06-27,21
2010-06-28,51
2010-06-29,72
2010-06-30,80
2010-07-01,75
2010-07-02,77
2010-07-03,28
2010-07-04,28
2010-07-05,66
2010-07-06,86
2010-07-07,61
2010-07-08,47
2010-07-09,48
2010-07-10,48
2010-07-11,30
2010-07-12,26
2010-07-13,25
2010-07-14,37
2010-07-15,56
2010-07-16,33
2010-07-17,15
2010-07-18,19
2010-07-19,25
2010-07-20,30
2010-07-21,28
2010-07-22,21
2010-07-23,20
2010-07-24,69
2010-07-25,44
2010-07-26,24
2010-07-27,20
2010-07-28,17
2010-07-29,25
2010-07-30,42
2010-07-31,50
2010-08-01,55
2010-08-02,41
2010-08-03,30
2010-08-04,61
2010-08-05,46
2010-08-06,21
2010-08-07,18
2010-08-08,28
2010-08-09,28
2010-08-10,21
2010-08-11,17
2010-08-12,37
2010-08-13,42
2010-08-14,55
2010-08-15,49
2010-08-16,63
2010-08-17,47
2010-08-18,32
2010-08-19,32
2010-08-20,36
2010-08-21,35
2010-08-22,31
2010-08-23,23
2010-08-24,16
2010-08-25,13
2010-08-26,13
2010-08-27,24
2010-08-28,22
