미세먼지(㎍/㎥),측정일자
32,2021-01-01
37,2021-01-02
45,2021-01-03
43,2021-01-04
31,2021-01-05
28,2021-01-06
41,2021-01-07
25,2021-01-08
33,2021-01-09
41,2021-01-10
52,2021-01-11
70,2021-01-12
112,2021-01-13
78,2021-01-14
86,2021-01-15
65,2021-01-16
25,2021-01-17
40,2021-01-18
36,2021-01-19
48,2021-01-20
44,2021-01-21
41,2021-01-22
10,2021-01-23
12,2021-01-24
19,2021-01-25
33,2021-01-26
40,2021-01-27
36,2021-01-28
29,2021-01-29
51,2021-01-30
55,2021-01-31
73,2021-02-01
39,2021-02-02
36,2021-02-03
26,2021-02-04
32,2021-02-05
70,2021-02-06
92,2021-02-07
30,2021-02-08
25,2021-02-09
37,2021-02-10
68,2021-02-11
82,2021-02-12
81,2021-02-13
72,2021-02-14
51,2021-02-15
25,2021-02-16
51,2021-02-17
47,2021-02-18
49,2021-02-19
71,2021-02-20
77,2021-02-21
58,2021-02-22
57,2021-02-23
52,2021-02-24
46,2021-02-25
33,2021-02-26
19,2021-02-27
23,2021-02-28
13,2021-03-01
8,2021-03-02
38,2021-03-03
45,2021-03-04
37,2021-03-05
35,2021-03-06
22,2021-03-07
41,2021-03-08
42,2021-03-09
90,2021-03-10
126,2021-03-11
71,2021-03-12
58,2021-03-13
82,2021-03-14
85,2021-03-15
99,2021-03-16
103,2021-03-17
101,2021-03-18
66,2021-03-19
27,2021-03-20
44,2021-03-21
39,2021-03-22
78,2021-03-23
68,2021-03-24
69,2021-03-25
93,2021-03-26
56,2021-03-27
15,2021-03-28
290,2021-03-29
91,2021-03-30
40,2021-03-31
42,2021-04-01
46,2021-04-02
33,2021-04-03
9,2021-04-04
22,2021-04-05
34,2021-04-06
44,2021-04-07
31,2021-04-08
34,2021-04-09
34,2021-04-10
43,2021-04-11
36,2021-04-12
11,2021-04-13
26,2021-04-14
51,2021-04-15
83,2021-04-16
76,2021-04-17
32,2021-04-18
47,2021-04-19
72,2021-04-20
71,2021-04-21
67,2021-04-22
39,2021-04-23
22,2021-04-24
24,2021-04-25
27,2021-04-26
30,2021-04-27
63,2021-04-28
67,2021-04-29
32,2021-04-30
24,2021-05-01
15,2021-05-02
33,2021-05-03
26,2021-05-04
44,2021-05-05
72,2021-05-06
307,2021-05-07
491,2021-05-08
46,2021-05-09
21,2021-05-10
19,2021-05-11
19,2021-05-12
39,2021-05-13
48,2021-05-14
49,2021-05-15
6,2021-05-16
16,2021-05-17
27,2021-05-18
30,2021-05-19
20,2021-05-20
12,2021-05-21
27,2021-05-22
32,2021-05-23
134,2021-05-24
98,2021-05-25
45,2021-05-26
42,2021-05-27
39,2021-05-28
17,2021-05-29
23,2021-05-30
32,2021-05-31
36,2021-06-01
50,2021-06-02
30,2021-06-03
26,2021-06-04
42,2021-06-05
63,2021-06-06
37,2021-06-07
36,2021-06-08
37,2021-06-09
49,2021-06-10
19,2021-06-11
16,2021-06-12
28,2021-06-13
32,2021-06-14
27,2021-06-15
10,2021-06-16
16,2021-06-17
15,2021-06-18
36,2021-06-19
43,2021-06-20
37,2021-06-21
19,2021-06-22
16,2021-06-23
29,2021-06-24
37,2021-06-25
20,2021-06-26
19,2021-06-27
23,2021-06-28
26,2021-06-29
32,2021-06-30
33,2021-07-01
25,2021-07-02
13,2021-07-03
6,2021-07-04
18,2021-07-05
37,2021-07-06
30,2021-07-07
26,2021-07-08
19,2021-07-09
26,2021-07-10
35,2021-07-11
29,2021-07-12
34,2021-07-13
26,2021-07-14
19,2021-07-15
19,2021-07-16
14,2021-07-17
14,2021-07-18
14,2021-07-19
20,2021-07-20
21,2021-07-21
21,2021-07-22
27,2021-07-23
26,2021-07-24
