미세먼지(㎍/㎥),측정일자
29,2021-01-01
34,2021-01-02
42,2021-01-03
44,2021-01-04
29,2021-01-05
29,2021-01-06
36,2021-01-07
22,2021-01-08
29,2021-01-09
35,2021-01-10
46,2021-01-11
66,2021-01-12
103,2021-01-13
92,2021-01-14
86,2021-01-15
64,2021-01-16
22,2021-01-17
41,2021-01-18
34,2021-01-19
42,2021-01-20
53,2021-01-21
31,2021-01-22
7,2021-01-23
13,2021-01-24
23,2021-01-25
34,2021-01-26
43,2021-01-27
37,2021-01-28
26,2021-01-29
46,2021-01-30
54,2021-01-31
74,2021-02-01
36,2021-02-02
34,2021-02-03
28,2021-02-04
31,2021-02-05
61,2021-02-06
98,2021-02-07
31,2021-02-08
27,2021-02-09
37,2021-02-10
71,2021-02-11
80,2021-02-12
93,2021-02-13
95,2021-02-14
59,2021-02-15
25,2021-02-16
45,2021-02-17
43,2021-02-18
48,2021-02-19
73,2021-02-20
66,2021-02-21
64,2021-02-22
50,2021-02-23
54,2021-02-24
58,2021-02-25
36,2021-02-26
16,2021-02-27
24,2021-02-28
17,2021-03-01
9,2021-03-02
33,2021-03-03
53,2021-03-04
38,2021-03-05
28,2021-03-06
22,2021-03-07
43,2021-03-08
51,2021-03-09
93,2021-03-10
122,2021-03-11
105,2021-03-12
57,2021-03-13
81,2021-03-14
84,2021-03-15
90,2021-03-16
109,2021-03-17
104,2021-03-18
66,2021-03-19
26,2021-03-20
45,2021-03-21
39,2021-03-22
81,2021-03-23
64,2021-03-24
67,2021-03-25
107,2021-03-26
59,2021-03-27
15,2021-03-28
274,2021-03-29
136,2021-03-30
42,2021-03-31
41,2021-04-01
44,2021-04-02
32,2021-04-03
9,2021-04-04
19,2021-04-05
40,2021-04-06
56,2021-04-07
33,2021-04-08
32,2021-04-09
32,2021-04-10
52,2021-04-11
37,2021-04-12
12,2021-04-13
27,2021-04-14
47,2021-04-15
75,2021-04-16
79,2021-04-17
30,2021-04-18
48,2021-04-19
74,2021-04-20
72,2021-04-21
76,2021-04-22
45,2021-04-23
22,2021-04-24
24,2021-04-25
26,2021-04-26
34,2021-04-27
60,2021-04-28
61,2021-04-29
40,2021-04-30
28,2021-05-01
14,2021-05-02
31,2021-05-03
30,2021-05-04
38,2021-05-05
67,2021-05-06
306,2021-05-07
526,2021-05-08
55,2021-05-09
22,2021-05-10
19,2021-05-11
20,2021-05-12
39,2021-05-13
54,2021-05-14
50,2021-05-15
8,2021-05-16
14,2021-05-17
24,2021-05-18
36,2021-05-19
24,2021-05-20
14,2021-05-21
26,2021-05-22
31,2021-05-23
112,2021-05-24
110,2021-05-25
44,2021-05-26
40,2021-05-27
40,2021-05-28
21,2021-05-29
23,2021-05-30
32,2021-05-31
40,2021-06-01
51,2021-06-02
36,2021-06-03
24,2021-06-04
39,2021-06-05
66,2021-06-06
38,2021-06-07
35,2021-06-08
39,2021-06-09
49,2021-06-10
21,2021-06-11
19,2021-06-12
30,2021-06-13
38,2021-06-14
30,2021-06-15
10,2021-06-16
16,2021-06-17
16,2021-06-18
39,2021-06-19
44,2021-06-20
43,2021-06-21
18,2021-06-22
16,2021-06-23
26,2021-06-24
39,2021-06-25
19,2021-06-26
17,2021-06-27
22,2021-06-28
29,2021-06-29
34,2021-06-30
30,2021-07-01
22,2021-07-02
13,2021-07-03
7,2021-07-04
18,2021-07-05
37,2021-07-06
28,2021-07-07
20,2021-07-08
15,2021-07-09
22,2021-07-10
31,2021-07-11
24,2021-07-12
31,2021-07-13
23,2021-07-14
19,2021-07-15
15,2021-07-16
13,2021-07-17
9,2021-07-18
11,2021-07-19
14,2021-07-20
17,2021-07-21
21,2021-07-22
24,2021-07-23
22,2021-07-24
