측정일자,미세먼지(㎍/㎥)
2010-01-01,36
2010-01-02,56
2010-01-03,50
2010-01-04,38
2010-01-05,50
2010-01-06,37
2010-01-07,65
2010-01-08,87
2010-01-09,93
2010-01-10,72
2010-01-11,80
2010-01-12,35
2010-01-13,38
2010-01-14,53
2010-01-15,58
2010-01-16,63
2010-01-17,58
2010-01-18,82
2010-01-19,93
2010-01-20,62
2010-01-21,44
2010-01-22,43
2010-01-23,52
2010-01-24,61
2010-01-25,140
2010-01-26,61
2010-01-27,65
2010-01-28,57
2010-01-29,49
2010-01-30,86
2010-01-31,105
2010-02-01,112
2010-02-02,28
2010-02-03,45
2010-02-04,49
2010-02-05,40
2010-02-06,51
2010-02-07,62
2010-02-08,64
2010-02-09,56
2010-02-10,25
2010-02-11,9
2010-02-12,18
2010-02-13,32
2010-02-14,39
2010-02-15,61
2010-02-16,47
2010-02-17,57
2010-02-18,65
2010-02-19,62
2010-02-20,78
2010-02-21,65
2010-02-22,70
2010-02-23,89
2010-02-24,81
2010-02-25,33
2010-02-26,33
2010-02-27,43
2010-02-28,64
2010-03-01,29
2010-03-02,30
2010-03-03,103
2010-03-04,33
2010-03-05,42
2010-03-06,65
2010-03-07,19
2010-03-08,19
2010-03-09,23
2010-03-10,31
2010-03-11,51
2010-03-12,96
2010-03-13,127
2010-03-14,104
2010-03-15,105
2010-03-16,231
2010-03-17,62
2010-03-18,45
2010-03-19,51
2010-03-20,135
2010-03-21,47
2010-03-22,46
2010-03-23,60
2010-03-24,83
2010-03-25,55
2010-03-26,56
2010-03-27,106
2010-03-28,57
2010-03-29,62
2010-03-30,70
2010-03-31,41
2010-04-01,63
2010-04-02,97
2010-04-03,73
2010-04-04,61
2010-04-05,53
2010-04-06,48
2010-04-07,42
2010-04-08,62
2010-04-09,54
2010-04-10,62
2010-04-11,29
2010-04-12,34
2010-04-13,35
2010-04-14,36
2010-04-15,49
2010-04-16,83
2010-04-17,59
2010-04-18,69
2010-04-19,67
2010-04-20,64
2010-04-21,38
2010-04-22,15
2010-04-23,25
2010-04-24,57
2010-04-25,68
2010-04-26,50
2010-04-27,40
2010-04-28,37
2010-04-29,64
2010-04-30,60
2010-05-01,40
2010-05-02,69
2010-05-03,96
2010-05-04,92
2010-05-05,81
2010-05-06,34
2010-05-07,40
2010-05-08,65
2010-05-09,78
2010-05-10,92
2010-05-11,68
2010-05-12,55
2010-05-13,67
2010-05-14,49
2010-05-15,53
2010-05-16,43
2010-05-17,60
2010-05-18,16
2010-05-19,79
2010-05-20,143
2010-05-21,147
2010-05-22,94
2010-05-23,11
2010-05-24,17
2010-05-25,50
2010-05-26,21
2010-05-27,22
2010-05-28,42
2010-05-29,36
2010-05-30,30
2010-05-31,28
2010-06-01,30
2010-06-02,45
2010-06-03,47
2010-06-04,40
2010-06-05,45
2010-06-06,45
2010-06-07,33
2010-06-08,34
2010-06-09,58
2010-06-10,78
2010-06-11,55
2010-06-12,27
2010-06-13,25
2010-06-14,31
2010-06-15,30
2010-06-16,47
2010-06-17,149
2010-06-18,129
2010-06-19,74
2010-06-20,43
2010-06-21,55
2010-06-22,50
2010-06-23,49
2010-06-24,64
2010-06-25,72
2010-06-26,37
2010-06-27,22
2010-06-28,54
2010-06-29,64
2010-06-30,42
2010-07-01,60
2010-07-02,47
2010-07-03,37
2010-07-04,20
2010-07-05,57
2010-07-06,72
2010-07-07,62
2010-07-08,43
2010-07-09,34
2010-07-10,40
2010-07-11,26
2010-07-12,20
2010-07-13,22
2010-07-14,33
2010-07-15,53
2010-07-16,27
2010-07-17,11
2010-07-18,16
2010-07-19,21
2010-07-20,23
2010-07-21,22
2010-07-22,16
2010-07-23,14
2010-07-24,46
2010-07-25,18
2010-07-26,18
2010-07-27,22
2010-07-28,19
2010-07-29,22
2010-07-30,37
2010-07-31,49
2010-08-01,47
2010-08-02,40
2010-08-03,40
2010-08-04,52
2010-08-05,37
2010-08-06,19
2010-08-07,21
2010-08-08,27
2010-08-09,33
2010-08-10,25
2010-08-11,18
2010-08-12,42
2010-08-13,47
2010-08-14,48
2010-08-15,43
2010-08-16,68
2010-08-17,55
2010-08-18,28
2010-08-19,27
2010-08-20,30
2010-08-21,30
2010-08-22,30
2010-08-23,19
2010-08-24,13
2010-08-25,13
2010-08-26,20
2010-08-27,26
2010-08-28,23
2010-08-29,12
2010-08-30,24
2010-08-31,38
