미세먼지(㎍/㎥),측정일자
21,2021-01-01
25,2021-01-02
30,2021-01-03
32,2021-01-04
23,2021-01-05
20,2021-01-06
30,2021-01-07
16,2021-01-08
21,2021-01-09
27,2021-01-10
37,2021-01-11
51,2021-01-12
79,2021-01-13
69,2021-01-14
66,2021-01-15
49,2021-01-16
17,2021-01-17
32,2021-01-18
28,2021-01-19
35,2021-01-20
46,2021-01-21
34,2021-01-22
8,2021-01-23
10,2021-01-24
20,2021-01-25
31,2021-01-26
35,2021-01-27
30,2021-01-28
20,2021-01-29
39,2021-01-30
47,2021-01-31
61,2021-02-01
28,2021-02-02
26,2021-02-03
22,2021-02-04
23,2021-02-05
52,2021-02-06
79,2021-02-07
24,2021-02-08
22,2021-02-09
32,2021-02-10
63,2021-02-11
73,2021-02-12
88,2021-02-13
92,2021-02-14
53,2021-02-15
21,2021-02-16
36,2021-02-17
37,2021-02-18
41,2021-02-19
67,2021-02-20
67,2021-02-21
55,2021-02-22
46,2021-02-23
45,2021-02-24
51,2021-02-25
38,2021-02-26
18,2021-02-27
21,2021-02-28
16,2021-03-01
9,2021-03-02
33,2021-03-03
46,2021-03-04
35,2021-03-05
27,2021-03-06
20,2021-03-07
39,2021-03-08
45,2021-03-09
92,2021-03-10
116,2021-03-11
64,2021-03-12
51,2021-03-13
76,2021-03-14
87,2021-03-15
81,2021-03-16
88,2021-03-17
95,2021-03-18
68,2021-03-19
30,2021-03-20
42,2021-03-21
34,2021-03-22
69,2021-03-23
57,2021-03-24
58,2021-03-25
103,2021-03-26
59,2021-03-27
15,2021-03-28
264,2021-03-29
141,2021-03-30
37,2021-03-31
40,2021-04-01
44,2021-04-02
33,2021-04-03
8,2021-04-04
19,2021-04-05
37,2021-04-06
54,2021-04-07
32,2021-04-08
31,2021-04-09
30,2021-04-10
43,2021-04-11
37,2021-04-12
14,2021-04-13
25,2021-04-14
43,2021-04-15
67,2021-04-16
76,2021-04-17
28,2021-04-18
43,2021-04-19
65,2021-04-20
72,2021-04-21
69,2021-04-22
44,2021-04-23
22,2021-04-24
22,2021-04-25
26,2021-04-26
28,2021-04-27
57,2021-04-28
61,2021-04-29
33,2021-04-30
24,2021-05-01
13,2021-05-02
30,2021-05-03
32,2021-05-04
36,2021-05-05
64,2021-05-06
296,2021-05-07
453,2021-05-08
47,2021-05-09
20,2021-05-10
19,2021-05-11
23,2021-05-12
40,2021-05-13
56,2021-05-14
59,2021-05-15
9,2021-05-16
38,2021-05-17
27,2021-05-18
31,2021-05-19
26,2021-05-20
14,2021-05-21
23,2021-05-22
29,2021-05-23
105,2021-05-24
97,2021-05-25
39,2021-05-26
36,2021-05-27
38,2021-05-28
20,2021-05-29
26,2021-05-30
33,2021-05-31
34,2021-06-01
52,2021-06-02
35,2021-06-03
24,2021-06-04
40,2021-06-05
62,2021-06-06
38,2021-06-07
42,2021-06-08
40,2021-06-09
56,2021-06-10
22,2021-06-11
24,2021-06-12
33,2021-06-13
38,2021-06-14
32,2021-06-15
13,2021-06-16
18,2021-06-17
17,2021-06-18
44,2021-06-19
48,2021-06-20
43,2021-06-21
24,2021-06-22
21,2021-06-23
30,2021-06-24
40,2021-06-25
23,2021-06-26
21,2021-06-27
27,2021-06-28
33,2021-06-29
39,2021-06-30
38,2021-07-01
27,2021-07-02
16,2021-07-03
8,2021-07-04
22,2021-07-05
43,2021-07-06
35,2021-07-07
24,2021-07-08
17,2021-07-09
26,2021-07-10
37,2021-07-11
30,2021-07-12
36,2021-07-13
26,2021-07-14
24,2021-07-15
20,2021-07-16
17,2021-07-17
12,2021-07-18
15,2021-07-19
19,2021-07-20
20,2021-07-21
28,2021-07-22
28,2021-07-23
27,2021-07-24
