미세먼지(㎍/㎥),측정일자
25,2021-01-01
31,2021-01-02
38,2021-01-03
41,2021-01-04
27,2021-01-05
25,2021-01-06
30,2021-01-07
20,2021-01-08
25,2021-01-09
32,2021-01-10
57,2021-01-11
60,2021-01-12
95,2021-01-13
79,2021-01-14
73,2021-01-15
59,2021-01-16
21,2021-01-17
38,2021-01-18
28,2021-01-19
45,2021-01-20
51,2021-01-21
41,2021-01-22
18,2021-01-23
13,2021-01-24
28,2021-01-25
50,2021-01-26
40,2021-01-27
33,2021-01-28
23,2021-01-29
51,2021-01-30
59,2021-01-31
68,2021-02-01
33,2021-02-02
33,2021-02-03
26,2021-02-04
25,2021-02-05
61,2021-02-06
85,2021-02-07
25,2021-02-08
22,2021-02-09
33,2021-02-10
75,2021-02-11
110,2021-02-12
126,2021-02-13
107,2021-02-14
58,2021-02-15
21,2021-02-16
34,2021-02-17
40,2021-02-18
41,2021-02-19
68,2021-02-20
77,2021-02-21
56,2021-02-22
50,2021-02-23
55,2021-02-24
66,2021-02-25
48,2021-02-26
18,2021-02-27
22,2021-02-28
19,2021-03-01
9,2021-03-02
40,2021-03-03
42,2021-03-04
39,2021-03-05
34,2021-03-06
21,2021-03-07
47,2021-03-08
48,2021-03-09
103,2021-03-10
137,2021-03-11
87,2021-03-12
57,2021-03-13
90,2021-03-14
92,2021-03-15
40,2021-03-16
89,2021-03-17
98,2021-03-18
88,2021-03-19
35,2021-03-20
46,2021-03-21
36,2021-03-22
73,2021-03-23
55,2021-03-24
60,2021-03-25
122,2021-03-26
75,2021-03-27
16,2021-03-28
299,2021-03-29
165,2021-03-30
44,2021-03-31
44,2021-04-01
44,2021-04-02
35,2021-04-03
8,2021-04-04
19,2021-04-05
40,2021-04-06
60,2021-04-07
32,2021-04-08
33,2021-04-09
31,2021-04-10
42,2021-04-11
40,2021-04-12
13,2021-04-13
24,2021-04-14
43,2021-04-15
75,2021-04-16
107,2021-04-17
28,2021-04-18
43,2021-04-19
62,2021-04-20
73,2021-04-21
70,2021-04-22
43,2021-04-23
22,2021-04-24
21,2021-04-25
25,2021-04-26
28,2021-04-27
57,2021-04-28
74,2021-04-29
31,2021-04-30
22,2021-05-01
12,2021-05-02
32,2021-05-03
30,2021-05-04
40,2021-05-05
65,2021-05-06
337,2021-05-07
460,2021-05-08
43,2021-05-09
17,2021-05-10
15,2021-05-11
18,2021-05-12
48,2021-05-13
57,2021-05-14
56,2021-05-15
5,2021-05-16
276,2021-05-17
33,2021-05-18
35,2021-05-19
27,2021-05-20
11,2021-05-21
22,2021-05-22
34,2021-05-23
124,2021-05-24
109,2021-05-25
46,2021-05-26
38,2021-05-27
40,2021-05-28
19,2021-05-29
23,2021-05-30
33,2021-05-31
35,2021-06-01
52,2021-06-02
31,2021-06-03
23,2021-06-04
43,2021-06-05
63,2021-06-06
37,2021-06-07
43,2021-06-08
42,2021-06-09
60,2021-06-10
15,2021-06-11
20,2021-06-12
30,2021-06-13
44,2021-06-14
26,2021-06-15
7,2021-06-16
14,2021-06-17
10,2021-06-18
43,2021-06-19
53,2021-06-20
40,2021-06-21
32,2021-06-22
20,2021-06-23
30,2021-06-24
45,2021-06-25
22,2021-06-26
17,2021-06-27
23,2021-06-28
28,2021-06-29
38,2021-06-30
37,2021-07-01
27,2021-07-02
12,2021-07-03
7,2021-07-04
19,2021-07-05
41,2021-07-06
31,2021-07-07
19,2021-07-08
17,2021-07-09
24,2021-07-10
31,2021-07-11
37,2021-07-12
28,2021-07-13
19,2021-07-14
17,2021-07-15
19,2021-07-16
16,2021-07-17
12,2021-07-18
12,2021-07-19
20,2021-07-20
20,2021-07-21
24,2021-07-22
32,2021-07-23
30,2021-07-24
