측정일자,미세먼지(㎍/㎥)
2010-01-01,33
2010-01-02,56
2010-01-03,45
2010-01-04,38
2010-01-05,45
2010-01-06,38
2010-01-07,49
2010-01-08,81
2010-01-09,77
2010-01-10,84
2010-01-11,75
2010-01-12,31
2010-01-13,34
2010-01-14,43
2010-01-15,60
2010-01-16,57
2010-01-17,53
2010-01-18,83
2010-01-19,88
2010-01-20,58
2010-01-21,37
2010-01-22,38
2010-01-23,44
2010-01-24,59
2010-01-25,114
2010-01-26,48
2010-01-27,50
2010-01-28,59
2010-01-29,45
2010-01-30,82
2010-01-31,107
2010-02-01,115
2010-02-02,24
2010-02-03,38
2010-02-04,48
2010-02-05,37
2010-02-06,49
2010-02-07,52
2010-02-08,65
2010-02-09,68
2010-02-10,35
2010-02-11,10
2010-02-12,24
2010-02-13,34
2010-02-14,36
2010-02-15,54
2010-02-16,38
2010-02-17,53
2010-02-18,59
2010-02-19,53
2010-02-20,74
2010-02-21,66
2010-02-22,83
2010-02-23,82
2010-02-24,79
2010-02-25,40
2010-02-26,43
2010-02-27,47
2010-02-28,70
2010-03-01,29
2010-03-02,33
2010-03-03,88
2010-03-04,31
2010-03-05,46
2010-03-06,68
2010-03-07,17
2010-03-08,17
2010-03-09,23
2010-03-10,34
2010-03-11,50
2010-03-12,72
2010-03-13,88
2010-03-14,78
2010-03-15,77
2010-03-16,148
2010-03-17,45
2010-03-18,38
2010-03-19,42
2010-03-20,98
2010-03-21,35
2010-03-22,37
2010-03-23,48
2010-03-24,64
2010-03-25,45
2010-03-26,40
2010-03-27,77
2010-03-28,43
2010-03-29,50
2010-03-30,60
2010-03-31,30
2010-04-01,58
2010-04-02,67
2010-04-03,49
2010-04-04,42
2010-04-05,45
2010-04-06,45
2010-04-07,38
2010-04-08,54
2010-04-09,44
2010-04-10,57
2010-04-11,30
2010-04-12,27
2010-04-13,29
2010-04-14,26
2010-04-15,39
2010-04-16,68
2010-04-17,53
2010-04-18,59
2010-04-19,52
2010-04-20,55
2010-04-21,35
2010-04-22,16
2010-04-23,25
2010-04-24,56
2010-04-25,59
2010-04-26,44
2010-04-27,35
2010-04-28,29
2010-04-29,52
2010-04-30,50
2010-05-01,40
2010-05-02,54
2010-05-03,74
2010-05-04,71
2010-05-05,62
2010-05-06,34
2010-05-07,39
2010-05-08,64
2010-05-09,75
2010-05-10,75
2010-05-11,48
2010-05-12,52
2010-05-13,62
2010-05-14,43
2010-05-15,55
2010-05-16,41
2010-05-17,47
2010-05-18,16
2010-05-19,76
2010-05-20,127
2010-05-21,123
2010-05-22,103
2010-05-23,9
2010-05-24,20
2010-05-25,59
2010-05-26,22
2010-05-27,18
2010-05-28,48
2010-05-29,40
2010-05-30,34
2010-05-31,37
2010-06-01,29
2010-06-02,45
2010-06-03,48
2010-06-04,38
2010-06-05,43
2010-06-06,38
2010-06-07,41
2010-06-08,28
2010-06-09,46
2010-06-10,69
2010-06-11,51
2010-06-12,30
2010-06-13,33
2010-06-14,44
2010-06-15,32
2010-06-16,54
2010-06-17,149
2010-06-18,126
2010-06-19,112
2010-06-20,60
2010-06-21,61
2010-06-22,43
2010-06-23,42
2010-06-24,55
2010-06-25,64
2010-06-26,31
2010-06-27,25
2010-06-28,65
2010-06-29,78
2010-06-30,56
2010-07-01,68
2010-07-02,71
2010-07-03,64
2010-07-04,32
2010-07-05,72
2010-07-06,87
2010-07-07,67
2010-07-08,42
2010-07-09,42
2010-07-10,43
2010-07-11,27
2010-07-12,26
2010-07-13,32
2010-07-14,46
2010-07-15,58
2010-07-16,30
2010-07-17,14
2010-07-18,18
2010-07-19,24
2010-07-20,26
2010-07-21,26
2010-07-22,19
2010-07-23,22
2010-07-24,45
2010-07-25,24
2010-07-26,23
2010-07-27,24
2010-07-28,18
2010-07-29,27
2010-07-30,41
2010-07-31,51
2010-08-01,59
2010-08-02,51
2010-08-03,37
2010-08-04,64
2010-08-05,49
2010-08-06,27
2010-08-07,28
2010-08-08,30
2010-08-09,28
2010-08-10,21
2010-08-11,18
2010-08-12,44
2010-08-13,63
2010-08-14,61
2010-08-15,52
2010-08-16,53
2010-08-17,54
2010-08-18,36
2010-08-19,29
2010-08-20,34
2010-08-21,32
2010-08-22,32
2010-08-23,23
2010-08-24,19
2010-08-25,18
2010-08-26,21
2010-08-27,27
2010-08-28,18
2010-08-29,17
2010-08-30,26
2010-08-31,39
2010-09-01,20
2010-09-02,21
2010-09-03,24
2010-09-04,29
2010-09-05,26
2010-09-06,14
2010-09-07,19
2010-09-08,25
2010-09-09,24
2010-09-10,20
2010-09-11,12
2010-09-12,18
2010-09-13,52
2010-09-14,63
2010-09-15,32
2010-09-16,35
2010-09-17,44
2010-09-18,45
2010-09-19,43
2010-09-20,31
2010-09-21,41
2010-09-22,18
2010-09-23,20
2010-09-24,29
2010-09-25,22
2010-09-26,26
2010-09-27,29
2010-09-28,31
2010-09-29,32
2010-09-30,36
2010-10-01,41
2010-10-02,29
2010-10-03,25
2010-10-04,24
2010-10-05,36
2010-10-06,51
2010-10-07,52
2010-10-08,37
2010-10-09,24
2010-10-10,52
2010-10-11,79
2010-10-12,48
2010-10-13,48
2010-10-14,45
2010-10-15,22
2010-10-16,43
2010-10-17,50
2010-10-18,52
2010-10-19,65
2010-10-20,83
2010-10-21,53
2010-10-22,27
2010-10-23,32
2010-10-24,43
2010-10-25,48
2010-10-26,32
2010-10-27,24
2010-10-28,36
2010-10-29,37
2010-10-30,35
2010-10-31,29
2010-11-01,49
2010-11-02,34
2010-11-03,34
2010-11-04,71
2010-11-05,117
2010-11-06,180
2010-11-07,147
2010-11-08,35
2010-11-09,23
2010-11-10,29
2010-11-11,90
2010-11-12,44
2010-11-13,65
2010-11-14,27
2010-11-15,21
2010-11-16,20
2010-11-17,87
2010-11-18,58
2010-11-19,69
2010-11-20,84
2010-11-21,81
2010-11-22,31
2010-11-23,42
2010-11-24,55
2010-11-25,43
2010-11-26,29
2010-11-27,56
2010-11-28,46
2010-11-29,53
2010-11-30,115
2010-12-01,142
2010-12-02,100
2010-12-03,73
2010-12-04,28
2010-12-05,35
2010-12-06,51
2010-12-07,28
2010-12-08,32
2010-12-09,35
2010-12-10,60
2010-12-11,54
2010-12-12,20
2010-12-13,33
2010-12-14,27
2010-12-15,29
2010-12-16,34
2010-12-17,62
2010-12-18,68
2010-12-19,61
2010-12-20,139
2010-12-21,95
2010-12-22,60
2010-12-23,54
2010-12-24,32
2010-12-25,28
2010-12-26,37
2010-12-27,48
2010-12-28,54
2010-12-29,32
2010-12-30,34
2010-12-31,34
2011-01-01,50
2011-01-02,58
2011-01-03,54
2011-01-04,51
2011-01-05,36
2011-01-06,28
2011-01-07,33
2011-01-08,48
2011-01-09,34
2011-01-10,31
2011-01-11,44
2011-01-12,28
2011-01-13,41
2011-01-14,46
2011-01-15,31
2011-01-16,25
2011-01-17,27
2011-01-18,33
2011-01-19,35
2011-01-20,36
2011-01-21,34
2011-01-22,39
2011-01-23,52
2011-01-24,41
2011-01-25,36
2011-01-26,32
2011-01-27,30
2011-01-28,32
2011-01-29,26
2011-01-30,27
2011-01-31,36
2011-02-01,59
2011-02-02,90
2011-02-03,113
2011-02-04,129
2011-02-05,123
2011-02-06,119
2011-02-07,109
2011-02-08,68
2011-02-09,38
2011-02-10,46
2011-02-11,47
2011-02-12,36
2011-02-13,36
2011-02-14,49
2011-02-15,65
2011-02-16,62
2011-02-17,64
2011-02-18,81
2011-02-19,75
2011-02-20,56
2011-02-21,41
2011-02-22,66
2011-02-23,92
2011-02-24,48
2011-02-25,40
2011-02-26,42
2011-02-27,25
2011-02-28,11
2011-03-01,29
2011-03-02,23
2011-03-03,26
2011-03-04,37
2011-03-05,46
2011-03-06,57
2011-03-07,45
2011-03-08,34
2011-03-09,31
2011-03-10,41
2011-03-11,49
2011-03-12,71
2011-03-13,50
2011-03-14,65
2011-03-15,44
2011-03-16,25
2011-03-17,29
2011-03-18,35
2011-03-19,182
2011-03-20,116
2011-03-21,117
2011-03-22,30
2011-03-23,36
2011-03-24,46
2011-03-25,38
2011-03-26,37
2011-03-27,38
2011-03-28,50
2011-03-29,55
2011-03-30,79
2011-03-31,112
2011-04-01,69
2011-04-02,99
2011-04-03,85
2011-04-04,59
2011-04-05,55
2011-04-06,56
2011-04-07,25
2011-04-08,43
2011-04-09,65
2011-04-10,80
2011-04-11,55
2011-04-12,50
2011-04-13,62
2011-04-14,57
2011-04-15,48
2011-04-16,50
2011-04-17,51
2011-04-18,25
2011-04-19,31
2011-04-20,63
2011-04-21,41
2011-04-22,20
2011-04-23,39
2011-04-24,43
2011-04-25,47
2011-04-26,28
2011-04-27,37
2011-04-28,25
2011-04-29,37
2011-04-30,43
2011-05-01,136
2011-05-02,200
2011-05-03,192
2011-05-04,60
2011-05-05,57
2011-05-06,55
2011-05-07,51
2011-05-08,75
2011-05-09,48
2011-05-10,41
2011-05-11,14
2011-05-12,77
2011-05-13,80
2011-05-14,70
2011-05-15,91
2011-05-16,75
2011-05-17,43
2011-05-18,52
2011-05-19,43
