미세먼지(㎍/㎥),측정일자
28,2021-01-01
32,2021-01-02
39,2021-01-03
41,2021-01-04
30,2021-01-05
27,2021-01-06
31,2021-01-07
21,2021-01-08
27,2021-01-09
34,2021-01-10
50,2021-01-11
59,2021-01-12
100,2021-01-13
79,2021-01-14
68,2021-01-15
60,2021-01-16
21,2021-01-17
42,2021-01-18
35,2021-01-19
47,2021-01-20
51,2021-01-21
45,2021-01-22
13,2021-01-23
11,2021-01-24
23,2021-01-25
37,2021-01-26
40,2021-01-27
35,2021-01-28
24,2021-01-29
56,2021-01-30
56,2021-01-31
67,2021-02-01
32,2021-02-02
34,2021-02-03
27,2021-02-04
29,2021-02-05
64,2021-02-06
90,2021-02-07
27,2021-02-08
30,2021-02-09
38,2021-02-10
76,2021-02-11
112,2021-02-12
113,2021-02-13
102,2021-02-14
55,2021-02-15
23,2021-02-16
35,2021-02-17
44,2021-02-18
42,2021-02-19
71,2021-02-20
71,2021-02-21
53,2021-02-22
49,2021-02-23
58,2021-02-24
57,2021-02-25
33,2021-02-26
18,2021-02-27
26,2021-02-28
16,2021-03-01
14,2021-03-02
40,2021-03-03
41,2021-03-04
37,2021-03-05
33,2021-03-06
26,2021-03-07
50,2021-03-08
51,2021-03-09
90,2021-03-10
134,2021-03-11
80,2021-03-12
52,2021-03-13
80,2021-03-14
80,2021-03-15
90,2021-03-16
95,2021-03-17
96,2021-03-18
85,2021-03-19
36,2021-03-20
47,2021-03-21
38,2021-03-22
75,2021-03-23
55,2021-03-24
61,2021-03-25
110,2021-03-26
53,2021-03-27
19,2021-03-28
301,2021-03-29
124,2021-03-30
38,2021-03-31
43,2021-04-01
41,2021-04-02
31,2021-04-03
13,2021-04-04
21,2021-04-05
46,2021-04-06
53,2021-04-07
31,2021-04-08
33,2021-04-09
32,2021-04-10
42,2021-04-11
39,2021-04-12
14,2021-04-13
24,2021-04-14
42,2021-04-15
67,2021-04-16
78,2021-04-17
30,2021-04-18
44,2021-04-19
70,2021-04-20
65,2021-04-21
69,2021-04-22
40,2021-04-23
25,2021-04-24
25,2021-04-25
25,2021-04-26
32,2021-04-27
60,2021-04-28
70,2021-04-29
33,2021-04-30
25,2021-05-01
14,2021-05-02
33,2021-05-03
28,2021-05-04
40,2021-05-05
66,2021-05-06
315,2021-05-07
410,2021-05-08
47,2021-05-09
20,2021-05-10
20,2021-05-11
21,2021-05-12
44,2021-05-13
56,2021-05-14
54,2021-05-15
9,2021-05-16
10,2021-05-17
28,2021-05-18
28,2021-05-19
28,2021-05-20
16,2021-05-21
21,2021-05-22
29,2021-05-23
104,2021-05-24
97,2021-05-25
41,2021-05-26
38,2021-05-27
38,2021-05-28
23,2021-05-29
27,2021-05-30
30,2021-05-31
35,2021-06-01
46,2021-06-02
30,2021-06-03
23,2021-06-04
42,2021-06-05
59,2021-06-06
36,2021-06-07
41,2021-06-08
43,2021-06-09
58,2021-06-10
20,2021-06-11
23,2021-06-12
30,2021-06-13
38,2021-06-14
26,2021-06-15
10,2021-06-16
18,2021-06-17
15,2021-06-18
43,2021-06-19
47,2021-06-20
45,2021-06-21
31,2021-06-22
22,2021-06-23
34,2021-06-24
35,2021-06-25
23,2021-06-26
21,2021-06-27
26,2021-06-28
33,2021-06-29
38,2021-06-30
46,2021-07-01
29,2021-07-02
16,2021-07-03
12,2021-07-04
22,2021-07-05
40,2021-07-06
35,2021-07-07
19,2021-07-08
16,2021-07-09
25,2021-07-10
31,2021-07-11
35,2021-07-12
33,2021-07-13
21,2021-07-14
18,2021-07-15
23,2021-07-16
21,2021-07-17
14,2021-07-18
15,2021-07-19
21,2021-07-20
25,2021-07-21
24,2021-07-22
29,2021-07-23
28,2021-07-24
