미세먼지(㎍/㎥),측정일자
23,2021-01-01
30,2021-01-02
37,2021-01-03
39,2021-01-04
30,2021-01-05
24,2021-01-06
27,2021-01-07
16,2021-01-08
21,2021-01-09
30,2021-01-10
46,2021-01-11
55,2021-01-12
98,2021-01-13
73,2021-01-14
72,2021-01-15
51,2021-01-16
15,2021-01-17
42,2021-01-18
30,2021-01-19
45,2021-01-20
54,2021-01-21
46,2021-01-22
12,2021-01-23
9,2021-01-24
25,2021-01-25
41,2021-01-26
38,2021-01-27
35,2021-01-28
22,2021-01-29
52,2021-01-30
56,2021-01-31
67,2021-02-01
29,2021-02-02
29,2021-02-03
22,2021-02-04
25,2021-02-05
60,2021-02-06
83,2021-02-07
23,2021-02-08
24,2021-02-09
32,2021-02-10
74,2021-02-11
95,2021-02-12
113,2021-02-13
95,2021-02-14
53,2021-02-15
19,2021-02-16
39,2021-02-17
43,2021-02-18
41,2021-02-19
68,2021-02-20
76,2021-02-21
59,2021-02-22
57,2021-02-23
55,2021-02-24
62,2021-02-25
40,2021-02-26
18,2021-02-27
22,2021-02-28
15,2021-03-01
9,2021-03-02
40,2021-03-03
47,2021-03-04
40,2021-03-05
31,2021-03-06
22,2021-03-07
50,2021-03-08
53,2021-03-09
98,2021-03-10
127,2021-03-11
72,2021-03-12
53,2021-03-13
77,2021-03-14
87,2021-03-15
112,2021-03-16
103,2021-03-17
108,2021-03-18
87,2021-03-19
28,2021-03-20
41,2021-03-21
40,2021-03-22
89,2021-03-23
63,2021-03-24
70,2021-03-25
124,2021-03-26
75,2021-03-27
22,2021-03-28
329,2021-03-29
174,2021-03-30
49,2021-03-31
47,2021-04-01
49,2021-04-02
31,2021-04-03
10,2021-04-04
22,2021-04-05
53,2021-04-06
66,2021-04-07
36,2021-04-08
37,2021-04-09
32,2021-04-10
48,2021-04-11
43,2021-04-12
16,2021-04-13
28,2021-04-14
51,2021-04-15
86,2021-04-16
97,2021-04-17
30,2021-04-18
53,2021-04-19
71,2021-04-20
85,2021-04-21
80,2021-04-22
52,2021-04-23
26,2021-04-24
30,2021-04-25
29,2021-04-26
34,2021-04-27
69,2021-04-28
77,2021-04-29
36,2021-04-30
28,2021-05-01
15,2021-05-02
35,2021-05-03
28,2021-05-04
51,2021-05-05
78,2021-05-06
349,2021-05-07
423,2021-05-08
56,2021-05-09
22,2021-05-10
24,2021-05-11
22,2021-05-12
54,2021-05-13
63,2021-05-14
46,2021-05-15
4,2021-05-16
11,2021-05-17
33,2021-05-18
37,2021-05-19
28,2021-05-20
14,2021-05-21
28,2021-05-22
39,2021-05-23
130,2021-05-24
104,2021-05-25
50,2021-05-26
44,2021-05-27
49,2021-05-28
22,2021-05-29
29,2021-05-30
40,2021-05-31
40,2021-06-01
56,2021-06-02
30,2021-06-03
30,2021-06-04
52,2021-06-05
63,2021-06-06
41,2021-06-07
47,2021-06-08
39,2021-06-09
60,2021-06-10
13,2021-06-11
16,2021-06-12
26,2021-06-13
35,2021-06-14
24,2021-06-15
9,2021-06-16
13,2021-06-17
8,2021-06-18
40,2021-06-19
48,2021-06-20
40,2021-06-21
26,2021-06-22
17,2021-06-23
29,2021-06-24
38,2021-06-25
18,2021-06-26
14,2021-06-27
21,2021-06-28
24,2021-06-29
31,2021-06-30
34,2021-07-01
21,2021-07-02
11,2021-07-03
5,2021-07-04
19,2021-07-05
39,2021-07-06
24,2021-07-07
13,2021-07-08
13,2021-07-09
20,2021-07-10
23,2021-07-11
30,2021-07-12
22,2021-07-13
11,2021-07-14
13,2021-07-15
16,2021-07-16
12,2021-07-17
7,2021-07-18
7,2021-07-19
13,2021-07-20
18,2021-07-21
21,2021-07-22
25,2021-07-23
20,2021-07-24
