미세먼지(㎍/㎥),측정일자
21,2021-01-01
25,2021-01-02
31,2021-01-03
31,2021-01-04
23,2021-01-05
18,2021-01-06
26,2021-01-07
16,2021-01-08
20,2021-01-09
25,2021-01-10
38,2021-01-11
46,2021-01-12
84,2021-01-13
66,2021-01-14
65,2021-01-15
48,2021-01-16
17,2021-01-17
35,2021-01-18
26,2021-01-19
38,2021-01-20
44,2021-01-21
38,2021-01-22
10,2021-01-23
11,2021-01-24
23,2021-01-25
35,2021-01-26
33,2021-01-27
30,2021-01-28
19,2021-01-29
43,2021-01-30
47,2021-01-31
55,2021-02-01
28,2021-02-02
28,2021-02-03
21,2021-02-04
23,2021-02-05
55,2021-02-06
76,2021-02-07
22,2021-02-08
22,2021-02-09
31,2021-02-10
61,2021-02-11
84,2021-02-12
93,2021-02-13
86,2021-02-14
49,2021-02-15
19,2021-02-16
31,2021-02-17
34,2021-02-18
35,2021-02-19
64,2021-02-20
67,2021-02-21
47,2021-02-22
40,2021-02-23
43,2021-02-24
48,2021-02-25
35,2021-02-26
19,2021-02-27
20,2021-02-28
15,2021-03-01
10,2021-03-02
36,2021-03-03
35,2021-03-04
33,2021-03-05
27,2021-03-06
22,2021-03-07
41,2021-03-08
44,2021-03-09
84,2021-03-10
109,2021-03-11
62,2021-03-12
47,2021-03-13
69,2021-03-14
72,2021-03-15
79,2021-03-16
83,2021-03-17
85,2021-03-18
71,2021-03-19
25,2021-03-20
40,2021-03-21
34,2021-03-22
66,2021-03-23
57,2021-03-24
53,2021-03-25
98,2021-03-26
58,2021-03-27
19,2021-03-28
265,2021-03-29
120,2021-03-30
37,2021-03-31
39,2021-04-01
42,2021-04-02
35,2021-04-03
8,2021-04-04
19,2021-04-05
39,2021-04-06
49,2021-04-07
27,2021-04-08
30,2021-04-09
28,2021-04-10
38,2021-04-11
35,2021-04-12
13,2021-04-13
22,2021-04-14
37,2021-04-15
64,2021-04-16
75,2021-04-17
28,2021-04-18
41,2021-04-19
59,2021-04-20
65,2021-04-21
60,2021-04-22
39,2021-04-23
21,2021-04-24
23,2021-04-25
22,2021-04-26
26,2021-04-27
57,2021-04-28
67,2021-04-29
31,2021-04-30
24,2021-05-01
15,2021-05-02
30,2021-05-03
30,2021-05-04
38,2021-05-05
61,2021-05-06
311,2021-05-07
396,2021-05-08
50,2021-05-09
20,2021-05-10
18,2021-05-11
22,2021-05-12
44,2021-05-13
51,2021-05-14
50,2021-05-15
8,2021-05-16
10,2021-05-17
28,2021-05-18
29,2021-05-19
25,2021-05-20
12,2021-05-21
22,2021-05-22
29,2021-05-23
103,2021-05-24
95,2021-05-25
40,2021-05-26
39,2021-05-27
41,2021-05-28
22,2021-05-29
26,2021-05-30
34,2021-05-31
36,2021-06-01
53,2021-06-02
31,2021-06-03
25,2021-06-04
43,2021-06-05
59,2021-06-06
34,2021-06-07
44,2021-06-08
41,2021-06-09
60,2021-06-10
20,2021-06-11
22,2021-06-12
32,2021-06-13
36,2021-06-14
28,2021-06-15
13,2021-06-16
17,2021-06-17
16,2021-06-18
42,2021-06-19
48,2021-06-20
42,2021-06-21
29,2021-06-22
25,2021-06-23
32,2021-06-24
36,2021-06-25
23,2021-06-26
20,2021-06-27
25,2021-06-28
31,2021-06-29
37,2021-06-30
41,2021-07-01
28,2021-07-02
16,2021-07-03
9,2021-07-04
22,2021-07-05
41,2021-07-06
28,2021-07-07
20,2021-07-08
17,2021-07-09
26,2021-07-10
31,2021-07-11
33,2021-07-12
30,2021-07-13
19,2021-07-14
20,2021-07-15
20,2021-07-16
18,2021-07-17
12,2021-07-18
14,2021-07-19
18,2021-07-20
25,2021-07-21
27,2021-07-22
28,2021-07-23
30,2021-07-24
