측정일자,미세먼지(㎍/㎥)
2010-01-01,32
2010-01-02,45
2010-01-03,46
2010-01-04,34
2010-01-05,48
2010-01-06,39
2010-01-07,67
2010-01-08,79
2010-01-09,82
2010-01-10,67
2010-01-11,79
2010-01-12,32
2010-01-13,33
2010-01-14,49
2010-01-15,51
2010-01-16,68
2010-01-17,56
2010-01-18,67
2010-01-19,77
2010-01-20,55
2010-01-21,41
2010-01-22,40
2010-01-23,50
2010-01-24,57
2010-01-25,132
2010-01-26,67
2010-01-27,49
2010-01-28,51
2010-01-29,47
2010-01-30,78
2010-01-31,93
2010-02-01,99
2010-02-02,26
2010-02-03,38
2010-02-04,46
2010-02-05,34
2010-02-06,50
2010-02-07,52
2010-02-08,52
2010-02-09,53
2010-02-10,22
2010-02-11,5
2010-02-12,14
2010-02-13,29
2010-02-14,34
2010-02-15,55
2010-02-16,44
2010-02-17,53
2010-02-18,57
2010-02-19,57
2010-02-20,71
2010-02-21,60
2010-02-22,62
2010-02-23,76
2010-02-24,74
2010-02-25,34
2010-02-26,22
2010-02-27,33
2010-02-28,56
2010-03-01,19
2010-03-02,25
2010-03-03,89
2010-03-04,29
2010-03-05,33
2010-03-06,56
2010-03-07,12
2010-03-08,13
2010-03-09,17
2010-03-10,25
2010-03-11,45
2010-03-12,83
2010-03-13,113
2010-03-14,94
2010-03-15,101
2010-03-16,230
2010-03-17,54
2010-03-18,40
2010-03-19,50
2010-03-20,119
2010-03-21,42
2010-03-22,48
2010-03-23,45
2010-03-24,73
2010-03-25,49
2010-03-26,49
2010-03-27,90
2010-03-28,56
2010-03-29,60
2010-03-30,63
2010-03-31,32
2010-04-01,50
2010-04-02,90
2010-04-03,70
2010-04-04,54
2010-04-05,46
2010-04-06,41
2010-04-07,37
2010-04-08,62
2010-04-09,52
2010-04-10,57
2010-04-11,24
2010-04-12,29
2010-04-13,31
2010-04-14,32
2010-04-15,43
2010-04-16,72
2010-04-17,51
2010-04-18,60
2010-04-19,60
2010-04-20,57
2010-04-21,31
2010-04-22,12
2010-04-23,21
2010-04-24,48
2010-04-25,65
2010-04-26,48
2010-04-27,35
2010-04-28,34
2010-04-29,60
2010-04-30,51
2010-05-01,37
2010-05-02,68
2010-05-03,90
2010-05-04,89
2010-05-05,78
2010-05-06,31
2010-05-07,37
2010-05-08,65
2010-05-09,76
2010-05-10,91
2010-05-11,64
2010-05-12,53
2010-05-13,59
2010-05-14,36
2010-05-15,48
2010-05-16,40
2010-05-17,55
2010-05-18,14
2010-05-19,73
2010-05-20,137
2010-05-21,131
2010-05-22,80
2010-05-23,8
2010-05-24,12
2010-05-25,40
2010-05-26,12
2010-05-27,17
2010-05-28,39
2010-05-29,37
2010-05-30,23
2010-05-31,23
2010-06-01,23
2010-06-02,41
2010-06-03,47
2010-06-04,39
2010-06-05,43
2010-06-06,39
2010-06-07,28
2010-06-08,28
2010-06-09,53
2010-06-10,69
2010-06-11,44
2010-06-12,22
2010-06-13,17
2010-06-14,27
2010-06-15,25
2010-06-16,44
2010-06-17,141
2010-06-18,114
2010-06-19,63
2010-06-20,42
2010-06-21,51
2010-06-22,50
2010-06-23,38
2010-06-24,56
2010-06-25,62
2010-06-26,30
2010-06-27,18
2010-06-28,51
2010-06-29,63
2010-06-30,56
2010-07-01,55
2010-07-02,46
2010-07-03,18
2010-07-04,15
2010-07-05,47
2010-07-06,70
2010-07-07,59
2010-07-08,40
2010-07-09,31
2010-07-10,37
2010-07-11,22
2010-07-12,15
2010-07-13,18
2010-07-14,27
2010-07-15,45
2010-07-16,27
2010-07-17,8
2010-07-18,12
2010-07-19,18
2010-07-20,23
2010-07-21,21
2010-07-22,13
2010-07-23,13
2010-07-24,43
2010-07-25,17
2010-07-26,14
2010-07-27,18
2010-07-28,16
2010-07-29,21
2010-07-30,37
2010-07-31,47
2010-08-01,45
2010-08-02,41
2010-08-03,34
