미세먼지(㎍/㎥),측정일자
25,2021-01-01
27,2021-01-02
35,2021-01-03
33,2021-01-04
24,2021-01-05
22,2021-01-06
30,2021-01-07
17,2021-01-08
24,2021-01-09
31,2021-01-10
38,2021-01-11
54,2021-01-12
83,2021-01-13
74,2021-01-14
70,2021-01-15
52,2021-01-16
19,2021-01-17
33,2021-01-18
29,2021-01-19
35,2021-01-20
40,2021-01-21
27,2021-01-22
6,2021-01-23
11,2021-01-24
19,2021-01-25
29,2021-01-26
37,2021-01-27
30,2021-01-28
22,2021-01-29
42,2021-01-30
47,2021-01-31
62,2021-02-01
31,2021-02-02
28,2021-02-03
24,2021-02-04
25,2021-02-05
52,2021-02-06
81,2021-02-07
26,2021-02-08
22,2021-02-09
32,2021-02-10
59,2021-02-11
66,2021-02-12
78,2021-02-13
81,2021-02-14
55,2021-02-15
22,2021-02-16
39,2021-02-17
37,2021-02-18
40,2021-02-19
61,2021-02-20
64,2021-02-21
53,2021-02-22
45,2021-02-23
48,2021-02-24
55,2021-02-25
35,2021-02-26
15,2021-02-27
22,2021-02-28
15,2021-03-01
7,2021-03-02
30,2021-03-03
42,2021-03-04
34,2021-03-05
24,2021-03-06
19,2021-03-07
38,2021-03-08
47,2021-03-09
90,2021-03-10
120,2021-03-11
70,2021-03-12
52,2021-03-13
76,2021-03-14
93,2021-03-15
83,2021-03-16
91,2021-03-17
98,2021-03-18
59,2021-03-19
27,2021-03-20
42,2021-03-21
36,2021-03-22
75,2021-03-23
59,2021-03-24
57,2021-03-25
93,2021-03-26
59,2021-03-27
15,2021-03-28
262,2021-03-29
132,2021-03-30
39,2021-03-31
40,2021-04-01
45,2021-04-02
31,2021-04-03
8,2021-04-04
18,2021-04-05
38,2021-04-06
52,2021-04-07
32,2021-04-08
32,2021-04-09
32,2021-04-10
46,2021-04-11
37,2021-04-12
14,2021-04-13
25,2021-04-14
44,2021-04-15
72,2021-04-16
76,2021-04-17
29,2021-04-18
45,2021-04-19
67,2021-04-20
73,2021-04-21
76,2021-04-22
44,2021-04-23
22,2021-04-24
23,2021-04-25
26,2021-04-26
31,2021-04-27
58,2021-04-28
61,2021-04-29
32,2021-04-30
26,2021-05-01
14,2021-05-02
29,2021-05-03
28,2021-05-04
38,2021-05-05
67,2021-05-06
304,2021-05-07
485,2021-05-08
55,2021-05-09
20,2021-05-10
18,2021-05-11
21,2021-05-12
40,2021-05-13
54,2021-05-14
48,2021-05-15
6,2021-05-16
8,2021-05-17
25,2021-05-18
34,2021-05-19
23,2021-05-20
12,2021-05-21
24,2021-05-22
32,2021-05-23
111,2021-05-24
108,2021-05-25
45,2021-05-26
39,2021-05-27
36,2021-05-28
21,2021-05-29
23,2021-05-30
32,2021-05-31
39,2021-06-01
50,2021-06-02
36,2021-06-03
25,2021-06-04
40,2021-06-05
61,2021-06-06
37,2021-06-07
35,2021-06-08
37,2021-06-09
50,2021-06-10
21,2021-06-11
18,2021-06-12
30,2021-06-13
37,2021-06-14
26,2021-06-15
10,2021-06-16
15,2021-06-17
17,2021-06-18
39,2021-06-19
47,2021-06-20
41,2021-06-21
19,2021-06-22
16,2021-06-23
27,2021-06-24
40,2021-06-25
20,2021-06-26
19,2021-06-27
22,2021-06-28
30,2021-06-29
34,2021-06-30
30,2021-07-01
23,2021-07-02
13,2021-07-03
7,2021-07-04
17,2021-07-05
38,2021-07-06
28,2021-07-07
24,2021-07-08
16,2021-07-09
23,2021-07-10
33,2021-07-11
27,2021-07-12
32,2021-07-13
24,2021-07-14
21,2021-07-15
17,2021-07-16
14,2021-07-17
11,2021-07-18
13,2021-07-19
16,2021-07-20
18,2021-07-21
19,2021-07-22
27,2021-07-23
24,2021-07-24
