측정일자,미세먼지(㎍/㎥)
2010-01-01,36
2010-01-02,53
2010-01-03,44
2010-01-04,43
2010-01-05,48
2010-01-06,34
2010-01-07,62
2010-01-08,78
2010-01-09,79
2010-01-10,72
2010-01-11,76
2010-01-12,34
2010-01-13,32
2010-01-14,45
2010-01-15,58
2010-01-16,56
2010-01-17,59
2010-01-18,83
2010-01-19,90
2010-01-20,66
2010-01-21,41
2010-01-22,36
2010-01-23,42
2010-01-24,58
2010-01-25,111
2010-01-26,51
2010-01-27,60
2010-01-28,58
2010-01-29,48
2010-01-30,72
2010-01-31,100
2010-02-01,104
2010-02-02,25
2010-02-03,36
2010-02-04,41
2010-02-05,35
2010-02-06,46
2010-02-07,53
2010-02-08,60
2010-02-09,67
2010-02-10,33
2010-02-11,15
2010-02-12,20
2010-02-13,33
2010-02-14,34
2010-02-15,52
2010-02-16,41
2010-02-17,52
2010-02-18,56
2010-02-19,54
2010-02-20,73
2010-02-21,72
2010-02-22,68
2010-02-23,82
2010-02-24,82
2010-02-25,41
2010-02-26,34
2010-02-27,36
2010-02-28,66
2010-03-01,27
2010-03-02,31
2010-03-03,79
2010-03-04,29
2010-03-05,42
2010-03-06,57
2010-03-07,15
2010-03-08,17
2010-03-09,23
2010-03-10,27
2010-03-11,47
2010-03-12,80
2010-03-13,88
2010-03-14,83
2010-03-15,95
2010-03-16,172
2010-03-17,43
2010-03-18,38
2010-03-19,47
2010-03-20,105
2010-03-21,38
2010-03-22,46
2010-03-23,56
2010-03-24,65
2010-03-25,45
2010-03-26,47
2010-03-27,93
2010-03-28,56
2010-03-29,56
2010-03-30,65
2010-03-31,44
2010-04-01,62
2010-04-02,76
2010-04-03,56
2010-04-04,45
2010-04-05,45
2010-04-06,49
2010-04-07,38
2010-04-08,63
2010-04-09,53
2010-04-10,64
2010-04-11,27
2010-04-12,32
2010-04-13,32
2010-04-14,29
2010-04-15,42
2010-04-16,72
2010-04-17,51
2010-04-18,65
2010-04-19,62
2010-04-20,66
2010-04-21,35
2010-04-22,16
2010-04-23,24
2010-04-24,55
2010-04-25,65
2010-04-26,51
2010-04-27,41
2010-04-28,38
2010-04-29,61
2010-04-30,54
2010-05-01,47
2010-05-02,63
2010-05-03,86
2010-05-04,79
2010-05-05,68
2010-05-06,38
2010-05-07,49
2010-05-08,71
2010-05-09,76
2010-05-10,74
2010-05-11,56
2010-05-12,54
2010-05-13,66
2010-05-14,36
2010-05-15,53
2010-05-16,39
2010-05-17,51
2010-05-18,23
2010-05-19,79
2010-05-20,132
2010-05-21,134
2010-05-22,79
2010-05-23,12
2010-05-24,22
2010-05-25,60
2010-05-26,22
2010-05-27,21
2010-05-28,46
2010-05-29,46
2010-05-30,28
2010-05-31,30
2010-06-01,30
2010-06-02,49
2010-06-03,51
2010-06-04,39
2010-06-05,37
2010-06-06,35
2010-06-07,33
2010-06-08,32
2010-06-09,59
2010-06-10,77
2010-06-11,54
2010-06-12,33
2010-06-13,29
2010-06-14,39
2010-06-15,32
2010-06-16,55
2010-06-17,162
2010-06-18,132
2010-06-19,94
2010-06-20,54
2010-06-21,73
2010-06-22,55
2010-06-23,51
2010-06-24,58
2010-06-25,68
2010-06-26,38
2010-06-27,29
2010-06-28,58
2010-06-29,65
2010-06-30,58
2010-07-01,67
2010-07-02,60
2010-07-03,40
2010-07-04,25
2010-07-05,69
2010-07-06,85
2010-07-07,65
2010-07-08,60
2010-07-09,49
2010-07-10,47
2010-07-11,33
2010-07-12,41
2010-07-13,30
2010-07-14,42
2010-07-15,65
2010-07-16,38
2010-07-17,23
2010-07-18,24
2010-07-19,26
2010-07-20,29
2010-07-21,29
2010-07-22,24
2010-07-23,32
2010-07-24,59
2010-07-25,29
2010-07-26,25
2010-07-27,26
2010-07-28,25
2010-07-29,31
2010-07-30,46
2010-07-31,59
2010-08-01,59
2010-08-02,52
2010-08-03,40
2010-08-04,71
2010-08-05,47
2010-08-06,26
2010-08-07,24
2010-08-08,34
2010-08-09,34
2010-08-10,30
2010-08-11,20
2010-08-12,48
2010-08-13,55
2010-08-14,66
2010-08-15,55
2010-08-16,77
2010-08-17,64
2010-08-18,33
2010-08-19,33
2010-08-20,39
2010-08-21,36
2010-08-22,37
2010-08-23,24
2010-08-24,22
2010-08-25,18
2010-08-26,21
2010-08-27,28
2010-08-28,24
2010-08-29,23
2010-08-30,33
2010-08-31,49
2010-09-01,24
2010-09-02,24
2010-09-03,37
2010-09-04,38
2010-09-05,43
2010-09-06,15
2010-09-07,20
2010-09-08,23
2010-09-09,23
2010-09-10,22
2010-09-11,18
2010-09-12,19
2010-09-13,53
2010-09-14,57
2010-09-15,31
2010-09-16,35
2010-09-17,46
2010-09-18,38
2010-09-19,41
2010-09-20,26
2010-09-21,27
2010-09-22,14
2010-09-23,17
2010-09-24,23
2010-09-25,24
2010-09-26,23
2010-09-27,31
2010-09-28,38
2010-09-29,42
2010-09-30,45
2010-10-01,41
2010-10-02,32
2010-10-03,23
2010-10-04,27
2010-10-05,33
2010-10-06,50
2010-10-07,60
2010-10-08,38
2010-10-09,26
2010-10-10,48
2010-10-11,82
2010-10-12,42
2010-10-13,55
2010-10-14,50
2010-10-15,34
2010-10-16,51
2010-10-17,49
2010-10-18,54
2010-10-19,72
2010-10-20,84
2010-10-21,45
2010-10-22,27
2010-10-23,33
2010-10-24,43
2010-10-25,47
2010-10-26,26
2010-10-27,30
2010-10-28,41
2010-10-29,42
2010-10-30,41
2010-10-31,34
2010-11-01,49
2010-11-02,38
2010-11-03,38
2010-11-04,82
2010-11-05,140
2010-11-06,198
2010-11-07,171
2010-11-08,38
2010-11-09,21
2010-11-10,26
2010-11-11,170
2010-11-12,41
2010-11-13,79
2010-11-14,36
2010-11-15,24
2010-11-16,34
2010-11-17,64
2010-11-18,70
2010-11-19,82
2010-11-20,83
2010-11-21,88
2010-11-22,52
2010-12-17,0
2010-12-18,0
2010-12-19,0
2010-12-20,0
2010-12-21,0
2010-12-22,0
2010-12-23,0
2010-12-24,0
2010-12-25,0
2010-12-26,0
2010-12-27,0
2010-12-28,0
2010-12-29,0
2010-12-30,0
2010-12-31,44
2011-01-01,50
2011-01-02,58
2011-01-03,54
2011-01-04,51
2011-01-05,41
2011-01-06,30
2011-01-07,35
2011-01-08,58
2011-01-09,39
2011-01-10,32
2011-01-11,62
2011-01-12,30
2011-01-13,43
2011-01-14,55
2011-01-15,38
2011-01-16,24
2011-01-17,27
2011-01-18,28
2011-01-19,32
2011-01-20,35
2011-01-21,40
2011-01-22,44
2011-01-23,65
2011-01-24,47
2011-01-25,46
2011-01-26,34
2011-01-27,31
2011-01-28,38
2011-01-29,31
2011-01-30,32
2011-01-31,44
2011-02-01,76
2011-02-02,108
2011-02-03,130
2011-02-04,144
2011-02-05,132
2011-02-06,128
2011-02-07,109
2011-02-08,66
2011-02-09,46
2011-02-10,45
2011-02-11,52
2011-02-12,40
2011-02-13,44
2011-02-14,52
2011-02-15,64
2011-02-16,63
2011-02-17,66
2011-02-18,74
2011-02-19,77
2011-02-20,55
2011-02-21,44
2011-02-22,74
2011-02-23,91
2011-02-24,62
2011-02-25,45
2011-02-26,45
2011-02-27,37
2011-02-28,21
2011-03-01,41
2011-03-02,27
2011-03-03,32
2011-03-04,39
2011-03-05,51
2011-03-06,66
2011-03-07,54
2011-03-08,45
2011-03-09,41
2011-03-10,37
2011-03-11,51
2011-03-12,71
2011-03-13,62
2011-03-14,65
2011-03-15,39
2011-03-16,33
2011-03-17,38
2011-03-18,50
2011-03-19,50
2011-03-20,44
2011-03-21,82
