미세먼지(㎍/㎥),측정일자
30,2021-01-01
34,2021-01-02
39,2021-01-03
40,2021-01-04
30,2021-01-05
25,2021-01-06
41,2021-01-07
21,2021-01-08
26,2021-01-09
35,2021-01-10
47,2021-01-11
65,2021-01-12
104,2021-01-13
80,2021-01-14
81,2021-01-15
56,2021-01-16
20,2021-01-17
36,2021-01-18
34,2021-01-19
46,2021-01-20
47,2021-01-21
44,2021-01-22
13,2021-01-23
12,2021-01-24
23,2021-01-25
41,2021-01-26
41,2021-01-27
35,2021-01-28
24,2021-01-29
48,2021-01-30
55,2021-01-31
72,2021-02-01
33,2021-02-02
33,2021-02-03
26,2021-02-04
30,2021-02-05
64,2021-02-06
89,2021-02-07
28,2021-02-08
24,2021-02-09
34,2021-02-10
69,2021-02-11
84,2021-02-12
86,2021-02-13
85,2021-02-14
59,2021-02-15
23,2021-02-16
45,2021-02-17
43,2021-02-18
46,2021-02-19
71,2021-02-20
75,2021-02-21
58,2021-02-22
54,2021-02-23
50,2021-02-24
55,2021-02-25
38,2021-02-26
18,2021-02-27
23,2021-02-28
15,2021-03-01
10,2021-03-02
39,2021-03-03
47,2021-03-04
44,2021-03-05
32,2021-03-06
22,2021-03-07
42,2021-03-08
46,2021-03-09
94,2021-03-10
119,2021-03-11
66,2021-03-12
56,2021-03-13
83,2021-03-14
89,2021-03-15
93,2021-03-16
99,2021-03-17
102,2021-03-18
67,2021-03-19
29,2021-03-20
43,2021-03-21
35,2021-03-22
82,2021-03-23
65,2021-03-24
69,2021-03-25
107,2021-03-26
65,2021-03-27
17,2021-03-28
287,2021-03-29
147,2021-03-30
42,2021-03-31
42,2021-04-01
47,2021-04-02
34,2021-04-03
9,2021-04-04
20,2021-04-05
39,2021-04-06
57,2021-04-07
33,2021-04-08
33,2021-04-09
33,2021-04-10
43,2021-04-11
41,2021-04-12
14,2021-04-13
27,2021-04-14
48,2021-04-15
73,2021-04-16
82,2021-04-17
31,2021-04-18
50,2021-04-19
73,2021-04-20
72,2021-04-21
75,2021-04-22
42,2021-04-23
22,2021-04-24
23,2021-04-25
27,2021-04-26
31,2021-04-27
63,2021-04-28
67,2021-04-29
35,2021-04-30
27,2021-05-01
14,2021-05-02
34,2021-05-03
30,2021-05-04
43,2021-05-05
71,2021-05-06
316,2021-05-07
493,2021-05-08
51,2021-05-09
22,2021-05-10
21,2021-05-11
21,2021-05-12
44,2021-05-13
54,2021-05-14
56,2021-05-15
7,2021-05-16
14,2021-05-17
30,2021-05-18
34,2021-05-19
25,2021-05-20
13,2021-05-21
27,2021-05-22
37,2021-05-23
120,2021-05-24
111,2021-05-25
47,2021-05-26
42,2021-05-27
42,2021-05-28
21,2021-05-29
25,2021-05-30
33,2021-05-31
39,2021-06-01
53,2021-06-02
33,2021-06-03
28,2021-06-04
45,2021-06-05
60,2021-06-06
38,2021-06-07
41,2021-06-08
40,2021-06-09
54,2021-06-10
21,2021-06-11
20,2021-06-12
32,2021-06-13
39,2021-06-14
25,2021-06-15
9,2021-06-16
15,2021-06-17
15,2021-06-18
39,2021-06-19
46,2021-06-20
40,2021-06-21
20,2021-06-22
17,2021-06-23
27,2021-06-24
36,2021-06-25
20,2021-06-26
18,2021-06-27
22,2021-06-28
27,2021-06-29
34,2021-06-30
32,2021-07-01
23,2021-07-02
12,2021-07-03
6,2021-07-04
19,2021-07-05
39,2021-07-06
31,2021-07-07
23,2021-07-08
16,2021-07-09
23,2021-07-10
31,2021-07-11
27,2021-07-12
33,2021-07-13
24,2021-07-14
20,2021-07-15
17,2021-07-16
13,2021-07-17
11,2021-07-18
13,2021-07-19
17,2021-07-20
19,2021-07-21
20,2021-07-22
25,2021-07-23
23,2021-07-24
