미세먼지(㎍/㎥),측정일자
29,2021-01-01
34,2021-01-02
41,2021-01-03
43,2021-01-04
29,2021-01-05
28,2021-01-06
38,2021-01-07
23,2021-01-08
27,2021-01-09
41,2021-01-10
53,2021-01-11
69,2021-01-12
111,2021-01-13
88,2021-01-14
87,2021-01-15
60,2021-01-16
22,2021-01-17
39,2021-01-18
33,2021-01-19
51,2021-01-20
53,2021-01-21
46,2021-01-22
14,2021-01-23
12,2021-01-24
24,2021-01-25
48,2021-01-26
43,2021-01-27
35,2021-01-28
24,2021-01-29
55,2021-01-30
62,2021-01-31
76,2021-02-01
34,2021-02-02
38,2021-02-03
27,2021-02-04
32,2021-02-05
67,2021-02-06
93,2021-02-07
29,2021-02-08
25,2021-02-09
38,2021-02-10
77,2021-02-11
92,2021-02-12
94,2021-02-13
99,2021-02-14
63,2021-02-15
25,2021-02-16
44,2021-02-17
46,2021-02-18
51,2021-02-19
75,2021-02-20
85,2021-02-21
60,2021-02-22
57,2021-02-23
56,2021-02-24
62,2021-02-25
44,2021-02-26
21,2021-02-27
26,2021-02-28
18,2021-03-01
10,2021-03-02
45,2021-03-03
55,2021-03-04
45,2021-03-05
36,2021-03-06
25,2021-03-07
47,2021-03-08
50,2021-03-09
105,2021-03-10
130,2021-03-11
76,2021-03-12
61,2021-03-13
93,2021-03-14
100,2021-03-15
102,2021-03-16
113,2021-03-17
112,2021-03-18
81,2021-03-19
39,2021-03-20
0,2021-03-21
43,2021-03-22
85,2021-03-23
90,2021-03-24
72,2021-03-25
124,2021-03-26
76,2021-03-27
20,2021-03-28
312,2021-03-29
175,2021-03-30
47,2021-03-31
48,2021-04-01
53,2021-04-02
40,2021-04-03
10,2021-04-04
23,2021-04-05
43,2021-04-06
63,2021-04-07
36,2021-04-08
37,2021-04-09
37,2021-04-10
49,2021-04-11
44,2021-04-12
15,2021-04-13
29,2021-04-14
52,2021-04-15
81,2021-04-16
89,2021-04-17
33,2021-04-18
51,2021-04-19
75,2021-04-20
81,2021-04-21
80,2021-04-22
48,2021-04-23
24,2021-04-24
27,2021-04-25
30,2021-04-26
33,2021-04-27
69,2021-04-28
73,2021-04-29
38,2021-04-30
29,2021-05-01
15,2021-05-02
39,2021-05-03
37,2021-05-04
44,2021-05-05
74,2021-05-06
337,2021-05-07
519,2021-05-08
54,2021-05-09
26,2021-05-10
26,2021-05-11
25,2021-05-12
45,2021-05-13
55,2021-05-14
58,2021-05-15
8,2021-05-16
17,2021-05-17
30,2021-05-18
35,2021-05-19
28,2021-05-20
13,2021-05-21
26,2021-05-22
38,2021-05-23
124,2021-05-24
113,2021-05-25
50,2021-05-26
45,2021-05-27
44,2021-05-28
21,2021-05-29
28,2021-05-30
37,2021-05-31
40,2021-06-01
57,2021-06-02
34,2021-06-03
28,2021-06-04
45,2021-06-05
68,2021-06-06
38,2021-06-07
46,2021-06-08
44,2021-06-09
58,2021-06-10
21,2021-06-11
24,2021-06-12
34,2021-06-13
45,2021-06-14
29,2021-06-15
13,2021-06-16
21,2021-06-17
20,2021-06-18
50,2021-06-19
53,2021-06-20
46,2021-06-21
24,2021-06-22
21,2021-06-23
33,2021-06-24
41,2021-06-25
23,2021-06-26
21,2021-06-27
26,2021-06-28
31,2021-06-29
39,2021-06-30
38,2021-07-01
28,2021-07-02
17,2021-07-03
9,2021-07-04
21,2021-07-05
44,2021-07-06
38,2021-07-07
28,2021-07-08
19,2021-07-09
27,2021-07-10
36,2021-07-11
33,2021-07-12
41,2021-07-13
27,2021-07-14
23,2021-07-15
22,2021-07-16
17,2021-07-17
15,2021-07-18
15,2021-07-19
22,2021-07-20
26,2021-07-21
28,2021-07-22
32,2021-07-23
34,2021-07-24
