측정일자,미세먼지(㎍/㎥)
2010-01-01,33
2010-01-02,49
2010-01-03,52
2010-01-04,40
2010-01-05,50
2010-01-06,38
2010-01-07,67
2010-01-08,83
2010-01-09,83
2010-01-10,64
2010-01-11,77
2010-01-12,33
2010-01-13,33
2010-01-14,47
2010-01-15,55
2010-01-16,65
2010-01-17,58
2010-01-18,70
2010-01-19,84
2010-01-20,58
2010-01-21,46
2010-01-22,39
2010-01-23,50
2010-01-24,61
2010-01-25,137
2010-01-26,69
2010-01-27,50
2010-01-28,54
2010-01-29,50
2010-01-30,83
2010-01-31,100
2010-02-01,106
2010-02-02,24
2010-02-03,38
2010-02-04,47
2010-02-05,35
2010-02-06,54
2010-02-07,53
2010-02-08,63
2010-02-09,55
2010-02-10,27
2010-02-11,8
2010-02-12,16
2010-02-13,32
2010-02-14,36
2010-02-15,57
2010-02-16,46
2010-02-17,56
2010-02-18,61
2010-02-19,58
2010-02-20,74
2010-02-21,59
2010-02-22,61
2010-02-23,78
2010-02-24,79
2010-02-25,30
2010-02-26,23
2010-02-27,31
2010-02-28,98
2010-03-01,27
2010-03-02,27
2010-03-03,92
2010-03-04,32
2010-03-05,34
2010-03-06,62
2010-03-07,15
2010-03-08,15
2010-03-09,18
2010-03-10,26
2010-03-11,46
2010-03-12,84
2010-03-13,121
2010-03-14,98
2010-03-15,104
2010-03-16,253
2010-03-17,53
2010-03-18,40
2010-03-19,49
2010-03-20,117
2010-03-21,43
2010-03-22,47
2010-03-23,49
2010-03-24,71
2010-03-25,53
2010-03-26,50
2010-03-27,97
2010-03-28,58
2010-03-29,62
2010-03-30,66
2010-03-31,32
2010-04-01,51
2010-04-02,97
2010-04-03,73
2010-04-04,54
2010-04-05,43
2010-04-06,44
2010-04-07,39
2010-04-08,64
2010-04-09,51
2010-04-10,59
2010-04-11,26
2010-04-12,30
2010-04-13,31
2010-04-14,34
2010-04-15,43
2010-04-16,75
2010-04-17,52
2010-04-18,63
2010-04-19,62
2010-04-20,57
2010-04-21,35
2010-04-22,12
2010-04-23,22
2010-04-24,49
2010-04-25,66
2010-04-26,48
2010-04-27,38
2010-04-28,35
2010-04-29,63
2010-04-30,54
2010-05-01,38
2010-05-02,68
2010-05-03,94
2010-05-04,91
2010-05-05,78
2010-05-06,34
2010-05-07,41
2010-05-08,65
2010-05-09,77
2010-05-10,94
2010-05-11,63
2010-05-12,53
2010-05-13,60
2010-05-14,36
2010-05-15,48
2010-05-16,40
2010-05-17,55
2010-05-18,14
2010-05-19,75
2010-05-20,144
2010-05-21,131
2010-05-22,78
2010-05-23,8
2010-05-24,16
2010-05-25,45
2010-05-26,13
2010-05-27,18
2010-05-28,42
2010-05-29,40
2010-05-30,23
2010-05-31,25
2010-06-01,25
2010-06-02,42
2010-06-03,42
2010-06-04,38
2010-06-05,42
2010-06-06,38
2010-06-07,30
2010-06-08,30
2010-06-09,57
2010-06-10,71
2010-06-11,47
2010-06-12,26
2010-06-13,18
2010-06-14,29
2010-06-15,23
2010-06-16,45
2010-06-17,147
2010-06-18,121
2010-06-19,64
2010-06-20,43
2010-06-21,57
2010-06-22,53
2010-06-23,42
2010-06-24,57
2010-06-25,66
2010-06-26,33
2010-06-27,22
2010-06-28,51
2010-06-29,70
2010-06-30,60
2010-07-01,60
2010-07-02,45
2010-07-03,18
2010-07-04,18
2010-07-05,54
2010-07-06,76
2010-07-07,62
2010-07-08,42
2010-07-09,34
2010-07-10,38
2010-07-11,24
2010-07-12,19
2010-07-13,20
2010-07-14,29
2010-07-15,47
2010-07-16,26
2010-07-17,8
2010-07-18,13
2010-07-19,19
2010-07-20,24
2010-07-21,21
2010-07-22,13
2010-07-23,14
2010-07-24,48
2010-07-25,19
2010-07-26,16
2010-07-27,21
2010-07-28,17
2010-07-29,22
2010-07-30,40
2010-07-31,49
2010-08-01,50
2010-08-02,42
2010-08-03,35
2010-08-04,58
2010-08-05,36
2010-08-06,16
2010-08-07,17
2010-08-08,27
2010-08-09,31
2010-08-10,25
2010-08-11,17
2010-08-12,39
2010-08-13,41
2010-08-14,45
2010-08-15,45
2010-08-16,68
2010-08-17,54
2010-08-18,25
2010-08-19,27
2010-08-20,33
2010-08-21,33
2010-08-22,31
2010-08-23,21
2010-08-24,13
2010-08-25,10
2010-08-26,13
2010-08-27,24
2010-08-28,21
2010-08-29,10
2010-08-30,24
2010-08-31,39
2010-09-01,14
2010-09-02,13
2010-09-03,20
2010-09-04,23
2010-09-05,23
2010-09-06,11
2010-09-07,19
2010-09-08,24
2010-09-09,18
2010-09-10,15
2010-09-11,9
2010-09-12,14
2010-09-13,47
2010-09-14,48
2010-09-15,27
2010-09-16,33
2010-09-17,43
2010-09-18,41
2010-09-19,31
2010-09-20,19
2010-09-21,16
2010-09-22,8
2010-09-23,12
2010-09-24,18
2010-09-25,15
2010-09-26,20
2010-09-27,23
2010-09-28,34
2010-09-29,33
2010-09-30,42
2010-10-01,38
2010-10-02,25
2010-10-03,18
2010-10-04,17
2010-10-05,29
2010-10-06,40
2010-10-07,40
2010-10-08,27
2010-10-09,18
2010-10-10,45
2010-10-11,71
2010-10-12,52
2010-10-13,51
2010-10-14,53
2010-10-15,28
2010-10-16,49
2010-10-17,49
2010-10-18,57
2010-10-19,71
2010-10-20,90
2010-10-21,43
2010-10-22,22
2010-10-23,32
2010-10-24,34
2010-10-25,55
2010-10-26,35
2010-10-27,31
2010-10-28,43
2010-10-29,42
2010-10-30,33
2010-10-31,28
2010-11-01,60
2010-11-02,46
2010-11-03,41
2010-11-04,84
2010-11-05,136
2010-11-06,204
2010-11-07,191
2010-11-08,33
2010-11-09,21
2010-11-10,27
2010-11-11,195
2010-11-12,68
2010-11-13,94
2010-11-14,51
2010-11-15,25
2010-11-16,34
2010-11-17,58
2010-11-18,70
2010-11-19,82
2010-11-20,74
2010-11-21,91
2010-11-22,37
2010-11-23,34
2010-11-24,46
2010-11-25,69
2010-11-26,38
2010-11-27,82
2010-11-28,76
2010-11-29,52
2010-11-30,128
2010-12-01,170
2010-12-02,108
2010-12-03,107
2010-12-04,39
2010-12-05,56
2010-12-06,71
2010-12-07,36
2010-12-08,45
2010-12-09,43
2010-12-10,74
2010-12-11,82
2010-12-12,23
2010-12-13,38
2010-12-14,32
2010-12-15,40
2010-12-16,50
2010-12-17,74
2010-12-18,97
2010-12-19,92
2010-12-20,133
2010-12-21,110
2010-12-22,67
2010-12-23,77
2010-12-24,47
2010-12-25,36
2010-12-26,49
2010-12-27,58
2010-12-28,61
2010-12-29,39
2010-12-30,41
2010-12-31,43
2011-01-01,63
2011-01-02,65
2011-01-03,63
2011-01-04,66
2011-01-05,41
2011-01-06,37
2011-01-07,44
2011-01-08,63
2011-01-09,47
2011-01-10,39
2011-01-11,58
2011-01-12,36
2011-01-13,45
2011-01-14,54
2011-01-15,46
2011-01-16,34
2011-01-17,37
2011-01-18,38
2011-01-19,42
2011-01-20,41
2011-01-21,48
2011-01-22,40
2011-01-23,53
2011-01-24,54
2011-01-25,53
2011-01-26,40
2011-01-27,37
2011-01-28,44
2011-01-29,33
2011-01-30,35
2011-01-31,43
2011-02-01,71
2011-02-02,108
2011-02-03,139
2011-02-04,164
2011-02-05,159
2011-02-06,165
2011-02-07,132
2011-02-08,73
2011-02-09,53
2011-02-10,58
2011-02-11,69
2011-02-12,51
2011-02-13,63
2011-02-14,67
2011-02-15,76
2011-02-16,67
2011-02-17,72
2011-02-18,91
2011-02-19,85
2011-02-20,56
2011-02-21,42
2011-02-22,67
2011-02-23,87
2011-02-24,57
2011-02-25,45
2011-02-26,46
2011-02-27,24
2011-02-28,11
2011-03-01,27
2011-03-02,27
2011-03-03,30
2011-03-04,43
2011-03-05,52
2011-03-06,59
2011-03-07,58
2011-03-08,46
2011-03-09,46
2011-03-10,52
2011-03-11,58
2011-03-12,74
2011-03-13,59
2011-03-14,80
2011-03-15,77
2011-03-16,38
2011-03-17,38
2011-03-18,41
2011-03-19,310
2011-03-20,192
2011-03-21,130
2011-03-22,44
2011-03-23,47
2011-03-24,69
2011-03-25,50
2011-03-26,49
2011-03-27,45
2011-03-28,51
2011-03-29,70
2011-03-30,93
2011-03-31,142
2011-04-01,95
2011-04-02,95
2011-04-03,88
2011-04-04,81
2011-04-05,62
2011-04-06,58
2011-04-07,21
2011-04-08,46
2011-04-09,80
2011-04-10,105
2011-04-11,80
2011-04-12,62
2011-04-13,81
2011-04-14,76
2011-04-15,63
2011-04-16,82
2011-04-17,74
2011-04-18,32
2011-04-19,43
2011-04-20,80
2011-04-21,63
2011-04-22,26
2011-04-23,37
2011-04-24,46
2011-04-25,51
2011-04-26,21
2011-04-27,26
2011-04-28,27
2011-04-29,51
2011-04-30,41
2011-05-01,187
2011-05-02,304
2011-05-03,226
2011-05-04,66
2011-05-05,63
2011-05-06,61
2011-05-07,57
2011-05-08,71
2011-05-09,52
2011-05-10,22
2011-05-11,10
2011-05-12,94
2011-05-13,115
2011-05-14,90
