미세먼지(㎍/㎥),측정일자
26,2021-01-01
30,2021-01-02
36,2021-01-03
36,2021-01-04
26,2021-01-05
22,2021-01-06
30,2021-01-07
18,2021-01-08
24,2021-01-09
30,2021-01-10
39,2021-01-11
59,2021-01-12
93,2021-01-13
74,2021-01-14
78,2021-01-15
55,2021-01-16
20,2021-01-17
34,2021-01-18
28,2021-01-19
37,2021-01-20
44,2021-01-21
36,2021-01-22
11,2021-01-23
11,2021-01-24
17,2021-01-25
32,2021-01-26
36,2021-01-27
30,2021-01-28
21,2021-01-29
43,2021-01-30
49,2021-01-31
70,2021-02-01
30,2021-02-02
31,2021-02-03
24,2021-02-04
26,2021-02-05
61,2021-02-06
89,2021-02-07
26,2021-02-08
23,2021-02-09
34,2021-02-10
63,2021-02-11
73,2021-02-12
84,2021-02-13
82,2021-02-14
60,2021-02-15
21,2021-02-16
36,2021-02-17
36,2021-02-18
44,2021-02-19
70,2021-02-20
70,2021-02-21
55,2021-02-22
42,2021-02-23
47,2021-02-24
49,2021-02-25
36,2021-02-26
16,2021-02-27
22,2021-02-28
17,2021-03-01
8,2021-03-02
33,2021-03-03
43,2021-03-04
38,2021-03-05
29,2021-03-06
20,2021-03-07
39,2021-03-08
47,2021-03-09
93,2021-03-10
130,2021-03-11
68,2021-03-12
55,2021-03-13
84,2021-03-14
97,2021-03-15
85,2021-03-16
91,2021-03-17
94,2021-03-18
55,2021-03-19
26,2021-03-20
43,2021-03-21
36,2021-03-22
74,2021-03-23
61,2021-03-24
64,2021-03-25
98,2021-03-26
60,2021-03-27
17,2021-03-28
246,2021-03-29
131,2021-03-30
38,2021-03-31
40,2021-04-01
43,2021-04-02
31,2021-04-03
9,2021-04-04
18,2021-04-05
36,2021-04-06
52,2021-04-07
30,2021-04-08
31,2021-04-09
32,2021-04-10
44,2021-04-11
34,2021-04-12
15,2021-04-13
25,2021-04-14
46,2021-04-15
73,2021-04-16
71,2021-04-17
29,2021-04-18
47,2021-04-19
69,2021-04-20
69,2021-04-21
74,2021-04-22
41,2021-04-23
21,2021-04-24
21,2021-04-25
25,2021-04-26
29,2021-04-27
73,2021-04-28
60,2021-04-29
35,2021-04-30
27,2021-05-01
14,2021-05-02
30,2021-05-03
30,2021-05-04
39,2021-05-05
66,2021-05-06
295,2021-05-07
475,2021-05-08
48,2021-05-09
20,2021-05-10
27,2021-05-11
19,2021-05-12
37,2021-05-13
57,2021-05-14
55,2021-05-15
5,2021-05-16
16,2021-05-17
24,2021-05-18
31,2021-05-19
23,2021-05-20
14,2021-05-21
26,2021-05-22
33,2021-05-23
118,2021-05-24
102,2021-05-25
45,2021-05-26
39,2021-05-27
37,2021-05-28
19,2021-05-29
22,2021-05-30
31,2021-05-31
38,2021-06-01
51,2021-06-02
35,2021-06-03
25,2021-06-04
39,2021-06-05
63,2021-06-06
36,2021-06-07
33,2021-06-08
37,2021-06-09
52,2021-06-10
22,2021-06-11
19,2021-06-12
32,2021-06-13
38,2021-06-14
30,2021-06-15
11,2021-06-16
17,2021-06-17
18,2021-06-18
40,2021-06-19
51,2021-06-20
44,2021-06-21
21,2021-06-22
16,2021-06-23
28,2021-06-24
43,2021-06-25
22,2021-06-26
20,2021-06-27
23,2021-06-28
31,2021-06-29
37,2021-06-30
34,2021-07-01
24,2021-07-02
13,2021-07-03
10,2021-07-04
19,2021-07-05
42,2021-07-06
31,2021-07-07
30,2021-07-08
18,2021-07-09
26,2021-07-10
35,2021-07-11
28,2021-07-12
37,2021-07-13
27,2021-07-14
23,2021-07-15
22,2021-07-16
16,2021-07-17
12,2021-07-18
14,2021-07-19
17,2021-07-20
19,2021-07-21
22,2021-07-22
26,2021-07-23
25,2021-07-24
