측정일자,미세먼지(㎍/㎥)
2010-01-01,34
2010-01-02,54
2010-01-03,51
2010-01-04,42
2010-01-05,54
2010-01-06,39
2010-01-07,60
2010-01-08,82
2010-01-09,84
2010-01-10,74
2010-01-11,84
2010-01-12,34
2010-01-13,39
2010-01-14,49
2010-01-15,59
2010-01-16,60
2010-01-17,56
2010-01-18,83
2010-01-19,95
2010-01-20,58
2010-01-21,42
2010-01-22,43
2010-01-23,53
2010-01-24,61
2010-01-25,144
2010-01-26,59
2010-01-27,56
2010-01-28,58
2010-01-29,48
2010-01-30,83
2010-01-31,111
2010-02-01,117
2010-02-02,31
2010-02-03,45
2010-02-04,55
2010-02-05,47
2010-02-06,55
2010-02-07,53
2010-02-08,56
2010-02-09,65
2010-02-10,37
2010-02-11,8
2010-02-12,19
2010-02-13,34
2010-02-14,35
2010-02-15,62
2010-02-16,44
2010-02-17,56
2010-02-18,77
2010-02-19,67
2010-02-20,81
2010-02-21,70
2010-02-22,74
2010-02-23,89
2010-02-24,83
2010-02-25,33
2010-02-26,36
2010-02-27,43
2010-02-28,61
2010-03-01,29
2010-03-02,31
2010-03-03,101
2010-03-04,33
2010-03-05,47
2010-03-06,78
2010-03-07,15
2010-03-08,14
2010-03-09,23
2010-03-10,30
2010-03-11,50
2010-03-12,85
2010-03-13,138
2010-03-14,102
2010-03-15,118
2010-03-16,246
2010-03-17,54
2010-03-18,46
2010-03-19,49
2010-03-20,122
2010-03-21,47
2010-03-22,50
2010-03-23,56
2010-03-24,83
2010-03-25,56
2010-03-26,53
2010-03-27,97
2010-03-28,58
2010-03-29,64
2010-03-30,66
2010-03-31,34
2010-04-01,66
2010-04-02,102
2010-04-03,76
2010-04-04,56
2010-04-05,48
2010-04-06,47
2010-04-07,41
2010-04-08,65
2010-04-09,53
2010-04-10,62
2010-04-11,28
2010-04-12,34
2010-04-13,33
2010-04-14,37
2010-04-15,50
2010-04-16,82
2010-04-17,55
2010-04-18,67
2010-04-19,64
2010-04-20,65
2010-04-21,35
2010-04-22,12
2010-04-23,23
2010-04-24,57
2010-04-25,68
2010-04-26,53
2010-04-27,35
2010-04-28,39
2010-04-29,63
2010-04-30,54
2010-05-01,39
2010-05-02,67
2010-05-03,95
2010-05-04,88
2010-05-05,80
2010-05-06,32
2010-05-07,42
2010-05-08,68
2010-05-09,86
2010-05-10,91
2010-05-11,64
