미세먼지(㎍/㎥),측정일자
22,2021-01-01
26,2021-01-02
31,2021-01-03
32,2021-01-04
22,2021-01-05
21,2021-01-06
26,2021-01-07
18,2021-01-08
22,2021-01-09
28,2021-01-10
39,2021-01-11
46,2021-01-12
83,2021-01-13
67,2021-01-14
64,2021-01-15
46,2021-01-16
18,2021-01-17
32,2021-01-18
25,2021-01-19
37,2021-01-20
39,2021-01-21
26,2021-01-22
13,2021-01-23
12,2021-01-24
20,2021-01-25
34,2021-01-26
35,2021-01-27
28,2021-01-28
21,2021-01-29
44,2021-01-30
49,2021-01-31
55,2021-02-01
27,2021-02-02
30,2021-02-03
22,2021-02-04
24,2021-02-05
52,2021-02-06
68,2021-02-07
23,2021-02-08
21,2021-02-09
28,2021-02-10
59,2021-02-11
81,2021-02-12
91,2021-02-13
84,2021-02-14
53,2021-02-15
21,2021-02-16
36,2021-02-17
38,2021-02-18
39,2021-02-19
61,2021-02-20
66,2021-02-21
49,2021-02-22
45,2021-02-23
47,2021-02-24
52,2021-02-25
39,2021-02-26
16,2021-02-27
21,2021-02-28
15,2021-03-01
9,2021-03-02
33,2021-03-03
36,2021-03-04
32,2021-03-05
28,2021-03-06
20,2021-03-07
38,2021-03-08
39,2021-03-09
81,2021-03-10
105,2021-03-11
66,2021-03-12
49,2021-03-13
69,2021-03-14
72,2021-03-15
84,2021-03-16
85,2021-03-17
69,2021-03-18
74,2021-03-19
27,2021-03-20
40,2021-03-21
34,2021-03-22
66,2021-03-23
50,2021-03-24
54,2021-03-25
99,2021-03-26
58,2021-03-27
15,2021-03-28
265,2021-03-29
157,2021-03-30
39,2021-03-31
39,2021-04-01
43,2021-04-02
32,2021-04-03
9,2021-04-04
21,2021-04-05
35,2021-04-06
51,2021-04-07
32,2021-04-08
30,2021-04-09
30,2021-04-10
39,2021-04-11
35,2021-04-12
13,2021-04-13
24,2021-04-14
41,2021-04-15
67,2021-04-16
84,2021-04-17
29,2021-04-18
40,2021-04-19
55,2021-04-20
69,2021-04-21
64,2021-04-22
40,2021-04-23
22,2021-04-24
23,2021-04-25
26,2021-04-26
27,2021-04-27
55,2021-04-28
67,2021-04-29
31,2021-04-30
22,2021-05-01
13,2021-05-02
30,2021-05-03
27,2021-05-04
40,2021-05-05
66,2021-05-06
292,2021-05-07
410,2021-05-08
49,2021-05-09
20,2021-05-10
17,2021-05-11
22,2021-05-12
44,2021-05-13
52,2021-05-14
51,2021-05-15
7,2021-05-16
9,2021-05-17
28,2021-05-18
33,2021-05-19
23,2021-05-20
13,2021-05-21
21,2021-05-22
33,2021-05-23
106,2021-05-24
93,2021-05-25
41,2021-05-26
36,2021-05-27
35,2021-05-28
20,2021-05-29
23,2021-05-30
30,2021-05-31
34,2021-06-01
49,2021-06-02
31,2021-06-03
25,2021-06-04
41,2021-06-05
60,2021-06-06
31,2021-06-07
40,2021-06-08
40,2021-06-09
54,2021-06-10
17,2021-06-11
21,2021-06-12
29,2021-06-13
39,2021-06-14
24,2021-06-15
11,2021-06-16
16,2021-06-17
13,2021-06-18
40,2021-06-19
46,2021-06-20
36,2021-06-21
28,2021-06-22
19,2021-06-23
28,2021-06-24
38,2021-06-25
21,2021-06-26
19,2021-06-27
24,2021-06-28
26,2021-06-29
34,2021-06-30
35,2021-07-01
26,2021-07-02
13,2021-07-03
8,2021-07-04
22,2021-07-05
39,2021-07-06
29,2021-07-07
21,2021-07-08
17,2021-07-09
24,2021-07-10
30,2021-07-11
32,2021-07-12
31,2021-07-13
19,2021-07-14
18,2021-07-15
21,2021-07-16
17,2021-07-17
15,2021-07-18
13,2021-07-19
21,2021-07-20
23,2021-07-21
26,2021-07-22
29,2021-07-23
28,2021-07-24
