측정일자,미세먼지(㎍/㎥)
2010-01-01,30
2010-01-02,47
2010-01-03,45
2010-01-04,37
2010-01-05,41
2010-01-06,43
2010-01-07,74
2010-01-08,87
2010-01-09,77
2010-01-10,66
2010-01-11,73
2010-01-12,28
2010-01-13,27
2010-01-14,39
2010-01-15,55
2010-01-16,61
2010-01-17,58
2010-01-18,70
2010-01-19,80
2010-01-20,59
2010-01-21,35
2010-01-22,32
2010-01-23,36
2010-01-24,50
2010-01-25,96
2010-01-26,49
2010-01-27,48
2010-01-28,43
2010-01-29,39
2010-01-30,68
2010-01-31,87
2010-02-01,89
2010-02-02,20
2010-02-03,30
2010-02-04,36
2010-02-05,28
2010-02-06,44
2010-02-07,51
2010-02-08,63
2010-02-09,73
2010-02-10,34
2010-02-11,11
2010-02-12,15
2010-02-13,27
2010-02-14,31
2010-02-15,50
2010-02-16,34
2010-02-17,50
2010-02-18,51
2010-02-19,43
2010-02-20,68
2010-02-21,65
2010-02-22,58
2010-02-23,73
2010-02-24,80
2010-02-25,35
2010-02-26,28
2010-02-27,32
2010-02-28,57
2010-03-01,21
2010-03-02,23
2010-03-03,69
2010-03-04,30
2010-03-05,37
2010-03-06,52
2010-03-07,12
2010-03-08,14
2010-03-09,16
2010-03-10,22
2010-03-11,43
2010-03-12,73
2010-03-13,81
2010-03-14,67
2010-03-15,86
2010-03-16,151
2010-03-17,38
2010-03-18,33
2010-03-19,42
2010-03-20,90
2010-03-21,34
2010-03-22,39
2010-03-23,44
2010-03-24,58
2010-03-25,46
2010-03-26,41
2010-03-27,83
2010-03-28,47
2010-03-29,47
2010-03-30,59
2010-03-31,36
2010-04-01,53
2010-04-02,63
2010-04-03,48
2010-04-04,38
2010-04-05,36
2010-04-06,37
2010-04-07,34
2010-04-08,55
2010-04-09,46
2010-04-10,54
2010-04-11,27
2010-04-12,24
2010-04-13,27
2010-04-14,25
2010-04-15,36
2010-04-16,64
2010-04-17,44
2010-04-18,62
2010-04-19,56
2010-04-20,58
2010-04-21,28
2010-04-22,14
2010-04-23,20
2010-04-24,45
2010-04-25,57
2010-04-26,43
2010-04-27,36
2010-04-28,31
2010-04-29,53
2010-04-30,43
2010-05-01,45
2010-05-02,59
2010-05-03,75
2010-05-04,72
2010-05-05,62
2010-05-06,35
2010-05-07,34
2010-05-08,64
2010-05-09,67
2010-05-10,68
2010-05-11,49
2010-05-12,45
2010-05-13,53
2010-05-14,31
2010-05-15,45
2010-05-16,35
2010-05-17,47
2010-05-18,20
2010-05-19,73
2010-05-20,124
2010-05-21,115
2010-05-22,66
2010-05-23,7
2010-05-24,17
2010-05-25,55
2010-05-26,13
2010-05-27,14
2010-05-28,42
