미세먼지(㎍/㎥),측정일자
29,2021-01-01
32,2021-01-02
40,2021-01-03
42,2021-01-04
32,2021-01-05
33,2021-01-06
36,2021-01-07
22,2021-01-08
30,2021-01-09
36,2021-01-10
47,2021-01-11
65,2021-01-12
105,2021-01-13
86,2021-01-14
84,2021-01-15
60,2021-01-16
22,2021-01-17
35,2021-01-18
33,2021-01-19
48,2021-01-20
48,2021-01-21
39,2021-01-22
13,2021-01-23
14,2021-01-24
24,2021-01-25
31,2021-01-26
37,2021-01-27
35,2021-01-28
25,2021-01-29
43,2021-01-30
50,2021-01-31
68,2021-02-01
35,2021-02-02
34,2021-02-03
24,2021-02-04
29,2021-02-05
62,2021-02-06
84,2021-02-07
28,2021-02-08
26,2021-02-09
36,2021-02-10
66,2021-02-11
75,2021-02-12
85,2021-02-13
78,2021-02-14
52,2021-02-15
23,2021-02-16
41,2021-02-17
40,2021-02-18
47,2021-02-19
66,2021-02-20
71,2021-02-21
56,2021-02-22
51,2021-02-23
52,2021-02-24
53,2021-02-25
35,2021-02-26
20,2021-02-27
24,2021-02-28
16,2021-03-01
9,2021-03-02
34,2021-03-03
43,2021-03-04
35,2021-03-05
34,2021-03-06
20,2021-03-07
38,2021-03-08
43,2021-03-09
77,2021-03-10
117,2021-03-11
68,2021-03-12
57,2021-03-13
76,2021-03-14
81,2021-03-15
93,2021-03-16
96,2021-03-17
92,2021-03-18
58,2021-03-19
24,2021-03-20
41,2021-03-21
34,2021-03-22
78,2021-03-23
74,2021-03-24
62,2021-03-25
85,2021-03-26
55,2021-03-27
15,2021-03-28
252,2021-03-29
94,2021-03-30
38,2021-03-31
40,2021-04-01
40,2021-04-02
34,2021-04-03
9,2021-04-04
19,2021-04-05
33,2021-04-06
41,2021-04-07
29,2021-04-08
32,2021-04-09
32,2021-04-10
42,2021-04-11
32,2021-04-12
11,2021-04-13
25,2021-04-14
46,2021-04-15
81,2021-04-16
73,2021-04-17
29,2021-04-18
45,2021-04-19
68,2021-04-20
64,2021-04-21
69,2021-04-22
39,2021-04-23
21,2021-04-24
23,2021-04-25
26,2021-04-26
31,2021-04-27
59,2021-04-28
60,2021-04-29
32,2021-04-30
24,2021-05-01
14,2021-05-02
31,2021-05-03
26,2021-05-04
40,2021-05-05
69,2021-05-06
278,2021-05-07
505,2021-05-08
41,2021-05-09
22,2021-05-10
18,2021-05-11
17,2021-05-12
37,2021-05-13
43,2021-05-14
40,2021-05-15
5,2021-05-16
9,2021-05-17
23,2021-05-18
26,2021-05-19
20,2021-05-20
11,2021-05-21
23,2021-05-22
30,2021-05-23
115,2021-05-24
100,2021-05-25
41,2021-05-26
38,2021-05-27
31,2021-05-28
16,2021-05-29
21,2021-05-30
28,2021-05-31
36,2021-06-01
47,2021-06-02
30,2021-06-03
25,2021-06-04
38,2021-06-05
58,2021-06-06
35,2021-06-07
32,2021-06-08
35,2021-06-09
47,2021-06-10
19,2021-06-11
17,2021-06-12
29,2021-06-13
32,2021-06-14
26,2021-06-15
9,2021-06-16
14,2021-06-17
16,2021-06-18
35,2021-06-19
46,2021-06-20
38,2021-06-21
18,2021-06-22
15,2021-06-23
25,2021-06-24
37,2021-06-25
20,2021-06-26
19,2021-06-27
21,2021-06-28
26,2021-06-29
33,2021-06-30
31,2021-07-01
24,2021-07-02
13,2021-07-03
7,2021-07-04
18,2021-07-05
37,2021-07-06
28,2021-07-07
25,2021-07-08
17,2021-07-09
24,2021-07-10
32,2021-07-11
27,2021-07-12
33,2021-07-13
24,2021-07-14
19,2021-07-15
18,2021-07-16
13,2021-07-17
10,2021-07-18
12,2021-07-19
16,2021-07-20
20,2021-07-21
20,2021-07-22
24,2021-07-23
22,2021-07-24
