측정일자,미세먼지(㎍/㎥)
2010-01-01,32
2010-01-02,55
2010-01-03,49
2010-01-04,37
2010-01-05,51
2010-01-06,34
2010-01-07,58
2010-01-08,79
2010-01-09,84
2010-01-10,67
2010-01-11,75
2010-01-12,36
2010-01-13,38
2010-01-14,48
2010-01-15,54
2010-01-16,56
2010-01-17,55
2010-01-18,78
2010-01-19,90
2010-01-20,67
2010-01-21,42
2010-01-22,42
2010-01-23,52
2010-01-24,58
2010-01-25,142
2010-01-26,58
2010-01-27,56
2010-01-28,54
2010-01-29,44
2010-01-30,79
2010-01-31,102
2010-02-01,110
2010-02-02,28
2010-02-03,43
2010-02-04,47
2010-02-05,39
2010-02-06,49
2010-02-07,56
2010-02-08,62
2010-02-09,60
2010-02-10,31
2010-02-11,7
2010-02-12,18
2010-02-13,31
2010-02-14,36
2010-02-15,61
2010-02-16,44
2010-02-17,56
2010-02-18,65
2010-02-19,59
2010-02-20,76
2010-02-21,64
2010-02-22,72
2010-02-23,87
2010-02-24,82
2010-02-25,37
2010-02-26,30
2010-02-27,40
2010-02-28,60
2010-03-01,47
2010-03-02,28
2010-03-03,99
2010-03-04,31
2010-03-05,41
2010-03-06,67
2010-03-07,15
2010-03-08,16
2010-03-09,20
2010-03-10,29
2010-03-11,47
2010-03-12,82
2010-03-13,132
2010-03-14,102
2010-03-15,106
2010-03-16,234
2010-03-17,56
2010-03-18,41
2010-03-19,49
2010-03-20,124
2010-03-21,46
2010-03-22,47
2010-03-23,54
2010-03-24,79
2010-03-25,56
2010-03-26,50
2010-03-27,90
2010-03-28,52
2010-03-29,57
2010-03-30,64
2010-03-31,33
2010-04-01,63
2010-04-02,95
2010-04-03,72
2010-04-04,57
2010-04-05,47
2010-04-06,44
2010-04-07,40
2010-04-08,61
2010-04-09,53
2010-04-10,61
2010-04-11,28
2010-04-12,31
2010-04-13,32
2010-04-14,35
2010-04-15,46
2010-04-16,79
2010-04-17,55
2010-04-18,64
2010-04-19,64
2010-04-20,62
2010-04-21,36
2010-04-22,12
2010-04-23,23
2010-04-24,56
2010-04-25,65
2010-04-26,52
2010-04-27,35
2010-04-28,38
2010-04-29,62
2010-04-30,52
2010-05-01,35
2010-05-02,65
2010-05-03,88
2010-05-04,89
2010-05-05,79
2010-05-06,29
2010-05-07,37
2010-05-08,65
2010-05-09,81
2010-05-10,91
2010-05-11,62
2010-05-12,53
2010-05-13,63
2010-05-14,50
2010-05-15,51
2010-05-16,43
2010-05-17,54
2010-05-18,16
2010-05-19,74
2010-05-20,142
2010-05-21,148
2010-05-22,104
2010-05-23,9
2010-05-24,15
2010-05-25,48
2010-05-26,19
