미세먼지(㎍/㎥),측정일자
21,2021-01-01
30,2021-01-02
31,2021-01-03
36,2021-01-04
28,2021-01-05
26,2021-01-06
31,2021-01-07
18,2021-01-08
24,2021-01-09
30,2021-01-10
43,2021-01-11
60,2021-01-12
104,2021-01-13
80,2021-01-14
82,2021-01-15
54,2021-01-16
15,2021-01-17
42,2021-01-18
34,2021-01-19
47,2021-01-20
54,2021-01-21
46,2021-01-22
9,2021-01-23
11,2021-01-24
27,2021-01-25
44,2021-01-26
40,2021-01-27
35,2021-01-28
24,2021-01-29
47,2021-01-30
62,2021-01-31
92,2021-02-01
31,2021-02-02
32,2021-02-03
25,2021-02-04
26,2021-02-05
69,2021-02-06
92,2021-02-07
26,2021-02-08
24,2021-02-09
35,2021-02-10
73,2021-02-11
87,2021-02-12
101,2021-02-13
96,2021-02-14
56,2021-02-15
18,2021-02-16
47,2021-02-17
44,2021-02-18
47,2021-02-19
80,2021-02-20
83,2021-02-21
65,2021-02-22
56,2021-02-23
51,2021-02-24
63,2021-02-25
39,2021-02-26
15,2021-02-27
20,2021-02-28
15,2021-03-01
8,2021-03-02
42,2021-03-03
47,2021-03-04
42,2021-03-05
30,2021-03-06
25,2021-03-07
48,2021-03-08
48,2021-03-09
100,2021-03-10
122,2021-03-11
69,2021-03-12
56,2021-03-13
84,2021-03-14
92,2021-03-15
71,2021-03-16
105,2021-03-17
109,2021-03-18
75,2021-03-19
29,2021-03-20
52,2021-03-21
44,2021-03-22
93,2021-03-23
67,2021-03-24
75,2021-03-25
122,2021-03-26
63,2021-03-27
20,2021-03-28
313,2021-03-29
142,2021-03-30
48,2021-03-31
48,2021-04-01
51,2021-04-02
33,2021-04-03
10,2021-04-04
23,2021-04-05
51,2021-04-06
64,2021-04-07
40,2021-04-08
37,2021-04-09
35,2021-04-10
49,2021-04-11
41,2021-04-12
18,2021-04-13
30,2021-04-14
55,2021-04-15
101,2021-04-16
95,2021-04-17
32,2021-04-18
63,2021-04-19
81,2021-04-20
87,2021-04-21
90,2021-04-22
57,2021-04-23
28,2021-04-24
28,2021-04-25
34,2021-04-26
39,2021-04-27
74,2021-04-28
76,2021-04-29
37,2021-04-30
31,2021-05-01
18,2021-05-02
43,2021-05-03
35,2021-05-04
52,2021-05-05
91,2021-05-06
339,2021-05-07
462,2021-05-08
62,2021-05-09
24,2021-05-10
26,2021-05-11
25,2021-05-12
52,2021-05-13
61,2021-05-14
55,2021-05-15
6,2021-05-16
10,2021-05-17
37,2021-05-18
38,2021-05-19
33,2021-05-20
15,2021-05-21
32,2021-05-22
41,2021-05-23
144,2021-05-24
115,2021-05-25
56,2021-05-26
48,2021-05-27
56,2021-05-28
30,2021-05-29
34,2021-05-30
46,2021-05-31
46,2021-06-01
58,2021-06-02
36,2021-06-03
33,2021-06-04
54,2021-06-05
67,2021-06-06
43,2021-06-07
46,2021-06-08
40,2021-06-09
56,2021-06-10
21,2021-06-11
24,2021-06-12
34,2021-06-13
44,2021-06-14
30,2021-06-15
14,2021-06-16
19,2021-06-17
17,2021-06-18
49,2021-06-19
53,2021-06-20
46,2021-06-21
29,2021-06-22
22,2021-06-23
35,2021-06-24
43,2021-06-25
22,2021-06-26
20,2021-06-27
27,2021-06-28
31,2021-06-29
39,2021-06-30
37,2021-07-01
26,2021-07-02
15,2021-07-03
7,2021-07-04
24,2021-07-05
46,2021-07-06
29,2021-07-07
23,2021-07-08
20,2021-07-09
24,2021-07-10
28,2021-07-11
28,2021-07-12
30,2021-07-13
23,2021-07-14
22,2021-07-15
20,2021-07-16
18,2021-07-17
13,2021-07-18
11,2021-07-19
16,2021-07-20
20,2021-07-21
23,2021-07-22
28,2021-07-23
29,2021-07-24
