측정일자,미세먼지(㎍/㎥)
2010-01-01,32
2010-01-02,53
2010-01-03,45
2010-01-04,37
2010-01-05,56
2010-01-06,38
2010-01-07,49
2010-01-08,71
2010-01-09,72
2010-01-10,67
2010-01-11,81
2010-01-12,35
2010-01-13,38
2010-01-14,47
2010-01-15,56
2010-01-16,63
2010-01-17,51
2010-01-18,76
2010-01-19,86
2010-01-20,42
2010-01-21,49
2010-01-22,52
2010-01-23,58
2010-01-24,66
2010-01-25,165
2010-01-26,68
2010-01-27,54
2010-01-28,67
2010-01-29,50
2010-01-30,87
2010-01-31,114
2010-02-01,123
2010-02-02,28
2010-02-03,43
2010-02-04,54
2010-02-05,34
2010-02-06,45
2010-02-07,47
2010-02-08,51
2010-02-09,30
2010-02-10,14
2010-02-11,6
2010-02-12,9
2010-02-13,20
2010-02-14,11
2010-02-15,0
2010-02-16,35
2010-02-17,48
2010-02-18,61
2010-02-19,55
2010-02-20,74
2010-02-21,63
2010-02-22,67
2010-02-23,77
2010-02-24,68
2010-02-25,31
2010-02-26,32
2010-02-27,34
2010-02-28,60
2010-03-01,26
2010-03-02,28
2010-03-03,79
2010-03-04,31
2010-03-05,44
2010-03-06,74
2010-03-07,15
2010-03-08,13
2010-03-09,18
2010-03-10,26
2010-03-11,47
2010-03-12,84
2010-03-13,130
2010-03-14,87
2010-03-15,106
2010-03-16,268
2010-03-17,47
2010-03-18,44
2010-03-19,47
2010-03-20,118
2010-03-21,50
2010-03-22,51
2010-03-23,50
2010-03-24,78
2010-03-25,60
2010-03-26,49
2010-03-27,99
2010-03-28,65
2010-03-29,59
2010-03-30,69
2010-03-31,34
2010-04-01,66
2010-04-02,98
2010-04-03,84
2010-04-04,54
2010-04-05,46
2010-04-06,57
2010-04-07,37
2010-04-08,67
2010-04-09,52
2010-04-10,69
2010-04-11,28
2010-04-12,29
2010-04-13,40
2010-04-14,37
2010-04-15,44
2010-04-16,81
2010-04-17,49
2010-04-18,60
2010-04-19,48
2010-04-20,59
2010-04-21,31
2010-04-22,16
2010-04-23,18
2010-04-24,46
2010-04-25,65
2010-04-26,42
2010-04-27,31
2010-04-28,37
2010-04-29,60
2010-04-30,59
2010-05-01,42
2010-05-02,62
2010-05-03,91
2010-05-04,85
2010-05-05,78
2010-05-06,39
2010-05-07,43
2010-05-08,73
2010-05-09,90
2010-05-10,96
2010-05-11,62
2010-05-12,52
2010-05-13,75
2010-05-14,40
2010-05-15,62
2010-05-16,45
2010-05-17,63
2010-05-18,23
2010-05-19,73
2010-05-20,141
2010-05-21,156
2010-05-22,109
2010-05-23,16
2010-05-24,13
2010-05-25,37
2010-05-26,25
2010-05-27,22
2010-05-28,55
2010-05-29,48
2010-05-30,33
2010-05-31,30
2010-06-01,32
2010-06-02,57
2010-06-03,59
2010-06-04,47
2010-06-05,50
2010-06-06,47
2010-06-07,35
2010-06-08,31
2010-06-09,65
2010-06-10,95
2010-06-11,65
2010-06-12,35
2010-06-13,29
2010-06-14,46
2010-06-15,29
2010-06-16,53
2010-06-17,168
2010-06-18,165
2010-06-19,102
2010-06-20,55
2010-06-21,65
2010-06-22,61
2010-06-23,48
2010-06-24,57
2010-06-25,76
2010-06-26,42
2010-06-27,26
2010-06-28,65
2010-06-29,83
2010-06-30,66
2010-07-01,74
2010-07-02,75
2010-07-03,51
2010-07-04,27
2010-07-05,59
2010-07-06,88
2010-07-07,86
2010-07-08,50
2010-07-09,49
2010-07-10,49
2010-07-11,27
2010-07-12,31
2010-07-13,34
2010-07-14,41
2010-07-15,71
2010-07-16,42
2010-07-17,22
2010-07-18,17
2010-07-19,25
2010-07-20,27
2010-07-21,30
2010-07-22,19
2010-07-23,19
2010-07-24,48
2010-07-25,29
2010-07-26,16
2010-07-27,22
2010-07-28,16
2010-07-29,24
2010-07-30,44
2010-07-31,53
2010-08-01,56
2010-08-02,40
2010-08-03,28
2010-08-04,67
2010-08-05,52
2010-08-06,23
2010-08-07,22
2010-08-08,26
2010-08-09,21
2010-08-10,26
2010-08-11,15
2010-08-12,32
2010-08-13,57
2010-08-14,60
2010-08-15,49
2010-08-16,65
2010-08-17,39
2010-08-18,31
2010-08-19,35
2010-08-20,35
2010-08-21,33
2010-08-22,28
2010-08-23,26
2010-08-24,16
2010-08-25,7
2010-08-26,15
2010-08-27,27
2010-08-28,22
2010-08-29,18
2010-08-30,23
2010-08-31,40
2010-09-01,31
2010-09-02,31
2010-09-03,36
2010-09-04,32
2010-09-05,33
2010-09-06,14
2010-09-07,15
2010-09-08,15
2010-09-09,12
2010-09-10,33
2010-09-11,20
2010-09-12,18
2010-09-13,43
2010-09-14,53
2010-09-15,15
2010-09-16,35
2010-09-17,63
2010-09-18,50
2010-09-19,56
2010-09-20,41
2010-09-21,40
2010-09-22,13
2010-09-23,10
2010-09-24,20
2010-09-25,20
2010-09-26,24
2010-09-27,44
2010-09-28,42
2010-09-29,43
2010-09-30,46
2010-10-01,49
2010-10-02,30
2010-10-03,27
2010-10-04,21
2010-10-05,33
2010-10-06,52
2010-10-07,54
2010-10-08,0
2010-10-09,19
2010-10-10,47
2010-10-11,86
2010-10-12,73
2010-10-13,47
2010-10-14,44
2010-10-15,32
2010-10-16,48
2010-10-17,61
2010-10-18,44
2010-10-19,67
2010-10-20,92
2010-10-21,48
2010-10-22,21
2010-10-23,30
2010-10-24,32
2010-10-25,59
2010-10-26,39
2010-10-27,29
2010-10-28,36
2010-10-29,43
2010-10-30,34
2010-10-31,32
2010-11-01,56
2010-11-02,47
2010-11-03,40
2010-11-04,80
2010-11-05,147
2010-11-06,215
2010-11-07,189
2010-11-08,52
2010-11-09,28
2010-11-10,23
2010-11-11,139
2010-11-12,120
2010-11-13,76
2010-11-14,57
2010-11-15,27
2010-11-16,36
2010-11-17,71
2010-11-18,70
2010-11-19,87
2010-11-20,120
2010-11-21,118
2010-11-22,64
2010-11-23,40
2010-11-24,71
2010-11-25,59
2010-11-26,64
2010-11-27,114
2010-11-28,110
2010-11-29,67
2010-11-30,136
2010-12-01,185
2010-12-02,100
2010-12-03,88
2010-12-04,40
2010-12-05,51
2010-12-06,60
2010-12-07,36
2010-12-08,38
2010-12-09,32
2010-12-10,52
2010-12-11,79
2010-12-12,19
2010-12-13,26
2010-12-14,36
2010-12-15,35
2010-12-16,38
2010-12-17,63
2010-12-18,85
2010-12-19,71
2010-12-20,126
2010-12-21,103
2010-12-22,59
2010-12-23,68
2010-12-24,42
2010-12-25,32
2010-12-26,42
2010-12-27,44
2010-12-28,52
2010-12-29,34
2010-12-30,37
2010-12-31,36
2011-01-01,41
2011-01-02,47
2011-01-03,53
2011-01-04,48
2011-01-05,33
2011-01-06,36
2011-01-07,46
2011-01-08,60
2011-01-09,49
2011-01-10,44
2011-01-11,67
2011-01-12,40
2011-01-13,53
2011-01-14,66
2011-01-15,51
2011-01-16,33
2011-01-17,33
2011-01-18,40
2011-01-19,48
2011-01-20,50
2011-01-21,53
2011-01-22,46
2011-01-23,58
2011-01-24,59
2011-01-25,48
2011-01-26,42
2011-01-27,40
2011-01-28,42
2011-01-29,35
2011-01-30,42
2011-01-31,46
2011-02-01,79
2011-02-02,116
2011-02-03,148
2011-02-04,176
2011-02-05,161
2011-02-06,157
2011-02-07,135
2011-02-08,75
2011-02-09,59
2011-02-10,62
2011-02-11,72
2011-02-12,56
2011-02-13,52
2011-02-14,67
2011-02-15,78
2011-02-16,72
2011-02-17,82
2011-02-18,97
2011-02-19,92
2011-02-20,59
2011-02-21,41
2011-02-22,64
2011-02-23,107
2011-02-24,54
2011-02-25,52
2011-02-26,44
2011-02-27,28
2011-02-28,12
2011-03-01,29
2011-03-02,26
2011-03-03,29
2011-03-04,40
2011-03-05,42
2011-03-06,53
2011-03-07,48
2011-03-08,40
2011-03-09,43
2011-03-10,45
2011-03-11,53
2011-03-12,67
2011-03-13,51
2011-03-14,73
2011-03-15,65
2011-03-16,34
2011-03-17,34
2011-03-18,37
2011-03-19,298
2011-03-20,203
2011-03-21,159
2011-03-22,40
2011-03-23,42
2011-03-24,48
2011-03-25,47
2011-03-26,42
2011-03-27,37
2011-03-28,47
2011-03-29,60
2011-03-30,77
2011-03-31,111
2011-04-01,96
2011-04-02,93
2011-04-03,89
2011-04-04,76
2011-04-05,67
2011-04-06,61
2011-04-07,25
2011-04-08,46
