미세먼지(㎍/㎥),측정일자
20,2021-01-01
24,2021-01-02
28,2021-01-03
27,2021-01-04
20,2021-01-05
18,2021-01-06
27,2021-01-07
12,2021-01-08
17,2021-01-09
26,2021-01-10
38,2021-01-11
49,2021-01-12
88,2021-01-13
59,2021-01-14
65,2021-01-15
41,2021-01-16
12,2021-01-17
30,2021-01-18
23,2021-01-19
32,2021-01-20
30,2021-01-21
0,2021-01-22
3,2021-01-23
5,2021-01-24
13,2021-01-25
35,2021-01-26
33,2021-01-27
29,2021-01-28
18,2021-01-29
45,2021-01-30
42,2021-01-31
61,2021-02-01
25,2021-02-02
25,2021-02-03
18,2021-02-04
21,2021-02-05
56,2021-02-06
77,2021-02-07
20,2021-02-08
17,2021-02-09
30,2021-02-10
63,2021-02-11
76,2021-02-12
72,2021-02-13
68,2021-02-14
46,2021-02-15
16,2021-02-16
42,2021-02-17
38,2021-02-18
39,2021-02-19
59,2021-02-20
68,2021-02-21
50,2021-02-22
51,2021-02-23
46,2021-02-24
48,2021-02-25
25,2021-02-26
8,2021-02-27
13,2021-02-28
7,2021-03-01
5,2021-03-02
35,2021-03-03
35,2021-03-04
32,2021-03-05
24,2021-03-06
17,2021-03-07
38,2021-03-08
38,2021-03-09
84,2021-03-10
99,2021-03-11
61,2021-03-12
46,2021-03-13
68,2021-03-14
76,2021-03-15
112,2021-03-16
89,2021-03-17
93,2021-03-18
59,2021-03-19
20,2021-03-20
32,2021-03-21
34,2021-03-22
77,2021-03-23
58,2021-03-24
64,2021-03-25
98,2021-03-26
53,2021-03-27
16,2021-03-28
327,2021-03-29
116,2021-03-30
33,2021-03-31
32,2021-04-01
38,2021-04-02
26,2021-04-03
6,2021-04-04
14,2021-04-05
34,2021-04-06
47,2021-04-07
26,2021-04-08
24,2021-04-09
27,2021-04-10
34,2021-04-11
31,2021-04-12
11,2021-04-13
22,2021-04-14
45,2021-04-15
81,2021-04-16
77,2021-04-17
26,2021-04-18
47,2021-04-19
64,2021-04-20
72,2021-04-21
68,2021-04-22
32,2021-04-23
14,2021-04-24
16,2021-04-25
22,2021-04-26
25,2021-04-27
61,2021-04-28
65,2021-04-29
37,2021-04-30
25,2021-05-01
11,2021-05-02
29,2021-05-03
18,2021-05-04
49,2021-05-05
69,2021-05-06
306,2021-05-07
411,2021-05-08
42,2021-05-09
15,2021-05-10
12,2021-05-11
14,2021-05-12
38,2021-05-13
45,2021-05-14
68,2021-05-15
3,2021-05-16
4,2021-05-17
24,2021-05-18
27,2021-05-19
12,2021-05-20
7,2021-05-21
20,2021-05-22
32,2021-05-23
117,2021-05-24
87,2021-05-25
40,2021-05-26
33,2021-05-27
35,2021-05-28
15,2021-05-29
20,2021-05-30
30,2021-05-31
31,2021-06-01
45,2021-06-02
25,2021-06-03
22,2021-06-04
42,2021-06-05
63,2021-06-06
32,2021-06-07
38,2021-06-08
32,2021-06-09
47,2021-06-10
13,2021-06-11
14,2021-06-12
25,2021-06-13
39,2021-06-14
20,2021-06-15
4,2021-06-16
10,2021-06-17
10,2021-06-18
45,2021-06-19
53,2021-06-20
41,2021-06-21
19,2021-06-22
10,2021-06-23
28,2021-06-24
38,2021-06-25
16,2021-06-26
10,2021-06-27
15,2021-06-28
22,2021-06-29
30,2021-06-30
27,2021-07-01
15,2021-07-02
5,2021-07-03
4,2021-07-04
15,2021-07-05
38,2021-07-06
28,2021-07-07
19,2021-07-08
11,2021-07-09
20,2021-07-10
25,2021-07-11
22,2021-07-12
25,2021-07-13
15,2021-07-14
12,2021-07-15
11,2021-07-16
7,2021-07-17
7,2021-07-18
7,2021-07-19
13,2021-07-20
12,2021-07-21
14,2021-07-22
21,2021-07-23
19,2021-07-24
