미세먼지(㎍/㎥),측정일자
23,2021-01-01
26,2021-01-02
32,2021-01-03
35,2021-01-04
27,2021-01-05
20,2021-01-06
31,2021-01-07
12,2021-01-08
21,2021-01-09
27,2021-01-10
39,2021-01-11
58,2021-01-12
106,2021-01-13
67,2021-01-14
92,2021-01-15
50,2021-01-16
13,2021-01-17
36,2021-01-18
30,2021-01-19
47,2021-01-20
66,2021-01-21
45,2021-01-22
11,2021-01-23
9,2021-01-24
20,2021-01-25
33,2021-01-26
38,2021-01-27
34,2021-01-28
20,2021-01-29
47,2021-01-30
51,2021-01-31
74,2021-02-01
29,2021-02-02
29,2021-02-03
21,2021-02-04
28,2021-02-05
67,2021-02-06
83,2021-02-07
26,2021-02-08
20,2021-02-09
33,2021-02-10
68,2021-02-11
78,2021-02-12
80,2021-02-13
77,2021-02-14
53,2021-02-15
19,2021-02-16
47,2021-02-17
42,2021-02-18
46,2021-02-19
71,2021-02-20
79,2021-02-21
64,2021-02-22
53,2021-02-23
54,2021-02-24
58,2021-02-25
38,2021-02-26
15,2021-02-27
22,2021-02-28
14,2021-03-01
6,2021-03-02
36,2021-03-03
48,2021-03-04
43,2021-03-05
33,2021-03-06
19,2021-03-07
41,2021-03-08
45,2021-03-09
89,2021-03-10
119,2021-03-11
67,2021-03-12
56,2021-03-13
75,2021-03-14
82,2021-03-15
105,2021-03-16
108,2021-03-17
106,2021-03-18
65,2021-03-19
24,2021-03-20
41,2021-03-21
40,2021-03-22
91,2021-03-23
70,2021-03-24
79,2021-03-25
105,2021-03-26
62,2021-03-27
17,2021-03-28
295,2021-03-29
101,2021-03-30
44,2021-03-31
44,2021-04-01
45,2021-04-02
32,2021-04-03
7,2021-04-04
17,2021-04-05
41,2021-04-06
52,2021-04-07
37,2021-04-08
34,2021-04-09
33,2021-04-10
44,2021-04-11
40,2021-04-12
11,2021-04-13
27,2021-04-14
55,2021-04-15
89,2021-04-16
83,2021-04-17
28,2021-04-18
56,2021-04-19
82,2021-04-20
89,2021-04-21
87,2021-04-22
49,2021-04-23
22,2021-04-24
26,2021-04-25
31,2021-04-26
31,2021-04-27
68,2021-04-28
73,2021-04-29
34,2021-04-30
24,2021-05-01
15,2021-05-02
34,2021-05-03
30,2021-05-04
48,2021-05-05
80,2021-05-06
328,2021-05-07
496,2021-05-08
50,2021-05-09
22,2021-05-10
20,2021-05-11
21,2021-05-12
44,2021-05-13
52,2021-05-14
52,2021-05-15
4,2021-05-16
8,2021-05-17
28,2021-05-18
32,2021-05-19
23,2021-05-20
10,2021-05-21
28,2021-05-22
35,2021-05-23
142,2021-05-24
102,2021-05-25
46,2021-05-26
42,2021-05-27
41,2021-05-28
17,2021-05-29
24,2021-05-30
36,2021-05-31
40,2021-06-01
57,2021-06-02
29,2021-06-03
26,2021-06-04
50,2021-06-05
72,2021-06-06
46,2021-06-07
47,2021-06-08
44,2021-06-09
55,2021-06-10
18,2021-06-11
18,2021-06-12
29,2021-06-13
43,2021-06-14
28,2021-06-15
9,2021-06-16
14,2021-06-17
17,2021-06-18
47,2021-06-19
53,2021-06-20
47,2021-06-21
21,2021-06-22
17,2021-06-23
33,2021-06-24
47,2021-06-25
22,2021-06-26
17,2021-06-27
19,2021-06-28
29,2021-06-29
36,2021-06-30
33,2021-07-01
25,2021-07-02
12,2021-07-03
6,2021-07-04
22,2021-07-05
48,2021-07-06
32,2021-07-07
27,2021-07-08
19,2021-07-09
26,2021-07-10
31,2021-07-11
29,2021-07-12
35,2021-07-13
25,2021-07-14
19,2021-07-15
19,2021-07-16
14,2021-07-17
10,2021-07-18
12,2021-07-19
17,2021-07-20
18,2021-07-21
19,2021-07-22
25,2021-07-23
29,2021-07-24
