측정일자,미세먼지(㎍/㎥)
2010-01-01,31
2010-01-02,51
2010-01-03,46
2010-01-04,38
2010-01-05,50
2010-01-06,35
2010-01-07,63
2010-01-08,77
2010-01-09,90
2010-01-10,63
2010-01-11,76
2010-01-12,36
2010-01-13,36
2010-01-14,48
2010-01-15,53
2010-01-16,63
2010-01-17,58
2010-01-18,74
2010-01-19,88
2010-01-20,64
2010-01-21,44
2010-01-22,43
2010-01-23,49
2010-01-24,58
2010-01-25,136
2010-01-26,61
2010-01-27,52
2010-01-28,54
2010-01-29,49
2010-01-30,76
2010-01-31,93
2010-02-01,108
2010-02-02,28
2010-02-03,41
2010-02-04,46
2010-02-05,38
2010-02-06,48
2010-02-07,56
2010-02-08,61
2010-02-09,57
2010-02-10,28
2010-02-11,7
2010-02-12,16
2010-02-13,31
2010-02-14,33
2010-02-15,57
2010-02-16,43
2010-02-17,52
2010-02-18,61
2010-02-19,59
2010-02-20,72
2010-02-21,64
2010-02-22,67
2010-02-23,78
2010-02-24,79
2010-02-25,35
2010-02-26,31
2010-02-27,37
2010-02-28,58
2010-03-01,22
2010-03-02,26
2010-03-03,89
2010-03-04,31
2010-03-05,35
2010-03-06,58
2010-03-07,15
2010-03-08,14
2010-03-09,19
2010-03-10,27
2010-03-11,45
2010-03-12,79
2010-03-13,119
2010-03-14,96
2010-03-15,104
2010-03-16,241
2010-03-17,53
2010-03-18,38
2010-03-19,46
2010-03-20,121
2010-03-21,44
2010-03-22,47
2010-03-23,48
2010-03-24,71
2010-03-25,51
2010-03-26,48
2010-03-27,91
2010-03-28,56
2010-03-29,61
2010-03-30,63
2010-03-31,33
2010-04-01,55
2010-04-02,92
2010-04-03,70
2010-04-04,54
2010-04-05,46
2010-04-06,47
2010-04-07,36
2010-04-08,60
2010-04-09,54
2010-04-10,59
2010-04-11,29
2010-04-12,32
2010-04-13,33
2010-04-14,34
2010-04-15,44
2010-04-16,74
2010-04-17,52
2010-04-18,62
2010-04-19,62
2010-04-20,62
2010-04-21,35
2010-04-22,13
2010-04-23,22
2010-04-24,53
2010-04-25,68
2010-04-26,50
2010-04-27,36
2010-04-28,36
2010-04-29,59
2010-04-30,51
2010-05-01,38
2010-05-02,71
2010-05-03,88
2010-05-04,92
2010-05-05,90
2010-05-06,30
2010-05-07,38
2010-05-08,66
2010-05-09,81
2010-05-10,89
2010-05-11,63
2010-05-12,52
2010-05-13,61
2010-05-14,45
2010-05-15,57
2010-05-16,54
2010-05-17,59
2010-05-18,15
2010-05-19,69
2010-05-20,132
2010-05-21,139
2010-05-22,83
2010-05-23,8
2010-05-24,15
2010-05-25,43
2010-05-26,14
2010-05-27,18
2010-05-28,39
2010-05-29,38
2010-05-30,29
2010-05-31,26
2010-06-01,25
2010-06-02,51
2010-06-03,47
2010-06-04,45
2010-06-05,51
2010-06-06,57
2010-06-07,32
2010-06-08,32
2010-06-09,59
2010-06-10,75
2010-06-11,49
2010-06-12,24
2010-06-13,21
2010-06-14,27
2010-06-15,24
2010-06-16,44
2010-06-17,139
2010-06-18,115
2010-06-19,68
2010-06-20,43
2010-06-21,53
2010-06-22,49
2010-06-23,40
2010-06-24,54
2010-06-25,61
2010-06-26,31
2010-06-27,20
2010-06-28,50
2010-06-29,60
2010-06-30,40
2010-07-01,63
2010-07-02,46
2010-07-03,27
2010-07-04,18
2010-07-05,46
2010-07-06,67
2010-07-07,53
2010-07-08,38
2010-07-09,33
2010-07-10,37
2010-07-11,23
2010-07-12,17
2010-07-13,19
2010-07-14,30
2010-07-15,48
2010-07-16,25
2010-07-17,9
2010-07-18,12
2010-07-19,18
2010-07-20,22
2010-07-21,21
2010-07-22,12
2010-07-23,14
2010-07-24,43
2010-07-25,16
2010-07-26,13
2010-07-27,19
2010-07-28,17
2010-07-29,22
2010-07-30,34
2010-07-31,46
2010-08-01,47
2010-08-02,36
2010-08-03,34
2010-08-04,53
2010-08-05,36
2010-08-06,15
2010-08-07,16
2010-08-08,25
2010-08-09,30
2010-08-10,23
2010-08-11,14
2010-08-12,36
2010-08-13,43
2010-08-14,40
2010-08-15,39
2010-08-16,61
2010-08-17,48
2010-08-18,23
2010-08-19,25
2010-08-20,29
2010-08-21,29
2010-08-22,28
2010-08-23,16
2010-08-24,12
2010-08-25,9
2010-08-26,14
2010-08-27,20
2010-08-28,19
2010-08-29,9
2010-08-30,21
2010-08-31,36
2010-09-01,13
2010-09-02,12
2010-09-03,19
2010-09-04,24
2010-09-05,22
2010-09-06,9
2010-09-07,13
2010-09-08,20
2010-09-09,18
2010-09-10,14
2010-09-11,10
