미세먼지(㎍/㎥),측정일자
22,2021-01-01
25,2021-01-02
30,2021-01-03
33,2021-01-04
24,2021-01-05
21,2021-01-06
32,2021-01-07
17,2021-01-08
22,2021-01-09
28,2021-01-10
37,2021-01-11
54,2021-01-12
83,2021-01-13
70,2021-01-14
69,2021-01-15
50,2021-01-16
17,2021-01-17
31,2021-01-18
27,2021-01-19
38,2021-01-20
46,2021-01-21
35,2021-01-22
10,2021-01-23
11,2021-01-24
21,2021-01-25
31,2021-01-26
34,2021-01-27
29,2021-01-28
20,2021-01-29
40,2021-01-30
48,2021-01-31
61,2021-02-01
29,2021-02-02
29,2021-02-03
23,2021-02-04
23,2021-02-05
55,2021-02-06
80,2021-02-07
24,2021-02-08
22,2021-02-09
31,2021-02-10
62,2021-02-11
75,2021-02-12
84,2021-02-13
90,2021-02-14
55,2021-02-15
22,2021-02-16
36,2021-02-17
36,2021-02-18
40,2021-02-19
67,2021-02-20
66,2021-02-21
53,2021-02-22
43,2021-02-23
45,2021-02-24
51,2021-02-25
35,2021-02-26
14,2021-02-27
20,2021-02-28
23,2021-03-01
16,2021-03-02
35,2021-03-03
45,2021-03-04
38,2021-03-05
28,2021-03-06
22,2021-03-07
37,2021-03-08
48,2021-03-09
96,2021-03-10
121,2021-03-11
67,2021-03-12
55,2021-03-13
82,2021-03-14
85,2021-03-15
73,2021-03-16
89,2021-03-17
97,2021-03-18
64,2021-03-19
26,2021-03-20
42,2021-03-21
36,2021-03-22
73,2021-03-23
73,2021-03-24
61,2021-03-25
105,2021-03-26
62,2021-03-27
17,2021-03-28
257,2021-03-29
142,2021-03-30
39,2021-03-31
40,2021-04-01
43,2021-04-02
38,2021-04-03
8,2021-04-04
18,2021-04-05
38,2021-04-06
52,2021-04-07
33,2021-04-08
33,2021-04-09
31,2021-04-10
43,2021-04-11
37,2021-04-12
15,2021-04-13
24,2021-04-14
44,2021-04-15
61,2021-04-16
76,2021-04-17
29,2021-04-18
44,2021-04-19
63,2021-04-20
71,2021-04-21
70,2021-04-22
44,2021-04-23
22,2021-04-24
26,2021-04-25
33,2021-04-26
29,2021-04-27
57,2021-04-28
48,2021-04-29
32,2021-04-30
24,2021-05-01
14,2021-05-02
30,2021-05-03
30,2021-05-04
37,2021-05-05
66,2021-05-06
303,2021-05-07
475,2021-05-08
54,2021-05-09
21,2021-05-10
19,2021-05-11
21,2021-05-12
41,2021-05-13
52,2021-05-14
50,2021-05-15
6,2021-05-16
9,2021-05-17
26,2021-05-18
30,2021-05-19
25,2021-05-20
13,2021-05-21
24,2021-05-22
30,2021-05-23
107,2021-05-24
105,2021-05-25
42,2021-05-26
37,2021-05-27
37,2021-05-28
21,2021-05-29
23,2021-05-30
31,2021-05-31
37,2021-06-01
49,2021-06-02
33,2021-06-03
23,2021-06-04
39,2021-06-05
59,2021-06-06
35,2021-06-07
38,2021-06-08
38,2021-06-09
51,2021-06-10
21,2021-06-11
22,2021-06-12
33,2021-06-13
37,2021-06-14
26,2021-06-15
10,2021-06-16
16,2021-06-17
17,2021-06-18
40,2021-06-19
45,2021-06-20
40,2021-06-21
20,2021-06-22
16,2021-06-23
28,2021-06-24
38,2021-06-25
21,2021-06-26
18,2021-06-27
24,2021-06-28
30,2021-06-29
36,2021-06-30
34,2021-07-01
24,2021-07-02
13,2021-07-03
7,2021-07-04
18,2021-07-05
40,2021-07-06
29,2021-07-07
23,2021-07-08
17,2021-07-09
24,2021-07-10
31,2021-07-11
27,2021-07-12
31,2021-07-13
23,2021-07-14
20,2021-07-15
20,2021-07-16
14,2021-07-17
12,2021-07-18
15,2021-07-19
18,2021-07-20
18,2021-07-21
21,2021-07-22
26,2021-07-23
26,2021-07-24
