측정일자,미세먼지(㎍/㎥)
2010-01-01,32
2010-01-02,46
2010-01-03,46
2010-01-04,34
2010-01-05,47
2010-01-06,52
2010-01-07,71
2010-01-08,82
2010-01-09,94
2010-01-10,68
2010-01-11,83
2010-01-12,32
2010-01-13,34
2010-01-14,53
2010-01-15,54
2010-01-16,64
2010-01-17,63
2010-01-18,72
2010-01-19,78
2010-01-20,53
2010-01-21,42
2010-01-22,41
2010-01-23,52
2010-01-24,56
2010-01-25,138
2010-01-26,64
2010-01-27,50
2010-01-28,49
2010-01-29,45
2010-01-30,78
2010-01-31,89
2010-02-01,97
2010-02-02,24
2010-02-03,37
2010-02-04,45
2010-02-05,33
2010-02-06,50
2010-02-07,58
2010-02-08,63
2010-02-09,51
2010-02-10,21
2010-02-11,6
2010-02-12,13
2010-02-13,28
2010-02-14,33
2010-02-15,50
2010-02-16,46
2010-02-17,52
2010-02-18,55
2010-02-19,55
2010-02-20,72
2010-02-21,64
2010-02-22,62
2010-02-23,83
2010-02-24,79
2010-02-25,29
2010-02-26,27
2010-02-27,31
2010-02-28,53
2010-03-01,19
2010-03-02,24
2010-03-03,88
2010-03-04,27
2010-03-05,31
2010-03-06,53
2010-03-07,12
2010-03-08,13
2010-03-09,16
2010-03-10,25
2010-03-11,43
2010-03-12,79
2010-03-13,117
2010-03-14,97
2010-03-15,98
2010-03-16,194
2010-03-17,53
2010-03-18,36
2010-03-19,46
2010-03-20,123
2010-03-21,44
2010-03-22,45
2010-03-23,53
2010-03-24,74
2010-03-25,49
2010-03-26,47
2010-03-27,86
2010-03-28,55
2010-03-29,59
2010-03-30,64
2010-03-31,28
2010-04-01,47
2010-04-02,89
2010-04-03,68
2010-04-04,57
2010-04-05,47
2010-04-06,43
2010-04-07,36
2010-04-08,60
2010-04-09,56
2010-04-10,58
2010-04-11,26
2010-04-12,29
2010-04-13,30
2010-04-14,32
2010-04-15,42
2010-04-16,70
2010-04-17,49
2010-04-18,61
2010-04-19,61
2010-04-20,54
2010-04-21,31
2010-04-22,10
2010-04-23,20
2010-04-24,47
2010-04-25,65
2010-04-26,49
2010-04-27,33
2010-04-28,32
2010-04-29,56
2010-04-30,47
2010-05-01,36
2010-05-02,67
2010-05-03,88
2010-05-04,84
2010-05-05,77
2010-05-06,28
2010-05-07,35
2010-05-08,59
2010-05-09,71
2010-05-10,84
2010-05-11,62
2010-05-12,49
2010-05-13,58
2010-05-14,39
2010-05-15,52
2010-05-16,40
2010-05-17,53
2010-05-18,14
2010-05-19,68
2010-05-20,126
2010-05-21,122
2010-05-22,71
2010-05-23,8
2010-05-24,13
2010-05-25,37
2010-05-26,13
2010-05-27,17
2010-05-28,38
2010-05-29,36
2010-05-30,23
2010-05-31,22
2010-06-01,22
2010-06-02,42
2010-06-03,45
2010-06-04,36
2010-06-05,42
2010-06-06,38
2010-06-07,28
2010-06-08,26
2010-06-09,53
2010-06-10,71
2010-06-11,46
2010-06-12,23
2010-06-13,19
2010-06-14,26
2010-06-15,25
2010-06-16,40
2010-06-17,136
2010-06-18,111
2010-06-19,59
2010-06-20,37
2010-06-21,51
2010-06-22,43
2010-06-23,36
2010-06-24,55
2010-06-25,61
2010-06-26,30
2010-06-27,19
2010-06-28,47
2010-06-29,60
2010-06-30,48
2010-07-01,52
2010-07-02,43
2010-07-03,21
2010-07-04,15
2010-07-05,47
2010-07-06,65
2010-07-07,57
2010-07-08,37
2010-07-09,28
2010-07-10,34
2010-07-11,22
2010-07-12,14
2010-07-13,16
2010-07-14,27
2010-07-15,45
2010-07-16,25
2010-07-17,9
2010-07-18,12
2010-07-19,17
2010-07-20,20
2010-07-21,18
2010-07-22,11
2010-07-23,12
2010-07-24,40
2010-07-25,16
2010-07-26,13
2010-07-27,18
2010-07-28,15
2010-07-29,18
2010-07-30,35
2010-07-31,46
2010-08-01,43
2010-08-02,37
2010-08-03,36
2010-08-04,49
2010-08-05,34
2010-08-06,15
2010-08-07,17
2010-08-08,26
2010-08-09,29
2010-08-10,21
2010-08-11,15
2010-08-12,37
2010-08-13,38
2010-08-14,38
2010-08-15,38
2010-08-16,61
2010-08-17,44
2010-08-18,22
2010-08-19,24
2010-08-20,30
2010-08-21,30
2010-08-22,27
2010-08-23,15
2010-08-24,11
2010-08-25,10
2010-08-26,15
2010-08-27,21
2010-08-28,18
2010-08-29,9
2010-08-30,22
2010-08-31,37
2010-09-01,13
2010-09-02,11
2010-09-03,18
2010-09-04,23
2010-09-05,23
2010-09-06,9
2010-09-07,16
2010-09-08,21
2010-09-09,19
2010-09-10,14
2010-09-11,9
2010-09-12,12
2010-09-13,46
2010-09-14,47
2010-09-15,22
2010-09-16,35
2010-09-17,43
2010-09-18,39
2010-09-19,30
2010-09-20,19
2010-09-21,15
2010-09-22,7
2010-09-23,12
2010-09-24,19
2010-09-25,19
2010-09-26,23
2010-09-27,24
2010-09-28,31
2010-09-29,35
2010-09-30,40
2010-10-01,39
2010-10-02,25
2010-10-03,17
2010-10-04,13
2010-10-05,35
2010-10-06,41
2010-10-07,38
2010-10-08,24
2010-10-09,16
2010-10-10,45
2010-10-11,64
2010-10-12,48
2010-10-13,47
2010-10-14,43
2010-10-15,26
2010-10-16,43
2010-10-17,53
2010-10-18,64
2010-10-19,74
2010-10-20,88
2010-10-21,48
2010-10-22,31
2010-10-23,39
2010-10-24,39
2010-10-25,53
2010-10-26,32
2010-10-27,30
2010-10-28,51
2010-10-29,51
2010-10-30,47
2010-10-31,35
2010-11-01,54
2010-11-02,46
2010-11-03,41
2010-11-04,75
2010-11-05,123
2010-11-06,186
2010-11-07,173
2010-11-08,35
2010-11-09,21
2010-11-10,30
2010-11-11,187
2010-11-12,89
2010-11-13,84
2010-11-14,42
2010-11-15,22
2010-11-16,36
2010-11-17,73
2010-11-18,80
2010-11-19,90
