미세먼지(㎍/㎥),측정일자
24,2021-01-01
28,2021-01-02
34,2021-01-03
37,2021-01-04
23,2021-01-05
23,2021-01-06
30,2021-01-07
16,2021-01-08
22,2021-01-09
26,2021-01-10
38,2021-01-11
49,2021-01-12
78,2021-01-13
73,2021-01-14
67,2021-01-15
50,2021-01-16
17,2021-01-17
32,2021-01-18
25,2021-01-19
34,2021-01-20
42,2021-01-21
22,2021-01-22
9,2021-01-23
11,2021-01-24
21,2021-01-25
26,2021-01-26
35,2021-01-27
28,2021-01-28
20,2021-01-29
38,2021-01-30
45,2021-01-31
57,2021-02-01
28,2021-02-02
28,2021-02-03
23,2021-02-04
21,2021-02-05
45,2021-02-06
72,2021-02-07
25,2021-02-08
22,2021-02-09
28,2021-02-10
53,2021-02-11
72,2021-02-12
85,2021-02-13
89,2021-02-14
51,2021-02-15
22,2021-02-16
38,2021-02-17
39,2021-02-18
40,2021-02-19
57,2021-02-20
64,2021-02-21
52,2021-02-22
45,2021-02-23
45,2021-02-24
50,2021-02-25
34,2021-02-26
16,2021-02-27
23,2021-02-28
16,2021-03-01
9,2021-03-02
31,2021-03-03
40,2021-03-04
35,2021-03-05
28,2021-03-06
23,2021-03-07
41,2021-03-08
47,2021-03-09
85,2021-03-10
112,2021-03-11
60,2021-03-12
51,2021-03-13
67,2021-03-14
68,2021-03-15
65,2021-03-16
93,2021-03-17
96,2021-03-18
68,2021-03-19
27,2021-03-20
43,2021-03-21
36,2021-03-22
70,2021-03-23
57,2021-03-24
57,2021-03-25
91,2021-03-26
56,2021-03-27
16,2021-03-28
262,2021-03-29
138,2021-03-30
42,2021-03-31
45,2021-04-01
45,2021-04-02
33,2021-04-03
9,2021-04-04
21,2021-04-05
38,2021-04-06
52,2021-04-07
33,2021-04-08
34,2021-04-09
32,2021-04-10
44,2021-04-11
37,2021-04-12
12,2021-04-13
25,2021-04-14
39,2021-04-15
68,2021-04-16
79,2021-04-17
30,2021-04-18
44,2021-04-19
64,2021-04-20
73,2021-04-21
70,2021-04-22
46,2021-04-23
24,2021-04-24
27,2021-04-25
29,2021-04-26
31,2021-04-27
54,2021-04-28
60,2021-04-29
33,2021-04-30
25,2021-05-01
14,2021-05-02
29,2021-05-03
29,2021-05-04
39,2021-05-05
66,2021-05-06
289,2021-05-07
477,2021-05-08
52,2021-05-09
22,2021-05-10
22,2021-05-11
22,2021-05-12
44,2021-05-13
53,2021-05-14
50,2021-05-15
10,2021-05-16
10,2021-05-17
25,2021-05-18
32,2021-05-19
29,2021-05-20
12,2021-05-21
25,2021-05-22
29,2021-05-23
110,2021-05-24
104,2021-05-25
41,2021-05-26
37,2021-05-27
35,2021-05-28
23,2021-05-29
26,2021-05-30
33,2021-05-31
40,2021-06-01
51,2021-06-02
37,2021-06-03
24,2021-06-04
39,2021-06-05
59,2021-06-06
35,2021-06-07
37,2021-06-08
39,2021-06-09
52,2021-06-10
21,2021-06-11
22,2021-06-12
34,2021-06-13
39,2021-06-14
29,2021-06-15
10,2021-06-16
16,2021-06-17
18,2021-06-18
42,2021-06-19
46,2021-06-20
44,2021-06-21
22,2021-06-22
18,2021-06-23
30,2021-06-24
38,2021-06-25
22,2021-06-26
21,2021-06-27
27,2021-06-28
32,2021-06-29
37,2021-06-30
39,2021-07-01
28,2021-07-02
14,2021-07-03
9,2021-07-04
20,2021-07-05
40,2021-07-06
28,2021-07-07
23,2021-07-08
19,2021-07-09
25,2021-07-10
31,2021-07-11
27,2021-07-12
34,2021-07-13
22,2021-07-14
23,2021-07-15
20,2021-07-16
18,2021-07-17
14,2021-07-18
15,2021-07-19
19,2021-07-20
22,2021-07-21
24,2021-07-22
27,2021-07-23
27,2021-07-24
