측정일자,미세먼지(㎍/㎥)
2010-01-01,36
2010-01-02,62
2010-01-03,50
2010-01-04,43
2010-01-05,53
2010-01-06,41
2010-01-07,62
2010-01-08,89
2010-01-09,90
2010-01-10,99
2010-01-11,84
2010-01-12,34
2010-01-13,38
2010-01-14,49
2010-01-15,66
2010-01-16,59
2010-01-17,60
2010-01-18,93
2010-01-19,102
2010-01-20,78
2010-01-21,39
2010-01-22,38
2010-01-23,45
2010-01-24,56
2010-01-25,114
2010-01-26,52
2010-01-27,57
2010-01-28,56
2010-01-29,46
2010-01-30,77
2010-01-31,105
2010-02-01,105
2010-02-02,24
2010-02-03,37
2010-02-04,46
2010-02-05,36
2010-02-06,45
2010-02-07,54
2010-02-08,71
2010-02-09,66
2010-02-10,38
2010-02-11,17
2010-02-12,24
2010-02-13,38
2010-02-14,39
2010-02-15,56
2010-02-16,38
2010-02-17,54
2010-02-18,58
2010-02-19,52
2010-02-20,73
2010-02-21,66
2010-02-22,80
2010-02-23,85
2010-02-24,82
2010-02-25,37
2010-02-26,38
2010-02-27,49
2010-02-28,69
2010-03-01,30
2010-03-02,35
2010-03-03,91
2010-03-04,35
2010-03-05,48
2010-03-06,67
2010-03-07,20
2010-03-08,18
2010-03-09,26
2010-03-10,36
2010-03-11,54
2010-03-12,81
2010-03-13,98
2010-03-14,80
2010-03-15,90
2010-03-16,143
2010-03-17,43
2010-03-18,39
2010-03-19,42
2010-03-20,96
2010-03-21,36
2010-03-22,43
2010-03-23,49
2010-03-24,67
2010-03-25,46
2010-03-26,41
2010-03-27,82
2010-03-28,47
2010-03-29,50
2010-03-30,63
2010-03-31,39
2010-04-01,64
2010-04-02,71
2010-04-03,51
2010-04-04,47
2010-04-05,47
2010-04-06,52
2010-04-07,43
2010-04-08,65
2010-04-09,57
2010-04-10,66
2010-04-11,35
2010-04-12,32
2010-04-13,34
2010-04-14,32
2010-04-15,49
2010-04-16,78
2010-04-17,60
2010-04-18,70
2010-04-19,67
2010-04-20,61
2010-04-21,43
2010-04-22,23
2010-04-23,30
2010-04-24,68
2010-04-25,74
2010-04-26,57
2010-04-27,40
2010-04-28,38
2010-04-29,59
2010-04-30,57
2010-05-01,53
2010-05-02,63
2010-05-03,84
2010-05-04,79
2010-05-05,74
2010-05-06,38
2010-05-07,42
2010-05-08,81
2010-05-09,93
2010-05-10,78
2010-05-11,55
2010-05-12,57
2010-05-13,70
2010-05-14,53
2010-05-15,44
2010-05-16,49
2010-05-17,60
2010-05-18,27
2010-05-19,84
2010-05-20,144
2010-05-21,159
2010-05-22,119
2010-05-23,11
2010-05-24,24
2010-05-25,71
2010-05-26,26
2010-05-27,21
2010-05-28,48
2010-05-29,42
2010-05-30,27
2010-05-31,32
2010-06-01,32
2010-06-02,54
2010-06-03,43
2010-06-04,42
2010-06-05,43
2010-06-06,44
