미세먼지(㎍/㎥),측정일자
27,2021-01-01
31,2021-01-02
39,2021-01-03
40,2021-01-04
29,2021-01-05
25,2021-01-06
31,2021-01-07
22,2021-01-08
27,2021-01-09
33,2021-01-10
56,2021-01-11
63,2021-01-12
95,2021-01-13
76,2021-01-14
73,2021-01-15
58,2021-01-16
21,2021-01-17
40,2021-01-18
30,2021-01-19
46,2021-01-20
53,2021-01-21
43,2021-01-22
16,2021-01-23
12,2021-01-24
28,2021-01-25
51,2021-01-26
39,2021-01-27
35,2021-01-28
23,2021-01-29
52,2021-01-30
59,2021-01-31
68,2021-02-01
32,2021-02-02
33,2021-02-03
27,2021-02-04
27,2021-02-05
63,2021-02-06
87,2021-02-07
27,2021-02-08
25,2021-02-09
37,2021-02-10
74,2021-02-11
107,2021-02-12
123,2021-02-13
102,2021-02-14
55,2021-02-15
24,2021-02-16
39,2021-02-17
45,2021-02-18
43,2021-02-19
68,2021-02-20
78,2021-02-21
54,2021-02-22
54,2021-02-23
55,2021-02-24
63,2021-02-25
44,2021-02-26
17,2021-02-27
23,2021-02-28
18,2021-03-01
10,2021-03-02
42,2021-03-03
46,2021-03-04
40,2021-03-05
33,2021-03-06
23,2021-03-07
51,2021-03-08
51,2021-03-09
102,2021-03-10
133,2021-03-11
80,2021-03-12
56,2021-03-13
86,2021-03-14
91,2021-03-15
39,2021-03-16
92,2021-03-17
100,2021-03-18
88,2021-03-19
36,2021-03-20
47,2021-03-21
39,2021-03-22
76,2021-03-23
76,2021-03-24
61,2021-03-25
118,2021-03-26
70,2021-03-27
17,2021-03-28
300,2021-03-29
169,2021-03-30
43,2021-03-31
41,2021-04-01
44,2021-04-02
35,2021-04-03
8,2021-04-04
21,2021-04-05
41,2021-04-06
59,2021-04-07
32,2021-04-08
33,2021-04-09
32,2021-04-10
42,2021-04-11
41,2021-04-12
21,2021-04-13
26,2021-04-14
43,2021-04-15
74,2021-04-16
97,2021-04-17
31,2021-04-18
46,2021-04-19
66,2021-04-20
72,2021-04-21
70,2021-04-22
43,2021-04-23
22,2021-04-24
25,2021-04-25
26,2021-04-26
31,2021-04-27
63,2021-04-28
75,2021-04-29
33,2021-04-30
26,2021-05-01
14,2021-05-02
34,2021-05-03
29,2021-05-04
40,2021-05-05
68,2021-05-06
324,2021-05-07
442,2021-05-08
46,2021-05-09
21,2021-05-10
19,2021-05-11
22,2021-05-12
48,2021-05-13
56,2021-05-14
51,2021-05-15
9,2021-05-16
14,2021-05-17
33,2021-05-18
34,2021-05-19
26,2021-05-20
13,2021-05-21
25,2021-05-22
36,2021-05-23
123,2021-05-24
101,2021-05-25
45,2021-05-26
40,2021-05-27
42,2021-05-28
21,2021-05-29
25,2021-05-30
33,2021-05-31
35,2021-06-01
52,2021-06-02
31,2021-06-03
26,2021-06-04
43,2021-06-05
64,2021-06-06
37,2021-06-07
45,2021-06-08
43,2021-06-09
67,2021-06-10
18,2021-06-11
22,2021-06-12
30,2021-06-13
39,2021-06-14
28,2021-06-15
11,2021-06-16
18,2021-06-17
12,2021-06-18
44,2021-06-19
53,2021-06-20
42,2021-06-21
33,2021-06-22
22,2021-06-23
32,2021-06-24
45,2021-06-25
23,2021-06-26
19,2021-06-27
24,2021-06-28
30,2021-06-29
32,2021-06-30
32,2021-07-01
29,2021-07-02
15,2021-07-03
10,2021-07-04
22,2021-07-05
43,2021-07-06
32,2021-07-07
17,2021-07-08
16,2021-07-09
27,2021-07-10
35,2021-07-11
36,2021-07-12
31,2021-07-13
21,2021-07-14
22,2021-07-15
22,2021-07-16
21,2021-07-17
15,2021-07-18
15,2021-07-19
20,2021-07-20
24,2021-07-21
26,2021-07-22
34,2021-07-23
30,2021-07-24
