측정일자,미세먼지(㎍/㎥)
2010-01-01,31
2010-01-02,53
2010-01-03,48
2010-01-04,37
2010-01-05,52
2010-01-06,39
2010-01-07,54
2010-01-08,80
2010-01-09,82
2010-01-10,73
2010-01-11,84
2010-01-12,36
2010-01-13,37
2010-01-14,46
2010-01-15,56
2010-01-16,59
2010-01-17,52
2010-01-18,76
2010-01-19,86
2010-01-20,65
2010-01-21,39
2010-01-22,40
2010-01-23,50
2010-01-24,55
2010-01-25,131
2010-01-26,54
2010-01-27,52
2010-01-28,51
2010-01-29,47
2010-01-30,78
2010-01-31,100
2010-02-01,101
2010-02-02,27
2010-02-03,42
2010-02-04,47
2010-02-05,41
2010-02-06,48
2010-02-07,51
2010-02-08,65
2010-02-09,67
2010-02-10,37
2010-02-11,9
2010-02-12,19
2010-02-13,32
2010-02-14,38
2010-02-15,59
2010-02-16,41
2010-02-17,53
2010-02-18,61
2010-02-19,57
2010-02-20,73
2010-02-21,62
2010-02-22,70
2010-02-23,85
2010-02-24,81
2010-02-25,35
2010-02-26,32
2010-02-27,42
2010-02-28,57
2010-03-01,21
2010-03-02,28
2010-03-03,95
2010-03-04,32
2010-03-05,43
2010-03-06,73
2010-03-07,15
2010-03-08,16
2010-03-09,21
2010-03-10,32
2010-03-11,52
2010-03-12,85
2010-03-13,137
2010-03-14,102
2010-03-15,113
2010-03-16,226
2010-03-17,55
2010-03-18,47
2010-03-19,50
2010-03-20,122
2010-03-21,47
2010-03-22,52
2010-03-23,55
2010-03-24,87
2010-03-25,60
2010-03-26,52
2010-03-27,95
2010-03-28,53
2010-03-29,61
2010-03-30,68
2010-03-31,34
2010-04-01,67
2010-04-02,98
2010-04-03,72
2010-04-04,57
2010-04-05,49
2010-04-06,48
2010-04-07,44
2010-04-08,63
2010-04-09,56
2010-04-10,68
2010-04-11,33
2010-04-12,35
2010-04-13,35
2010-04-14,41
2010-04-15,60
2010-04-16,94
2010-04-17,63
2010-04-18,70
2010-04-19,72
2010-04-20,69
2010-04-21,40
2010-04-22,15
2010-04-23,25
2010-04-24,66
2010-04-25,79
2010-04-26,56
2010-04-27,36
2010-04-28,38
2010-04-29,64
2010-04-30,58
2010-05-01,43
2010-05-02,69
2010-05-03,92
2010-05-04,86
2010-05-05,84
2010-05-06,34
2010-05-07,45
2010-05-08,73
2010-05-09,88
2010-05-10,93
2010-05-11,65
2010-05-12,57
2010-05-13,68
2010-05-14,55
2010-05-15,56
2010-05-16,48
2010-05-17,65
2010-05-18,16
2010-05-19,71
2010-05-20,146
2010-05-21,158
2010-05-22,121
2010-05-23,9
2010-05-24,17
2010-05-25,53
2010-05-26,22
2010-05-27,21
2010-05-28,43
2010-05-29,40
2010-05-30,32
2010-05-31,31
2010-06-01,28
2010-06-02,53
2010-06-03,46
2010-06-04,42
2010-06-05,44
2010-06-06,44
2010-06-07,42
2010-06-08,35
2010-06-09,60
2010-06-10,79
2010-06-11,53
2010-06-12,22
2010-06-13,22
2010-06-14,30
2010-06-15,22
2010-06-16,48
2010-06-17,141
2010-06-18,123
2010-06-19,79
2010-06-20,42
2010-06-21,56
2010-06-22,56
2010-06-23,46
2010-06-24,61
2010-06-25,62
2010-06-26,33
2010-06-27,21
2010-06-28,54
2010-06-29,61
2010-06-30,43
2010-07-01,58
2010-07-02,49
2010-07-03,40
2010-07-04,23
2010-07-05,49
2010-07-06,72
2010-07-07,58
2010-07-08,38
2010-07-09,36
2010-07-10,38
2010-07-11,23
2010-07-12,24
2010-07-13,24
2010-07-14,36
2010-07-15,52
2010-07-16,26
2010-07-17,10
2010-07-18,13
2010-07-19,19
2010-07-20,23
2010-07-21,20
2010-07-22,13
2010-07-23,15
2010-07-24,41
2010-07-25,15
2010-07-26,14
2010-07-27,19
2010-07-28,17
2010-07-29,21
2010-07-30,30
2010-07-31,45
2010-08-01,44
2010-08-02,41
2010-08-03,39
2010-08-04,61
2010-08-05,39
2010-08-06,17
2010-08-07,19
2010-08-08,26
2010-08-09,29
2010-08-10,20
2010-08-11,18
2010-08-12,41
2010-08-13,44
2010-08-14,49
2010-08-15,44
2010-08-16,63
2010-08-17,49
2010-08-18,31
2010-08-19,25
2010-08-20,30
2010-08-21,28
2010-08-22,27
2010-08-23,18
2010-08-24,13
2010-08-25,11
2010-08-26,17
2010-08-27,23
2010-08-28,20
2010-08-29,13
2010-08-30,21
2010-08-31,38
2010-09-01,16
2010-09-02,14
2010-09-03,20
2010-09-04,23
2010-09-05,23
2010-09-06,11
2010-09-07,18
2010-09-08,24
2010-09-09,22
2010-09-10,15
2010-09-11,10
2010-09-12,16
2010-09-13,53
2010-09-14,64
2010-09-15,31
2010-09-16,36
2010-09-17,48
2010-09-18,39
2010-09-19,33
2010-09-20,20
2010-09-21,16
2010-09-22,9
2010-09-23,14
2010-09-24,24
2010-09-25,20
2010-09-26,21
2010-09-27,25
2010-09-28,41
2010-09-29,39
2010-09-30,43
2010-10-01,46
2010-10-02,30
2010-10-03,18
2010-10-04,19
2010-10-05,30
2010-10-06,47
2010-10-07,55
2010-10-08,26
2010-10-09,18
2010-10-10,48
2010-10-11,69
2010-10-12,46
2010-10-13,42
2010-10-14,48
2010-10-15,30
2010-10-16,50
2010-10-17,53
2010-10-18,61
2010-10-19,73
2010-10-20,89
2010-10-21,51
2010-10-22,28
2010-10-23,31
2010-10-24,42
2010-10-25,56
2010-10-26,36
2010-10-27,34
2010-10-28,47
2010-10-29,53
2010-10-30,45
2010-10-31,37
2010-11-01,61
2010-11-02,43
2010-11-03,44
2010-11-04,85
2010-11-05,139
2010-11-06,195
2010-11-07,158
2010-11-08,35
2010-11-09,22
2010-11-10,29
2010-11-11,213
2010-11-12,63
2010-11-13,95
2010-11-14,33
2010-11-15,27
2010-11-16,33
2010-11-17,68
2010-11-18,74
2010-11-19,84
2010-11-20,78
2010-11-21,85
2010-11-22,37
2010-11-23,45
2010-11-24,63
2010-11-25,69
2010-11-26,43
2010-11-27,86
2010-11-28,76
2010-11-29,59
2010-11-30,136
2010-12-01,175
2010-12-02,120
2010-12-03,94
2010-12-04,46
2010-12-05,54
2010-12-06,59
2010-12-07,36
2010-12-08,36
2010-12-09,42
2010-12-10,81
2010-12-11,74
2010-12-12,23
2010-12-13,45
2010-12-14,34
2010-12-15,45
2010-12-16,47
2010-12-17,79
2010-12-18,107
2010-12-19,87
2010-12-20,156
2010-12-21,142
2010-12-22,71
2010-12-23,73
2010-12-24,47
2010-12-25,38
2010-12-26,53
2010-12-27,56
2010-12-28,61
2010-12-29,40
2010-12-30,41
2010-12-31,41
2011-01-01,63
2011-01-02,74
2011-01-03,71
2011-01-04,63
2011-01-05,41
2011-01-06,37
2011-01-07,43
2011-01-08,60
2011-01-09,43
2011-01-10,41
2011-01-11,54
2011-01-12,37
2011-01-13,47
2011-01-14,55
2011-01-15,43
2011-01-16,32
2011-01-17,32
2011-01-18,43
2011-01-19,45
2011-01-20,47
2011-01-21,42
2011-01-22,42
2011-01-23,54
2011-01-24,50
2011-01-25,43
2011-01-26,41
2011-01-27,39
2011-01-28,45
2011-01-29,36
2011-01-30,40
2011-01-31,46
2011-02-01,71
2011-02-02,111
2011-02-03,137
2011-02-04,155
2011-02-05,150
2011-02-06,155
2011-02-07,128
2011-02-08,72
2011-02-09,51
2011-02-10,60
2011-02-11,67
2011-02-12,50
2011-02-13,47
2011-02-14,57
2011-02-15,86
2011-02-16,66
2011-02-17,71
2011-02-18,102
2011-02-19,91
2011-02-20,67
2011-02-21,42
2011-02-22,78
2011-02-23,83
2011-02-24,76
2011-02-25,65
2011-02-26,51
2011-02-27,24
2011-02-28,12
2011-03-01,32
2011-03-02,30
2011-03-03,32
2011-03-04,46
2011-03-05,49
2011-03-06,58
2011-03-07,53
2011-03-08,44
2011-03-09,46
2011-03-10,50
2011-03-11,61
2011-03-12,76
2011-03-13,52
2011-03-14,76
2011-03-15,68
2011-03-16,36
2011-03-17,37
2011-03-18,42
2011-03-19,307
2011-03-20,208
2011-03-21,183
2011-03-22,44
2011-03-23,47
2011-03-24,56
2011-03-25,52
2011-03-26,47
2011-03-27,42
2011-03-28,57
2011-03-29,63
2011-03-30,86
2011-03-31,131
2011-04-01,93
2011-04-02,100
2011-04-03,87
2011-04-04,71
2011-04-05,69
2011-04-06,65
2011-04-07,21
2011-04-08,46
2011-04-09,78
2011-04-10,100
2011-04-11,77
2011-04-12,66
2011-04-13,76
2011-04-14,68
2011-04-15,56
2011-04-16,83
2011-04-17,73
2011-04-18,31
2011-04-19,43
2011-04-20,76
2011-04-21,57
2011-04-22,27
2011-04-23,39
2011-04-24,47
2011-04-25,48
2011-04-26,23
2011-04-27,28
2011-04-28,26
2011-04-29,49
2011-04-30,44
2011-05-01,180
2011-05-02,305
2011-05-03,255
2011-05-04,73
2011-05-05,69
2011-05-06,63
2011-05-07,49
2011-05-08,68
2011-05-09,46
2011-05-10,24
2011-05-11,11
2011-05-12,95
2011-05-13,106
2011-05-14,88
2011-05-15,100
2011-05-16,76
2011-05-17,51
2011-05-18,56
2011-05-19,45
2011-05-20,25
2011-05-21,36
2011-05-22,33
2011-05-23,66
2011-05-24,92
2011-05-25,98
2011-05-26,52
2011-05-27,43
2011-05-28,59
2011-05-29,64
2011-05-30,78
2011-05-31,51
2011-06-01,47
2011-06-02,115
2011-06-03,69
2011-06-04,47
2011-06-05,56
2011-06-06,44
2011-06-07,56
2011-06-08,53
2011-06-09,42
2011-06-10,74
2011-06-11,53
2011-06-12,53
2011-06-13,46
2011-06-14,50
2011-06-15,61
2011-06-16,42
2011-06-17,39
2011-06-18,59
2011-06-19,52
2011-06-20,70
2011-06-21,46
2011-06-22,34
2011-06-23,22
2011-06-24,16
2011-06-25,6
2011-06-26,6
2011-06-27,28
2011-06-28,75
2011-06-29,16
2011-06-30,17
2011-07-01,32
2011-07-02,67
2011-07-03,26
2011-07-04,46
2011-07-05,58
2011-07-06,69
2011-07-07,51
2011-07-08,28
2011-07-09,24
2011-07-10,18
2011-07-11,10
2011-07-12,11
2011-07-13,16
2011-07-14,12
2011-07-15,16
2011-07-16,16
2011-07-17,19
2011-07-18,19
2011-07-19,13
2011-07-20,16
2011-07-21,23
2011-07-22,43
2011-07-23,51
2011-07-24,44
2011-07-25,40
2011-07-26,32
2011-07-27,11
2011-07-28,18
