미세먼지(㎍/㎥),측정일자
22,2021-01-01
25,2021-01-02
30,2021-01-03
33,2021-01-04
26,2021-01-05
21,2021-01-06
24,2021-01-07
17,2021-01-08
21,2021-01-09
27,2021-01-10
43,2021-01-11
54,2021-01-12
83,2021-01-13
68,2021-01-14
65,2021-01-15
50,2021-01-16
18,2021-01-17
33,2021-01-18
23,2021-01-19
52,2021-01-20
48,2021-01-21
43,2021-01-22
15,2021-01-23
10,2021-01-24
25,2021-01-25
44,2021-01-26
34,2021-01-27
29,2021-01-28
18,2021-01-29
43,2021-01-30
51,2021-01-31
59,2021-02-01
27,2021-02-02
30,2021-02-03
22,2021-02-04
23,2021-02-05
56,2021-02-06
78,2021-02-07
23,2021-02-08
21,2021-02-09
30,2021-02-10
64,2021-02-11
85,2021-02-12
101,2021-02-13
87,2021-02-14
52,2021-02-15
20,2021-02-16
29,2021-02-17
35,2021-02-18
37,2021-02-19
63,2021-02-20
70,2021-02-21
48,2021-02-22
42,2021-02-23
44,2021-02-24
53,2021-02-25
40,2021-02-26
17,2021-02-27
21,2021-02-28
18,2021-03-01
9,2021-03-02
35,2021-03-03
41,2021-03-04
36,2021-03-05
30,2021-03-06
6,2021-03-07
53,2021-03-08
47,2021-03-09
92,2021-03-10
116,2021-03-11
68,2021-03-12
49,2021-03-13
74,2021-03-14
81,2021-03-15
81,2021-03-16
82,2021-03-17
90,2021-03-18
76,2021-03-19
28,2021-03-20
40,2021-03-21
33,2021-03-22
69,2021-03-23
50,2021-03-24
51,2021-03-25
103,2021-03-26
71,2021-03-27
15,2021-03-28
251,2021-03-29
147,2021-03-30
39,2021-03-31
41,2021-04-01
42,2021-04-02
35,2021-04-03
9,2021-04-04
19,2021-04-05
37,2021-04-06
54,2021-04-07
30,2021-04-08
30,2021-04-09
28,2021-04-10
38,2021-04-11
38,2021-04-12
12,2021-04-13
23,2021-04-14
38,2021-04-15
64,2021-04-16
80,2021-04-17
27,2021-04-18
40,2021-04-19
56,2021-04-20
69,2021-04-21
65,2021-04-22
42,2021-04-23
21,2021-04-24
22,2021-04-25
25,2021-04-26
26,2021-04-27
56,2021-04-28
67,2021-04-29
28,2021-04-30
22,2021-05-01
13,2021-05-02
28,2021-05-03
34,2021-05-04
38,2021-05-05
63,2021-05-06
313,2021-05-07
395,2021-05-08
43,2021-05-09
21,2021-05-10
19,2021-05-11
21,2021-05-12
45,2021-05-13
53,2021-05-14
55,2021-05-15
9,2021-05-16
16,2021-05-17
29,2021-05-18
31,2021-05-19
26,2021-05-20
13,2021-05-21
23,2021-05-22
33,2021-05-23
105,2021-05-24
99,2021-05-25
44,2021-05-26
39,2021-05-27
37,2021-05-28
22,2021-05-29
26,2021-05-30
34,2021-05-31
36,2021-06-01
49,2021-06-02
33,2021-06-03
24,2021-06-04
43,2021-06-05
60,2021-06-06
34,2021-06-07
42,2021-06-08
40,2021-06-09
64,2021-06-10
19,2021-06-11
20,2021-06-12
31,2021-06-13
37,2021-06-14
27,2021-06-15
12,2021-06-16
16,2021-06-17
14,2021-06-18
41,2021-06-19
49,2021-06-20
39,2021-06-21
30,2021-06-22
22,2021-06-23
30,2021-06-24
42,2021-06-25
24,2021-06-26
19,2021-06-27
25,2021-06-28
30,2021-06-29
35,2021-06-30
39,2021-07-01
28,2021-07-02
15,2021-07-03
9,2021-07-04
23,2021-07-05
41,2021-07-06
29,2021-07-07
20,2021-07-08
16,2021-07-09
25,2021-07-10
32,2021-07-11
34,2021-07-12
30,2021-07-13
19,2021-07-14
21,2021-07-15
21,2021-07-16
18,2021-07-17
14,2021-07-18
14,2021-07-19
19,2021-07-20
25,2021-07-21
27,2021-07-22
28,2021-07-23
29,2021-07-24
