측정일자,미세먼지(㎍/㎥)
2010-01-01,34
2010-01-02,51
2010-01-03,49
2010-01-04,38
2010-01-05,51
2010-01-06,37
2010-01-07,61
2010-01-08,77
2010-01-09,88
2010-01-10,65
2010-01-11,72
2010-01-12,38
2010-01-13,39
2010-01-14,48
2010-01-15,53
2010-01-16,62
2010-01-17,55
2010-01-18,77
2010-01-19,87
2010-01-20,56
2010-01-21,44
2010-01-22,45
2010-01-23,53
2010-01-24,61
2010-01-25,141
2010-01-26,60
2010-01-27,55
2010-01-28,56
2010-01-29,49
2010-01-30,77
2010-01-31,98
2010-02-01,110
2010-02-02,31
2010-02-03,44
2010-02-04,53
2010-02-05,40
2010-02-06,52
2010-02-07,52
2010-02-08,55
2010-02-09,56
2010-02-10,28
2010-02-11,7
2010-02-12,18
2010-02-13,33
2010-02-14,32
2010-02-15,57
2010-02-16,46
2010-02-17,52
2010-02-18,69
2010-02-19,62
2010-02-20,75
2010-02-21,66
2010-02-22,69
2010-02-23,79
2010-02-24,77
2010-02-25,34
2010-02-26,29
2010-02-27,40
2010-02-28,61
2010-03-01,23
2010-03-02,28
2010-03-03,90
2010-03-04,30
2010-03-05,41
2010-03-06,60
2010-03-07,14
2010-03-08,13
2010-03-09,20
2010-03-10,30
2010-03-11,47
2010-03-12,83
2010-03-13,123
2010-03-14,96
2010-03-15,111
2010-03-16,236
2010-03-17,55
2010-03-18,41
2010-03-19,47
2010-03-20,120
2010-03-21,45
2010-03-22,48
2010-03-23,50
2010-03-24,74
2010-03-25,54
2010-03-26,55
2010-03-27,95
2010-03-28,59
2010-03-29,63
2010-03-30,63
2010-03-31,32
2010-04-01,60
2010-04-02,97
2010-04-03,74
2010-04-04,56
2010-04-05,48
2010-04-06,46
2010-04-07,38
2010-04-08,63
2010-04-09,52
2010-04-10,60
2010-04-11,26
2010-04-12,31
2010-04-13,35
2010-04-14,36
2010-04-15,47
2010-04-16,75
2010-04-17,55
2010-04-18,64
2010-04-19,61
2010-04-20,60
2010-04-21,33
2010-04-22,12
2010-04-23,23
2010-04-24,53
2010-04-25,65
2010-04-26,50
2010-04-27,37
2010-04-28,38
2010-04-29,64
2010-04-30,55
2010-05-01,37
2010-05-02,66
2010-05-03,91
2010-05-04,89
2010-05-05,76
2010-05-06,32
2010-05-07,41
2010-05-08,68
2010-05-09,79
2010-05-10,93
2010-05-11,65
2010-05-12,54
2010-05-13,63
2010-05-14,42
2010-05-15,53
2010-05-16,41
2010-05-17,56
2010-05-18,18
2010-05-19,78
2010-05-20,141
2010-05-21,137
2010-05-22,87
2010-05-23,7
2010-05-24,17
2010-05-25,47
2010-05-26,15
2010-05-27,20
2010-05-28,40
2010-05-29,37
2010-05-30,27
2010-05-31,28
2010-06-01,26
2010-06-02,44
2010-06-03,47
2010-06-04,41
2010-06-05,45
2010-06-06,41
2010-06-07,34
2010-06-08,30
2010-06-09,55
2010-06-10,75
2010-06-11,51
2010-06-12,24
2010-06-13,22
2010-06-14,30
2010-06-15,24
2010-06-16,46
2010-06-17,148
2010-06-18,123
2010-06-19,73
2010-06-20,43
2010-06-21,57
2010-06-22,51
2010-06-23,43
2010-06-24,55
2010-06-25,63
2010-06-26,34
2010-06-27,21
2010-06-28,54
2010-06-29,62
2010-06-30,44
2010-07-01,59
2010-07-02,49
2010-07-03,33
2010-07-04,20
2010-07-05,53
2010-07-06,75
2010-07-07,57
2010-07-08,42
2010-07-09,35
2010-07-10,37
2010-07-11,23
2010-07-12,23
2010-07-13,21
2010-07-14,33
2010-07-15,52
2010-07-16,28
2010-07-17,11
2010-07-18,13
2010-07-19,21
2010-07-20,24
2010-07-21,22
2010-07-22,14
2010-07-23,16
2010-07-24,46
2010-07-25,17
2010-07-26,16
2010-07-27,20
2010-07-28,18
2010-07-29,24
2010-07-30,37
2010-07-31,49
2010-08-01,51
2010-08-02,41
2010-08-03,42
2010-08-04,60
2010-08-05,38
2010-08-06,18
2010-08-07,21
2010-08-08,28
2010-08-09,30
2010-08-10,25
2010-08-11,17
2010-08-12,42
2010-08-13,47
2010-08-14,51
2010-08-15,45
2010-08-16,67
2010-08-17,54
2010-08-18,29
2010-08-19,27
2010-08-20,33
2010-08-21,31
2010-08-22,31
2010-08-23,18
2010-08-24,17
2010-08-25,11
2010-08-26,16
2010-08-27,24
2010-08-28,21
2010-08-29,11
2010-08-30,24
2010-08-31,37
2010-09-01,15
2010-09-02,13
2010-09-03,20
2010-09-04,25
2010-09-05,23
2010-09-06,12
2010-09-07,19
2010-09-08,24
2010-09-09,21
2010-09-10,15
2010-09-11,11
2010-09-12,18
2010-09-13,51
2010-09-14,55
2010-09-15,28
2010-09-16,35
2010-09-17,46
2010-09-18,40
2010-09-19,31
2010-09-20,20
2010-09-21,16
2010-09-22,8
2010-09-23,12
2010-09-24,21
2010-09-25,17
2010-09-26,20
2010-09-27,25
2010-09-28,40
2010-09-29,34
2010-09-30,41
2010-10-01,39
2010-10-02,28
2010-10-03,19
2010-10-04,19
2010-10-05,25
2010-10-06,52
2010-10-07,44
2010-10-08,24
2010-10-09,18
2010-10-10,42
2010-10-11,69
2010-10-12,46
2010-10-13,44
2010-10-14,43
2010-10-15,29
2010-10-16,46
2010-10-17,46
2010-10-18,54
2010-10-19,67
2010-10-20,88
2010-10-21,44
2010-10-22,22
2010-10-23,32
2010-10-24,39
2010-10-25,55
2010-10-26,32
2010-10-27,30
2010-10-28,42
2010-10-29,44
2010-10-30,39
2010-10-31,29
2010-11-01,56
2010-11-02,46
2010-11-03,40
2010-11-04,81
2010-11-05,132
2010-11-06,197
2010-11-07,171
2010-11-08,33
2010-11-09,22
2010-11-10,26
2010-11-11,150
2010-11-12,65
2010-11-13,95
2010-11-14,42
2010-11-15,29
2010-11-16,30
2010-11-17,62
2010-11-18,73
2010-11-19,84
2010-11-20,77
2010-11-21,85
2010-11-22,37
2010-11-23,36
2010-11-24,48
2010-11-25,70
2010-11-26,37
2010-11-27,82
2010-11-28,76
2010-11-29,53
2010-11-30,124
2010-12-01,166
2010-12-02,114
2010-12-03,99
2010-12-04,43
2010-12-05,57
2010-12-06,67
2010-12-07,37
2010-12-08,38
2010-12-09,43
2010-12-10,77
2010-12-11,79
2010-12-12,23
2010-12-13,36
2010-12-14,38
2010-12-15,44
2010-12-16,47
2010-12-17,77
2010-12-18,102
2010-12-19,87
2010-12-20,151
2010-12-21,116
2010-12-22,69
2010-12-23,76
2010-12-24,51
2010-12-25,38
2010-12-26,54
2010-12-27,56
2010-12-28,61
2010-12-29,38
2010-12-30,43
2010-12-31,43
2011-01-01,61
2011-01-02,68
2011-01-03,67
2011-01-04,62
2011-01-05,42
2011-01-06,39
2011-01-07,42
2011-01-08,62
2011-01-09,46
2011-01-10,42
2011-01-11,58
2011-01-12,40
2011-01-13,48
2011-01-14,57
2011-01-15,47
2011-01-16,33
2011-01-17,33
2011-01-18,42
2011-01-19,45
2011-01-20,48
2011-01-21,45
2011-01-22,42
2011-01-23,55
2011-01-24,52
2011-01-25,48
2011-01-26,40
2011-01-27,40
2011-01-28,45
2011-01-29,38
2011-01-30,40
2011-01-31,45
2011-02-01,68
2011-02-02,106
2011-02-03,135
2011-02-04,156
2011-02-05,151
2011-02-06,152
2011-02-07,133
2011-02-08,75
2011-02-09,56
2011-02-10,61
2011-02-11,71
2011-02-12,54
2011-02-13,54
2011-02-14,64
2011-02-15,78
2011-02-16,68
2011-02-17,75
2011-02-18,93
2011-02-19,93
2011-02-20,59
2011-02-21,44
2011-02-22,70
2011-02-23,92
2011-02-24,53
2011-02-25,55
2011-02-26,46
2011-02-27,23
2011-02-28,10
2011-03-01,31
2011-03-02,30
2011-03-03,33
2011-03-04,46
2011-03-05,50
2011-03-06,60
2011-03-07,56
2011-03-08,45
2011-03-09,45
2011-03-10,50
2011-03-11,59
2011-03-12,73
2011-03-13,55
2011-03-14,78
2011-03-15,71
2011-03-16,40
2011-03-17,39
2011-03-18,43
2011-03-19,300
2011-03-20,194
2011-03-21,164
2011-03-22,49
2011-03-23,48
2011-03-24,57
2011-03-25,51
2011-03-26,46
2011-03-27,41
2011-03-28,53
2011-03-29,65
2011-03-30,87
2011-03-31,132
2011-04-01,91
2011-04-02,96
2011-04-03,90
2011-04-04,73
2011-04-05,62
2011-04-06,60
2011-04-07,20
2011-04-08,46
2011-04-09,78
2011-04-10,102
2011-04-11,76
2011-04-12,68
2011-04-13,74
2011-04-14,72
2011-04-15,58
2011-04-16,76
2011-04-17,70
2011-04-18,30
2011-04-19,41
2011-04-20,75
2011-04-21,59
2011-04-22,25
2011-04-23,40
2011-04-24,47
2011-04-25,50
2011-04-26,22
2011-04-27,28
2011-04-28,24
2011-04-29,49
2011-04-30,41
2011-05-01,183
2011-05-02,297
2011-05-03,224
2011-05-04,66
2011-05-05,66
2011-05-06,59
2011-05-07,52
2011-05-08,67
2011-05-09,48
2011-05-10,23
2011-05-11,10
2011-05-12,94
2011-05-13,110
2011-05-14,93
2011-05-15,101
2011-05-16,75
2011-05-17,43
2011-05-18,54
2011-05-19,45
2011-05-20,25
2011-05-21,32
2011-05-22,29
2011-05-23,55
2011-05-24,79
2011-05-25,87
2011-05-26,51
2011-05-27,38
2011-05-28,56
2011-05-29,57
2011-05-30,73
2011-05-31,49
2011-06-01,37
2011-06-02,108
2011-06-03,74
