미세먼지(㎍/㎥),측정일자
32,2021-01-01
41,2021-01-02
47,2021-01-03
46,2021-01-04
34,2021-01-05
32,2021-01-06
48,2021-01-07
30,2021-01-08
35,2021-01-09
44,2021-01-10
49,2021-01-11
62,2021-01-12
105,2021-01-13
92,2021-01-14
75,2021-01-15
60,2021-01-16
24,2021-01-17
33,2021-01-18
35,2021-01-19
56,2021-01-20
46,2021-01-21
29,2021-01-22
10,2021-01-23
11,2021-01-24
20,2021-01-25
34,2021-01-26
39,2021-01-27
36,2021-01-28
0,2021-01-29
0,2021-01-30
0,2021-01-31
98,2021-02-01
58,2021-02-02
30,2021-02-03
24,2021-02-04
23,2021-02-05
53,2021-02-06
72,2021-02-07
26,2021-02-08
21,2021-02-09
30,2021-02-10
53,2021-02-11
67,2021-02-12
78,2021-02-13
81,2021-02-14
51,2021-02-15
21,2021-02-16
39,2021-02-17
40,2021-02-18
40,2021-02-19
59,2021-02-20
66,2021-02-21
51,2021-02-22
50,2021-02-23
44,2021-02-24
47,2021-02-25
31,2021-02-26
16,2021-02-27
21,2021-02-28
13,2021-03-01
8,2021-03-02
30,2021-03-03
36,2021-03-04
32,2021-03-05
25,2021-03-06
19,2021-03-07
36,2021-03-08
40,2021-03-09
74,2021-03-10
101,2021-03-11
59,2021-03-12
48,2021-03-13
65,2021-03-14
68,2021-03-15
65,2021-03-16
86,2021-03-17
87,2021-03-18
64,2021-03-19
25,2021-03-20
40,2021-03-21
37,2021-03-22
70,2021-03-23
53,2021-03-24
56,2021-03-25
83,2021-03-26
55,2021-03-27
15,2021-03-28
289,2021-03-29
143,2021-03-30
36,2021-03-31
40,2021-04-01
44,2021-04-02
29,2021-04-03
7,2021-04-04
19,2021-04-05
35,2021-04-06
46,2021-04-07
31,2021-04-08
31,2021-04-09
31,2021-04-10
40,2021-04-11
33,2021-04-12
13,2021-04-13
25,2021-04-14
40,2021-04-15
71,2021-04-16
81,2021-04-17
30,2021-04-18
43,2021-04-19
59,2021-04-20
70,2021-04-21
71,2021-04-22
41,2021-04-23
21,2021-04-24
23,2021-04-25
26,2021-04-26
27,2021-04-27
58,2021-04-28
63,2021-04-29
34,2021-04-30
23,2021-05-01
14,2021-05-02
29,2021-05-03
24,2021-05-04
42,2021-05-05
66,2021-05-06
325,2021-05-07
479,2021-05-08
52,2021-05-09
20,2021-05-10
18,2021-05-11
20,2021-05-12
41,2021-05-13
47,2021-05-14
42,2021-05-15
5,2021-05-16
7,2021-05-17
25,2021-05-18
30,2021-05-19
22,2021-05-20
11,2021-05-21
23,2021-05-22
29,2021-05-23
110,2021-05-24
102,2021-05-25
43,2021-05-26
38,2021-05-27
33,2021-05-28
20,2021-05-29
23,2021-05-30
31,2021-05-31
35,2021-06-01
46,2021-06-02
30,2021-06-03
25,2021-06-04
42,2021-06-05
59,2021-06-06
33,2021-06-07
39,2021-06-08
39,2021-06-09
51,2021-06-10
21,2021-06-11
21,2021-06-12
31,2021-06-13
37,2021-06-14
24,2021-06-15
9,2021-06-16
15,2021-06-17
15,2021-06-18
39,2021-06-19
45,2021-06-20
38,2021-06-21
21,2021-06-22
18,2021-06-23
30,2021-06-24
37,2021-06-25
20,2021-06-26
18,2021-06-27
25,2021-06-28
30,2021-06-29
34,2021-06-30
35,2021-07-01
26,2021-07-02
12,2021-07-03
7,2021-07-04
19,2021-07-05
40,2021-07-06
26,2021-07-07
23,2021-07-08
17,2021-07-09
24,2021-07-10
29,2021-07-11
29,2021-07-12
31,2021-07-13
23,2021-07-14
19,2021-07-15
18,2021-07-16
15,2021-07-17
12,2021-07-18
13,2021-07-19
19,2021-07-20
20,2021-07-21
22,2021-07-22
26,2021-07-23
27,2021-07-24
