측정일자,측정소명,미세먼지(㎍/㎥)
20100215,서대문구,0
20100703,양천구,0
20100730,강동구,0
20100731,강동구,0
20100801,강동구,0
20100802,강동구,0
20100803,강동구,0
20101008,서대문구,0
20101110,강북구,0
20101110,강서구,0
20101111,강북구,0
20101217,종로구,0
20101218,종로구,0
20101219,종로구,0
20101220,종로구,0
20101221,종로구,0
20101222,종로구,0
20101223,종로구,0
20101224,종로구,0
20101225,종로구,0
20101226,종로구,0
20101226,동작구,0
20101227,종로구,0
20101228,종로구,0
20101229,종로구,0
20101230,종로구,0
20110114,성동구,0
20110115,성동구,0
20110116,성동구,0
20110504,동대문구,0
20110705,양천구,0
20110728,용산구,0
20111020,성동구,0
20120126,강남구,0
20120912,금천구,0
20121021,동작구,0
20121111,노원구,0
20121225,종로구,0
20130106,종로구,0
20130118,노원구,0
20130119,노원구,0
20130120,노원구,0
20130121,노원구,0
20130122,노원구,0
20130123,노원구,0
20130124,노원구,0
20130125,노원구,0
20130126,노원구,0
20130127,노원구,0
20130128,노원구,0
20130129,노원구,0
20130130,노원구,0
20130131,노원구,0
20130818,중랑구,0
20130819,중랑구,0
20130820,중랑구,0
20130824,영등포구,0
20130825,영등포구,0
20131110,서대문구,0
20140604,동작구,0
20140605,동작구,0
20141031,성동구,0
20141101,성동구,0
20141202,성북구,0
20141202,은평구,0
20141202,광진구,0
20141203,광진구,0
20141203,은평구,0
20141203,동작구,0
20141203,노원구,0
20141203,성북구,0
20141204,성북구,0
20141204,광진구,0
20141204,동작구,0
20141204,노원구,0
20141204,은평구,0
20141205,동작구,0
20141205,성북구,0
20141205,광진구,0
20141205,노원구,0
20141205,은평구,0
20141206,성북구,0
20141206,광진구,0
20141206,노원구,0
20141206,동작구,0
20141206,은평구,0
20141207,광진구,0
20141207,은평구,0
20141207,노원구,0
20141207,동작구,0
20141207,성북구,0
20141208,성북구,0
20141208,은평구,0
20141208,광진구,0
20141208,노원구,0
20141208,동작구,0
20141209,광진구,0
20141209,성북구,0
20141209,은평구,0
20141209,동작구,0
20141209,노원구,0
20141210,노원구,0
20141210,은평구,0
20141210,동작구,0
20141210,성북구,0
20141210,광진구,0
20141210,용산구,0
20141211,성북구,0
20141211,은평구,0
20141211,노원구,0
20141211,동작구,0
20141211,광진구,0
20141212,은평구,0
20141212,성북구,0
20141212,노원구,0
20141212,광진구,0
20141212,동작구,0
20141213,성북구,0
20141213,광진구,0
20141213,동작구,0
20141213,노원구,0
20141213,은평구,0
20141214,성북구,0
20141214,노원구,0
20141214,은평구,0
20141214,동작구,0
20141214,광진구,0
20141215,성북구,0
20141215,은평구,0
20141215,광진구,0
20141215,노원구,0
20141215,동작구,0
20141216,노원구,0
20141216,은평구,0
20141216,동작구,0
20141216,성북구,0
20141216,광진구,0
