"측정일시","측정소명","이산화질소농도(ppm)","오존농도(ppm)","일산화탄소농도(ppm)","아황산가스(ppm)","미세먼지(㎍/㎥)","초미세먼지(㎍/㎥)"
"20210801","강남구","0.012","0.034","0.4","0.003","25","17"
"20210801","강남대로","0.018","0.022","0.5","0.002","23","13"
"20210801","강동구","0.011","0.027","0.3","0.002","22","16"
"20210801","강변북로","0.014","0.031","0.6","0.003","19","11"
"20210801","강북구","0.006","0.039","0.3","0.003","27","20"
"20210801","강서구","0.008","0.044","0.3","0.002","26","19"
"20210801","공항대로","0.017","0.044","0.4","0.002","30","20"
"20210801","관악구","0.009","0.048","0.4","0.003","28","20"
"20210801","관악산","0.008","0.049","0.5","0.003","31","23"
"20210801","광진구","0.009","0.037","0.4","0.003","23","14"
"20210801","구로구","0.009","0.05","0.4","0.003","21","9"
"20210801","궁동","0.013","0.035","0.4","0.003","35","20"
"20210801","금천구","0.012","0.038","0.4","0.003","28","21"
"20210801","남산","0.007","0.046","0.2","0.002","22","15"
"20210801","노원구","0.011","0.032","0.4","0.002","24","18"
"20210801","도봉구","0.005","0.04","0.3","0.003","25","13"
"20210801","도산대로","0.015","0.042","0.5","0.002","27","14"
"20210801","동대문구","0.011","0.041","0.4","0.003","25","18"
"20210801","동작구","0.012","0.034","0.4","0.003","32","19"
"20210801","동작대로","0.025","0.036","0.5","0.003","28","19"
"20210801","마포구","0.009","0.049","0.4","0.003","27","18"
"20210801","마포아트센터","0.005","0.061","0.5","0.002","21","17"
"20210801","북한산","0.005","0.033","0.4","0.002","21","15"
"20210801","서대문구","0.006","0.041","0.5","0.003","19","17"
"20210801","서울숲","0.01","0.033","0.5","0.002","21","11"
"20210801","서초구","0.013","0.044","0.6","0.003","24","15"
"20210801","성동구","0.014","0.041","0.5","0.003","24","19"
"20210801","성북구","0.011","0.041","0.5","0.003","26","13"
"20210801","세곡","0.015","0.023","0.7","0.003","27","14"
"20210801","송파구","0.014","0.035","0.4","0.002","29","20"
"20210801","시흥대로","0.025","0.036","0.5","0.003","34","24"
"20210801","신촌로","0.016","0.022","0.5","0.003","30","19"
"20210801","양천구","0.008","0.049","0.4","0.003","29","20"
"20210801","영등포구","0.01","0.055","0.5","0.003","26","21"
"20210801","영등포로","0.017","0.045","0.5","0.003","28","21"
"20210801","올림픽공원","0.01","0.032","0.5","0.002","17","11"
"20210801","용산구","0.014","0.028","0.3","0.003","26","19"
"20210801","은평구","0.008","0.038","0.4","0.003","24","15"
"20210801","자연사박물관","0.008","0.056","0.5","0.003","22","12"
"20210801","정릉로","0.017","0.038","0.4","0.002","27","20"
"20210801","종로","0.009","0.036","0.4","0.003","25","20"
"20210801","종로구","0.01","0.043","0.4","0.003","24","19"
"20210801","중구","0.01","0.039","0.4","0.003","30","21"
"20210801","중랑구","0.01","0.04","0.3","0.003","25","16"
"20210801","천호대로","0.02","0.027","0.4","0.003","25","17"
"20210801","청계천로","0.013","0.043","0.4","0.003","29","21"
"20210801","한강대로","0.014","0.029","0.5","0.004","30","22"
