일시,경기_수원시_kbs수원센터(kbs수원아트홀),경기_수원시_수원sk아트리움,경기_수원시_수원광교박물관,경기_수원시_수원박물관,경기_수원시_수원시립아이파크미술관,경기_수원시_수원월드컵경기장(축구박물관),경기_수원시_수원종합운동장(수원국민체육센터),경기_수원시_수원화성박물관,경기_수원시_해우재,경기_수원시_화성,경기_수원시_화성행궁(낙남헌),경기_성남시_남서울컨트리클럽,경기_성남시_성남가족캠핑숲,경기_성남시_성남아트센터,경기_성남시_신구대학교 식물원,경기_성남시_판교박물관,경기_성남시_한국잡월드,경기_안양시_김중업박물관,경기_부천시_웅진플레이도시- 골프연습장,경기_부천시_웅진플레이도시-워터파크&스파,경기_부천시_한국만화박물관,경기_광명시_광명도덕산캠핑장,경기_광명시_광명동굴,경기_광명시_광명스피돔,경기_동두천시_소요산관광지(자재암),경기_동두천시_자유수호평화박물관,경기_안산시_경기도미술관,경기_안산시_대부해솔길(구봉도공영주차장),경기_안산시_대부해솔길(종현어촌마을입구),경기_안산시_베르아델승마클럽,경기_안산시_성호기념관,경기_안산시_세종도예원,경기_안산시_수리산입구,경기_안산시_아일랜드리조트,경기_안산시_안산어촌민속박물관,경기_안산시_유리섬,경기_안산시_종이미술관,경기_고양시_123컨트리클럽,경기_고양시_KINTEX(한국국제전시장),경기_고양시_고양아람누리,경기_고양시_고양어린이박물관,경기_고양시_고양어울림누리,경기_고양시_고양원마운트,경기_고양시_고양종합운동장,경기_고양시_고양체육관,경기_고양시_뉴코리아컨트리클럽,경기_고양시_배다골테마파크,경기_고양시_서오릉,경기_고양시_아쿠아플라넷 일산,경기_고양시_중남미문화원,경기_고양시_쥬쥬테마동물원,경기_고양시_증권박물관,경기_고양시_한양컨트리클럽,경기_고양시_항공우주박물관,경기_고양시_행주산성,경기_과천시_경마공원,경기_과천시_국립과천과학관,경기_과천시_국립현대미술관 과천관,경기_과천시_서울랜드,경기_구리시_구리시 고구려 대장간마을,경기_구리시_동구릉,경기_남양주시_광릉,경기_남양주시_남양주유기농테마파크(남양주유기농박물관),경기_남양주시_모란미술관,경기_남양주시_몽골문화촌,경기_남양주시_서호미술관,경기_남양주시_양주컨트리클럽,경기_남양주시_우석헌자연사박물관,경기_남양주시_축령산자연휴양림,경기_남양주시_홍유릉,경기_오산시_경기도립 물향기수목원,경기_의왕시_바라산자연휴양림,경기_용인시_경기도 어린이 박물관,경기_용인시_골드컨트리클럽,경기_용인시_국가보훈처 88골프장,경기_용인시_글렌로스 골프클럽,경기_용인시_농도원목장,경기_용인시_레이크사이드컨트리클럽,경기_용인시_백남준 아트센터,경기_용인시_수원컨트리클럽,경기_용인시_아시아나컨트리클럽,경기_용인시_에버랜드,경기_용인시_용인 대장금 파크,경기_용인시_용인 자연휴양림,경기_용인시_용인농촌테마파크,경기_용인시_용인시박물관,경기_용인시_용인컨트리클럽,경기_용인시_은화삼컨트리클럽,경기_용인시_이영미술관,경기_용인시_캐리비안베이(워터파크),경기_용인시_코리아컨트리클럽,경기_용인시_태광컨트리클럽,경기_용인시_한국등잔박물관,경기_용인시_한국민속촌,경기_용인시_한성컨트리클럽,경기_용인시_한택식물원,경기_용인시_한화호텔앤드리조트(플라자CC),경기_용인시_호박등불마을,경기_용인시_호암미술관,경기_파주시_공릉관광지(하니랜드),경기_파주시_두루뫼박물관,경기_파주시_벽초지수목원,경기_파주시_산머루농원,경기_파주시_서서울컨트리클럽,경기_파주시_서원밸리골프클럽,경기_파주시_소울원,경기_파주시_쇠꼴마을,경기_파주시_영집궁시박물관,경기_파주시_임진각관광지,경기_파주시_통일전망대,경기_파주시_파주삼릉,경기_파주시_파주영어마을,경기_파주시_파주임실치즈스쿨,경기_파주시_헤이리예술마을,경기_파주시_황희선생유적지,경기_이천시_비에이비스타컨트리클럽,경기_이천시_이천시립월전미술관,경기_이천시_자연나라관광농원,경기_이천시_호텔미란다(이천스파플러스),경기_안성시_과채류마을,경기_안성시_구메농사마을,경기_안성시_꽃뫼마을,경기_안성시_너리굴문화마을,경기_안성시_미리내마을,경기_안성시_미리내성지,경기_안성시_서일농원,경기_안성시_선비마을,경기_안성시_신안컨트리클럽,경기_안성시_안성3.1운동기념관,경기_안성시_안성맞춤 천문과학관,경기_안성시_안성맞춤공예문화센터,경기_안성시_안성맞춤박물관,경기_안성시_안성맞춤캠핑장,경기_안성시_안성베네스트G.C.,경기_안성시_안성팜랜드,경기_안성시_안성허브마을,경기_안성시_용설호문화마을,경기_안성시_이경순소리박물관,경기_안성시_인처골마을,경기_안성시_조병화문학관,경기_안성시_청룡사,경기_안성시_칠장사,경기_안성시_파인크리크컨트리클럽,경기_안성시_풍산개마을,경기_안성시_향토사료관,경기_김포시_김포시사이드컨트리클럽,경기_김포시_김포청소년수련원,경기_김포시_김포함상공원,경기_김포시_다도박물관,경기_김포시_덕포진교육박물관,경기_김포시_아라뱃길김포터미널(유람선승선객),경기_김포시_약암관광호텔(입욕객),경기_김포시_장릉,경기_김포시_태산패밀리파크(체험프로그램),경기_화성시_우리꽃식물원,경기_화성시_융건릉,경기_화성시_향토박물관,경기_광주시_경기도자박물관,경기_광주시_남한산성 행궁,경기_광주시_일본군위안부역사관,경기_양주시_(재)송암스페이스센터,경기_양주시_국립아세안자연휴양림,경기_양주시_북한산국립공원,경기_양주시_양주시립장욱진미술관,경기_양주시_조명박물관,경기_양주시_회암사지박물관,경기_포천시_국립수목원,경기_포천시_비둘기낭캠핑장,경기_포천시_신북리조트 스프링폴,경기_포천시_어메이징파크,경기_포천시_포천아도니스컨트리클럽,경기_포천시_포천아트밸리,경기_포천시_포천한과박물관(한가원),경기_포천시_허브아일랜드,경기_여주시_강천보,경기_여주시_금은모래캠핑장,경기_여주시_명성황후생가,경기_여주시_목아불교박물관,경기_여주시_신륵사,경기_여주시_여주박물관,경기_여주시_여주시립폰박물관,경기_여주시_여주온천,경기_여주시_영릉(세종대왕),경기_여주시_이포보,경기_여주시_이포보오토캠핑장,경기_여주시_황학산수목원,경기_연천군_나룻배마을,경기_연천군_땅에미소,경기_연천군_수레울아트홀,경기_연천군_숭의전지,경기_연천군_신라경순왕릉,경기_연천군_재인폭포,경기_연천군_조선왕가,경기_연천군_한탄강관광지 오토캠핑장,경기_가평군_가평레일파크,경기_가평군_강씨봉자연휴양림,경기_가평군_고성청소년수련원(쁘띠프랑스),경기_가평군_남송미술관,경기_가평군_농촌체험마을,경기_가평군_대원사템플스테이,경기_가평군_백련사 템플스테이,경기_가평군_산장관광지,경기_가평군_서울학생교육원,경기_가평군_아침고요원예수목원,경기_가평군_연인산캠핑장,경기_가평군_유명산자연휴양림,경기_가평군_이화원,경기_가평군_자라섬캠핑장,경기_가평군_취옹예술관,경기_가평군_칼봉산자연휴양림,경기_가평군_크리스탈밸리컨트리클럽,경기_가평군_한화인재경영원,경기_양평군_곤충박물관,경기_양평군_국립산음자연휴양림,경기_양평군_국립중미산자연휴양림,경기_양평군_군립미술관,경기_양평군_농업박물관,경기_양평군_두물머리,경기_양평군_들꽃수목원,경기_양평군_몽양기념관,경기_양평군_민물고기생태학습관,경기_양평군_세미원,경기_양평군_소나기마을,경기_양평군_양평레일바이크,경기_양평군_용문산관광지,경기_양평군_지평의병 지평리전투기념관,경기_양평군_화서기념관
2011년 01월,,,,,,,,,,7632,5626,0,,,,,,,12455,57833,20406,,,,4569,,,,,,,,,,,,,597,187866,18539,,14631,,,,265,,10975,,2011,2249,2531,0,2144,10006,213156,100603,96839,110182,1665,4806,1183,,301,1874,856,0,4898,6340,1360,,,,273,169,0,,297,14491,0,0,205260,,,941,,0,0,,50760,74,532,497,50685,214,565,206,,4008,14506,197,1030,879,247,201,,4640,129,58534,16701,398,6191,2320,40991,1688,334,760,,,,,,3200,600,,,,0,4250,,,4205,,0,,10350,,,,,,,0,,,0,,,,,,22681,2388,,,5704,,,,,,,3348,8475,,,2485,,,,0,4950,2680,4300,,,,,,,,,,,,,,,,,,0,,,,,20475,,703,,223,118,,34000,770,8087,6472,5196,,2904,0,,,,,,,,,,,,,,,,
2011년 02월,,,,,,,,,,4426,10416,1908,,,,,,,22175,55161,14556,,,,7721,,,,,,,,,,,,,3830,299700,16035,,6446,,,,1724,,19499,,2285,10798,1089,4440,2160,11583,175873,70412,118494,106947,2153,8300,3304,,295,2850,883,1596,4479,10269,1263,,,,4754,3470,530,,4049,13338,3889,3255,327820,,,1084,,1074,635,,57989,3340,4891,543,67037,2630,1418,4378,,4326,8413,262,1408,1250,2907,6173,,840,559,106871,18393,906,6952,1554,61715,2715,2613,757,,,,,,4167,800,,,,2210,5001,,,4325,,1845,,10251,,,,,,,225,,,2653,,,,,,20206,4919,,,10432,,,,,,,3045,7260,,,4815,,,,1574,9752,2400,61000,,,,,,,,,,,,,,,,,,0,,,,,26750,,671,,370,238,,60000,1708,15717,9792,5416,,1158,708,,,,,,,,,,,,,,,,
2011년 03월,,,,,,,,,,17991,13244,5110,,,,,,,30226,32626,9159,,,,10383,,,,,,,,,,,,,6333,131143,22446,,6318,,,,6426,,26447,,2799,19892,587,12235,4300,16220,253526,57710,45763,138632,3042,11547,4646,,462,4119,848,6546,4095,15827,2697,,,,11811,12594,2940,,17504,15046,11321,9906,323110,,,3023,,5634,5458,,1952,7163,13379,1332,47167,9248,3608,14407,,9507,4390,350,5220,1500,7267,12000,,732,334,115544,19682,1228,6422,1981,100291,4708,13188,781,,,,,,5801,800,,,,9790,5201,,,5325,,6805,,14951,,,,,,,4346,,,7685,,,,,,16466,6239,,,11876,,,,,,,4113,8389,,,1368,,,,6481,9881,1960,63000,,,,,,,,,,,,,,,,,,0,,,,,26746,,1031,,140,459,,32000,1637,20049,9517,5932,,1173,5190,,,,,,,,,,,,,,,,
2011년 04월,,,,,,,,,,33648,27223,6904,,,,,,,40111,47876,11098,,,,14293,,,,,,,,,,,,,7690,1070330,17943,,23421,,,,7864,,41370,,7111,54516,1538,15445,2401,22591,300079,133749,95076,150583,4541,21469,9476,,787,5009,1012,7612,7241,14569,8829,,,,14250,16318,6776,,23009,11625,12431,12146,669720,,,23984,,7725,6477,,782,9448,10673,2853,123992,10989,22128,15387,,53168,12427,635,12690,1076,8522,14758,,7570,705,159974,32317,3000,8436,3957,14606,7003,16863,1330,,,,,,18181,500,,,,11745,1482,,,1628,,15429,,25000,,,,,,,6310,,,8710,,,,,,13686,12722,,,30740,,,,,,,28942,30824,,,31223,,,,8074,15953,2020,56066,,,,,,,,,,,,,,,,,,0,,,,,32000,,935,,84,925,,91000,3164,18463,12145,9004,,1730,7317,,,,,,,,,,,,,,,,
2011년 05월,,,,,,,,,,37724,35447,6832,,,,,,,38642,54651,16006,,,,13874,,,,,,,,,,,,,9395,222946,32854,,20515,,,,9062,14537,51104,,6895,68368,2833,16833,3807,17400,297218,146374,95121,262338,4481,35390,17065,,668,9886,1027,9131,8514,51500,13148,,,,18343,18625,8104,,28172,26399,16233,15234,861267,,,169782,,9577,8379,,37742,12608,12252,3634,122933,13604,40079,16947,,40048,21225,800,36720,1305,10334,18276,,9140,799,353394,45305,6332,19056,8742,103898,9721,21487,1686,,,,,,18440,556,,,,15291,1842,,,1543,,18743,,25000,,,,,,,7706,,,10058,,,,,,14150,16466,,,42620,,,,,,,34982,51218,,,56319,,,,12336,29424,2950,78874,,,,,,,,,,,,,,,,,,15900,,,,,56112,,1133,,149,3700,,154000,6311,20388,14849,14500,,2560,8841,,,,,,,,,,,,,,,,
2011년 06월,,,,,,,,,,18065,20144,7276,,,,,,,37605,92303,9894,,,,9276,,,,,,,,,,,,,8111,178325,17865,,19560,,,,7846,12556,33889,,4945,41709,2605,15542,3113,11868,251088,73977,70135,117685,4008,24426,12124,,756,8228,1981,7890,20248,20200,13148,,,,16355,15816,6954,,24042,19783,13768,12588,534441,,,29037,,7216,6943,,158689,11141,11893,4079,52409,11246,13229,16402,,15254,7848,752,18815,1052,9379,16529,,2642,266,258311,33348,3885,8071,6637,33461,6811,18344,1078,,,,,,18565,600,,,,13417,1914,,,1332,,15856,,20000,,,,,,,6357,,,8987,,,,,,9919,13541,,,28292,,,,,,,28356,46643,,,42444,,,,11475,15994,2800,45133,,,,,,,,,,,,,,,,,,6460,,,,,41191,,753,,60,4527,,86000,2832,17778,8447,11432,,2146,7341,,,,,,,,,,,,,,,,
2011년 07월,,,,,,,,,,10659,15520,5738,,,,,,,36333,150943,17144,,,,4736,,,,,,,,,,,,,6618,190728,25574,,6051,,,,6817,5560,20910,,4403,21000,2014,13217,4111,27939,311506,92956,69840,75244,3123,7504,11204,,971,15365,1005,6350,14027,18881,4142,,,,17718,15546,5844,,20682,18637,11431,9957,355502,,,11216,,89735,5288,,405384,10804,15605,1164,34798,10493,5303,14822,,5449,5747,508,21999,2100,8822,15386,,4136,315,173267,23716,2090,12068,5148,42450,5433,16473,899,,,,,,6586,400,,,,10000,1334,,,755,,12220,,10000,,,,,,,5081,,,8199,,,,,,9394,7602,,,13430,,,,,,,20824,30630,,,28849,,,,9229,13749,2540,58500,,,,,,,,,,,,,,,,,,2919,,,,,41520,,1873,,198,5140,,58000,4710,30411,1927,10596,,3297,7227,,,,,,,,,,,,,,,,
2011년 08월,,,,,,,,,,16045,25310,5728,,,,,,,35415,152530,78616,,,,6917,,,,,,,,,,,,,8734,588658,29196,,12270,,,,6861,8402,27877,,5739,18000,2494,14170,3694,32523,305516,170700,105738,124034,4215,9784,13272,,1281,20838,800,3525,28387,26868,4129,,,,19680,17947,7255,,26985,19428,11193,9502,570946,,,15683,,43631,4151,,505595,13067,16343,1199,65806,11823,7554,16652,,8753,10063,1052,33478,2580,10412,17199,,6710,1258,220713,39720,3448,15858,5485,38982,7696,17923,1363,,,,,,5709,500,,,,12000,1765,,,1250,,15738,,15000,,,,,,,5154,,,9410,,,,,,10482,8952,,,21862,,,,,,,21866,49132,,,39979,,,,9545,21154,2770,67500,,,,,,,,,,,,,,,,,,2889,,,,,68541,,1985,,240,10157,,95000,6714,40936,1446,5252,,4036,8441,,,,,,,,,,,,,,,,
2011년 09월,,,,,,,,,,21002,24219,6766,,,,,,,36207,59137,11871,,,,13257,,,,,,,,,,,,,8277,155093,11831,,13409,,,,7952,10344,39527,,5690,32562,2047,15946,3399,18409,240830,70137,96142,102639,4806,11477,10245,,1834,9323,732,7400,10031,13541,5294,,,,17452,17936,7569,,24892,8313,14608,11528,518637,,,15642,,108854,6502,,126492,11245,19803,4244,116942,11729,7407,16303,,1457,8825,2095,33110,3200,10830,17077,,4962,1094,253707,35881,4206,11232,5009,48049,5568,17053,1158,,,,,,13201,550,,,,11900,1325,,,1071,,15123,,10000,,,,,,,6341,,,10184,,,,,,11509,14091,,,29853,,,,,,,35493,48258,,,36110,,,,10867,17787,2950,67500,,,,,,,,,,,,,,,,,,2058,,,,,28840,,2412,,103,2444,,52000,4378,22280,2525,14924,,2160,7821,,,,,,,,,,,,,,,,
2011년 10월,,,,,,,,,,41160,29740,7295,,,,,,,38130,48782,14918,,,,56232,,,,,,,,,,,,,8126,473439,16711,,22903,,,,8153,33760,46545,,8329,53052,1665,11320,4743,40024,311419,136007,125741,234148,6434,29814,19885,,3905,19366,1148,9001,15221,24626,9375,,,,18992,19477,7332,,24677,12125,15174,12739,910227,,,25272,,5494,9172,,16962,12856,21174,3022,167572,13343,15540,17669,,27725,12722,1522,50080,5390,11000,17643,,9788,1110,1377349,45245,7294,19166,13445,239574,8630,21078,1810,,,,,,23000,400,,,,11558,1656,,,854,,13592,,16000,,,,,,,8260,,,10798,,,,,,15483,18070,,,47495,,,,,,,45419,52965,,,68487,,,,11967,1776,4500,67751,,,,,,,,,,,,,,,,,,0,,,,,61805,,2463,,228,2192,,113000,3091,25487,3902,13352,,2212,7955,,,,,,,,,,,,,,,,
