예보시각,전체 도시 이름,시도,시군구,시군구코드,관광기후지수,관광기후지수등급
2021-06-20 00:00,서울 강남구,서울,강남구,1168000000,0.37,매우좋음
2021-06-19 00:00,서울 강남구,서울,강남구,1168000000,0.48,매우좋음
2021-06-18 00:00,서울 강남구,서울,강남구,1168000000,-0.16,보통
2021-06-17 00:00,서울 강남구,서울,강남구,1168000000,0.1,보통
2021-06-16 00:00,서울 강남구,서울,강남구,1168000000,0.29,좋음
2021-06-15 00:00,서울 강남구,서울,강남구,1168000000,-0.34,나쁨
2021-06-14 00:00,서울 강남구,서울,강남구,1168000000,0.23,좋음
2021-06-13 00:00,서울 강남구,서울,강남구,1168000000,0.23,좋음
2021-06-12 00:00,서울 강남구,서울,강남구,1168000000,0.36,매우좋음
2021-06-11 00:00,서울 강남구,서울,강남구,1168000000,0.01,보통
2021-06-10 00:00,서울 강남구,서울,강남구,1168000000,-0.04,보통
2021-06-09 00:00,서울 강남구,서울,강남구,1168000000,0.06,보통
2021-06-08 00:00,서울 강남구,서울,강남구,1168000000,0.19,좋음
2021-06-07 00:00,서울 강남구,서울,강남구,1168000000,0.05,보통
2021-06-06 00:00,서울 강남구,서울,강남구,1168000000,0.13,좋음
2021-06-05 00:00,서울 강남구,서울,강남구,1168000000,0.38,매우좋음
2021-06-04 00:00,서울 강남구,서울,강남구,1168000000,0.46,매우좋음
2021-06-03 00:00,서울 강남구,서울,강남구,1168000000,-0.36,나쁨
2021-06-02 00:00,서울 강남구,서울,강남구,1168000000,0.39,매우좋음
2021-06-01 00:00,서울 강남구,서울,강남구,1168000000,-0.16,보통
2021-05-31 00:00,서울 강남구,서울,강남구,1168000000,0.1,보통
2021-05-30 00:00,서울 강남구,서울,강남구,1168000000,0.5,매우좋음
2021-05-29 00:00,서울 강남구,서울,강남구,1168000000,-0.14,보통
2021-05-28 00:00,서울 강남구,서울,강남구,1168000000,-0.77,나쁨
2021-05-27 00:00,서울 강남구,서울,강남구,1168000000,-0.39,나쁨
