지점 번호,지점명,일시,평균 기온(°C),최저 기온(°C),최저 기온 시각(hhmi),최고 기온(°C),최고 기온 시각(hhmi),강수 계속시간(hr),10분 최다강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다강수량 시각(hhmi),일강수량(mm),최대 순간풍속(m/s),최대 순간풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다 풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),평균 상대습도 시각(hhmi),평균 상대습도(%),평균 중기압(hPa),평균 현지기압(hPa),최고 해면 기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다 일사 시각(hhmi),1시간 최다 일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(10분위),평균 중하층운량(10분위),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0cm 지중온도(°C),1.5cm 지중온도(°C),3.0cm 지중온도(°C),5.0cm 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),일기현상,안개 계속 시간(hr)
152,울산,2011-01-01,-1.4,-7.8,651,3.7,1430,,,,,,,13.3,320,1457,8.2,340,1445,3.6,3134,320,-11.2,40,1329,47.4,2.7,1013.2,1023.7,2343,1012.0,140,1017.6,9.8,5.2,,,,,,,,,4.5,2.8,-2.0,-8.3,,,,,,,,,,,,,,
152,울산,2011-01-02,1.8,-2.6,710,8.8,1511,,,,,,,7.2,20,1145,4.3,360,1154,1.7,1429,360,-6.8,38,1512,53.5,3.7,1019.5,1026.3,858,1022.0,2356,1023.8,9.8,8.2,,,,,,,,,1.3,1.3,1.0,-5.5,,,,,,,,,,,,,,
152,울산,2011-01-03,-1.0,-3.4,635,3.6,1055,,,,,12.83,10.5,9.0,360,1113,4.4,20,1122,1.2,1010,360,-4.4,52,913,79.3,4.6,1015.5,1022.0,0,1018.5,1428,1019.9,9.8,1.8,,,,12.5,2300,12.5,2300,12.5,6.9,5.4,-1.9,-6.0,,,,,,,,,,,,,{눈}1110-{눈}{강도0}1200-{눈}{강도1}1500-{눈}{강도0}1800-{눈}{강도0}2100-{진눈깨비}2310-{진눈깨비}{강도0}2400- {박무}1610-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도0}2400-,
152,울산,2011-01-04,-0.3,-3.3,2335,3.6,1435,,,,,0.67,0.0,9.6,290,1618,5.5,340,1317,2.3,1966,20,-5.1,47,1544,71.1,4.2,1015.0,1020.5,959,1018.2,129,1019.4,9.8,8.2,,,,0.1,40,12.5,40,0.1,4.0,3.1,-0.7,-4.1,,,,,,,,,,,,,-{진눈깨비}-{눈}0010-0040. -{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-0940.,
152,울산,2011-01-05,1.1,-3.3,13,5.9,1403,,,,,,,9.1,290,2312,5.2,290,2316,2.0,1740,270,-7.0,37,1407,55.9,3.6,1014.1,1020.3,2357,1015.6,1523,1018.5,9.8,5.1,,,,,,6.1,0,,6.0,2.6,-1.2,-4.3,,,,,,,,,,,,,,
152,울산,2011-01-06,-1.7,-4.1,2348,2.3,1519,,,,,,,12.6,320,1130,7.1,290,1136,3.4,2955,320,-11.5,37,1443,47.8,2.6,1018.0,1025.1,2358,1020.2,0,1022.4,9.9,9.3,,,,,,4.9,0,,0.8,0.0,-2.1,-6.2,,,,,,,,,,,,,,
152,울산,2011-01-07,-2.7,-7.7,700,3.0,1327,,,,,,,11.6,290,1541,7.2,340,1600,2.6,2239,20,-14.4,26,1534,41.6,2.0,1020.8,1027.1,906,1023.9,1419,1025.3,9.9,9.2,,,,,,2.6,0,,0.0,0.0,-2.8,-9.5,,,,,,,,,,,,,,
152,울산,2011-01-08,-0.6,-6.7,744,6.4,1547,,,,,,,8.9,360,1139,5.2,360,1146,1.6,1401,290,-11.7,24,1216,44.1,2.6,1018.9,1025.8,410,1021.2,2359,1023.3,9.9,9.4,,,,,,1.5,0,,0.3,0.3,-0.7,-9.5,,,,,,,,,,,,,,
152,울산,2011-01-09,-1.2,-5.2,2348,3.5,1255,,,,,,,13.2,320,1939,7.2,320,1339,2.7,2302,320,-11.7,25,1448,48.5,2.7,1017.3,1024.5,2217,1018.9,1305,1021.7,9.9,7.0,,,,,,0.5,0,,3.6,1.9,-0.8,-7.1,,,,,,,,,,,,,{연무}0940-1120.,
152,울산,2011-01-10,-3.7,-8.9,729,2.6,1445,,,,,,,8.6,290,1227,5.0,290,1305,1.9,1616,20,-16.9,20,1429,36.6,1.6,1018.3,1025.2,807,1020.7,2314,1022.8,9.9,9.4,,,,,,,,,0.0,0.0,-1.9,-9.9,,,,,,,,,,,,,,
152,울산,2011-01-11,-1.6,-7.3,700,4.3,1327,,,,,,,9.9,290,1414,5.9,320,1419,1.7,1451,320,-12.5,31,1024,44.0,2.4,1012.0,1021.1,45,1013.4,1419,1016.4,10.0,8.3,,,,,,,,,2.6,0.0,-1.1,-9.2,,,,,,,,,,,,,,
152,울산,2011-01-12,-2.3,-5.0,2337,0.8,1523,,,,,,,13.1,290,1303,6.9,340,1412,3.3,2866,320,-16.3,20,1531,34.8,1.8,1015.2,1023.0,2257,1014.6,35,1019.6,10.0,9.4,,,,,,,,,0.8,0.8,-1.2,-6.6,,,,,,,,,,,,,,
152,울산,2011-01-13,-1.9,-6.7,723,4.0,1459,,,,,,,11.1,320,553,6.5,320,555,2.6,2276,340,-16.2,23,1432,33.3,1.7,1020.3,1026.5,2315,1022.6,1359,1024.7,10.0,9.5,,,,,,,,,1.1,0.0,-1.3,-8.6,,,,,,,,,,,,,,
152,울산,2011-01-14,0.2,-6.4,539,6.3,1327,,,,,,,12.0,340,1352,5.9,320,1354,1.7,1480,340,-10.2,31,1237,46.0,2.9,1020.2,1027.1,209,1022.3,1445,1024.6,10.0,7.4,,,,,,,,,3.6,0.4,-0.5,-9.0,,,,,,,,,,,,,,
152,울산,2011-01-15,-5.0,-12.1,2400,1.4,5,,,,,,,20.0,320,1347,10.6,290,1425,4.7,4050,320,-19.4,19,1201,32.0,1.4,1017.0,1023.3,0,1019.1,1552,1021.5,10.0,6.2,,,,,,,,,3.1,0.0,-2.7,-12.4,,,,,,,,,,,,,,
152,울산,2011-01-16,-7.6,-13.5,513,-2.2,1455,,,,,,,15.7,290,1408,7.9,290,1542,4.8,4149,320,-21.0,23,1457,34.3,1.2,1017.7,1025.2,2357,1019.4,1408,1022.3,10.0,9.6,,,,,,,,,0.0,0.0,-5.2,-13.6,,,,,,,,,,,,,,
152,울산,2011-01-17,-3.4,-10.0,439,2.0,1442,,,,,,,16.8,320,1048,9.7,290,1106,4.6,3964,360,-19.2,17,1446,30.4,1.4,1022.1,1027.9,853,1024.9,1419,1026.6,10.1,9.6,,,,,,,,,1.1,0.0,-2.1,-11.0,,,,,,,,,,,,,{달무리}1820-2350.,
152,울산,2011-01-18,-1.1,-4.8,533,3.6,1427,,,,,,,12.0,290,1148,6.6,340,1028,3.2,2739,320,-13.2,28,0,39.8,2.3,1022.3,1028.2,954,1024.9,1340,1026.7,10.1,7.7,,,,,,,,,2.5,0.3,-0.7,-7.5,,,,,,,,,,,,,,
152,울산,2011-01-19,-1.3,-5.4,731,4.5,1446,,,,,,,10.1,320,1201,5.7,290,1152,2.2,1943,320,-12.4,24,1615,43.8,2.4,1021.2,1027.9,741,1023.1,1427,1025.7,10.1,8.5,,,,,,,,,0.3,0.0,-1.2,-8.5,,,,,,,,,,,,,,
152,울산,2011-01-20,-2.0,-4.7,733,2.9,1536,,,,,,,10.5,340,1114,6.4,320,1122,2.8,2425,290,-14.1,25,1515,40.6,2.1,1019.2,1025.5,0,1021.4,1438,1023.7,10.1,2.8,,,,,,,,,3.5,0.0,-1.9,-6.6,,,,,,,,,,,,,,
152,울산,2011-01-21,-1.7,-6.4,742,4.4,1450,,,,,,,13.0,320,2223,7.7,340,2230,2.9,2491,340,-16.3,20,1300,32.5,1.7,1018.4,1024.4,253,1020.2,1512,1022.9,10.1,7.6,,,,,,,,,2.9,0.0,-2.1,-8.0,,,,,,,,,,,,,{햇무리}1330-1420.,
152,울산,2011-01-22,-0.3,-5.3,522,6.1,1615,,,,,,,13.2,290,246,7.5,320,251,2.6,2208,360,-12.0,30,1538,41.3,2.5,1020.8,1026.4,2347,1023.6,1405,1025.3,10.2,8.6,,,,,,,,,0.4,0.0,-0.6,-7.6,,,,,,,,,,,,,,
152,울산,2011-01-23,1.5,-2.5,603,6.1,1355,,,,,,,8.7,250,1933,5.5,250,1936,1.9,1605,20,-11.2,26,1716,39.0,2.7,1019.7,1027.8,637,1020.6,2226,1024.0,10.2,0.5,,,,,,,,,7.8,0.0,0.5,-3.6,,,,,,,,,,,,,{달무리}0150-0240.,
152,울산,2011-01-24,-2.1,-5.6,2349,1.5,0,,,,,,,13.1,290,1056,7.5,290,1104,4.2,3631,320,-12.3,33,1422,45.8,2.4,1019.2,1026.6,2358,1020.6,24,1023.7,10.2,9.6,,,,,,,,,0.9,0.9,-0.4,-6.9,,,,,,,,,,,,,,
152,울산,2011-01-25,-2.9,-7.7,600,3.5,1425,,,,,,,13.1,340,2124,7.0,340,2044,3.2,2807,20,-14.2,27,1426,42.8,2.1,1023.6,1029.5,2306,1025.8,1443,1028.1,10.2,7.4,,,,,,,,,1.4,0.0,-1.6,-9.3,,,,,,,,,,,,,,
152,울산,2011-01-26,-2.7,-6.2,555,2.2,1555,,,,,,,11.5,290,1321,6.0,320,1328,3.0,2593,340,-14.8,26,1559,39.8,1.9,1027.3,1033.0,829,1029.3,23,1031.7,10.3,9.2,,,,,,,,,0.0,0.0,-1.2,-8.4,,,,,,,,,,,,,,
152,울산,2011-01-27,-2.7,-5.9,400,1.4,1544,,,,,,,15.0,340,858,8.5,340,854,3.8,3325,320,-18.2,21,1430,30.3,1.5,1028.9,1035.1,850,1031.7,52,1033.4,10.3,6.4,,,,,,,,,6.3,0.0,-2.1,-7.3,,,,,,,,,,,,,,
152,울산,2011-01-28,-1.4,-5.4,738,5.2,1514,,,,,,,8.4,50,1557,4.9,50,1559,2.1,1812,20,-18.3,13,1351,27.3,1.5,1024.8,1033.5,0,1026.1,2348,1029.3,10.3,7.9,,,,,,,,,5.8,0.0,0.6,-6.0,,,,,,,,,,,,,,
152,울산,2011-01-29,-3.6,-6.0,2354,0.2,1354,,,,,,,15.1,270,1802,8.3,340,646,4.2,3592,340,-19.7,18,137,28.1,1.3,1021.3,1027.0,840,1023.8,1550,1025.8,10.4,9.1,,,,,,,,,1.0,0.6,-1.8,-7.5,,,,,,,,,,,,,,
152,울산,2011-01-30,-4.9,-7.3,615,-1.9,1517,,,,,,,20.2,320,1330,9.5,290,1433,4.7,4066,290,-18.9,21,1331,33.6,1.4,1021.6,1028.2,1016,1024.4,1720,1026.0,10.4,9.8,,,,,,,,,0.0,0.0,-3.3,-9.0,,,,,,,,,,,,,,
152,울산,2011-01-31,-2.1,-7.3,716,2.9,1540,,,,,,,14.6,290,1231,7.7,290,1251,3.6,3109,290,-15.5,23,1051,36.4,1.9,1019.9,1026.6,829,1022.3,2340,1024.3,10.4,9.8,,,,,,,,,0.0,0.0,-1.5,-10.0,,,,,,,,,,,,,,
152,울산,2011-02-01,2.9,-1.8,556,10.4,1542,,,,,,,9.8,360,911,6.7,360,916,2.2,1890,360,-7.9,27,1351,45.9,3.4,1018.7,1024.7,953,1021.5,1437,1023.0,10.5,8.7,,,,,,,,,3.5,0.0,2.1,-4.9,,,,,,,,,,,,,,
