지점 번호,지점명,일시,평균 기온(°C),최저 기온(°C),최저 기온 시각(hhmi),최고 기온(°C),최고 기온 시각(hhmi),강수 계속시간(hr),10분 최다강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다강수량 시각(hhmi),일강수량(mm),최대 순간풍속(m/s),최대 순간풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다 풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),평균 상대습도 시각(hhmi),평균 상대습도(%),평균 중기압(hPa),평균 현지기압(hPa),최고 해면 기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다 일사 시각(hhmi),1시간 최다 일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(10분위),평균 중하층운량(10분위),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0cm 지중온도(°C),1.5cm 지중온도(°C),3.0cm 지중온도(°C),5.0cm 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),일기현상,안개 계속 시간(hr)
90,속초,2013-01-01,-2.0,-6.7,641,2.5,1352,,,,,0.75,0.0,11.1,250,1432,6.2,250,119,2.5,2139,250,-10.6,38,118,52.3,2.8,1014.7,1019.8,248,1014.0,1326,1017.0,9.6,5.4,,,,,,,,,5.1,3.8,-2.8,-8.5,,,,,,,,,,,,,{눈}1010-1025. {눈}1050-1115. {눈}2355-{눈}{강도0}2400-,
90,속초,2013-01-02,-7.0,-9.8,2341,-1.3,1,,,,,1.17,0.0,14.2,270,737,7.3,250,746,3.9,3391,270,-22.7,19,1109,28.1,1.1,1023.1,1030.1,2355,1017.0,1,1025.4,9.6,9.0,,,,,,,,,0.5,0.5,-5.2,-12.2,,,,,,,,,,,,,-{눈}-0110.,
90,속초,2013-01-03,-7.6,-11.5,716,-3.1,1346,,,,,,,9.3,250,513,5.0,270,502,2.4,2075,250,-22.2,18,1240,30.4,1.0,1028.8,1032.4,1007,1029.7,20,1031.2,9.6,8.9,,,,,,,,,0.0,0.0,-6.3,-13.9,,,,,,,,,,,,,,
90,속초,2013-01-04,-5.2,-10.4,640,0.3,1253,,,,,,,7.2,270,57,4.9,250,104,2.2,1928,250,-17.9,25,1030,36.3,1.5,1025.7,1031.8,313,1024.2,2332,1028.1,9.6,9.0,,,,,,,,,0.0,0.0,-5.6,-12.3,,,,,,,,,,,,,,
90,속초,2013-01-05,-1.8,-7.4,124,1.9,1430,,,,,,,10.2,250,1156,5.8,250,1204,2.3,2007,250,-14.6,25,230,37.0,2.0,1019.0,1024.5,35,1018.3,1528,1021.3,9.6,8.8,,,,,,,,,0.0,0.0,-4.0,-11.0,,,,,,,,,,,,,,
90,속초,2013-01-06,-2.0,-5.4,2242,3.1,1355,,,,,,,8.9,270,532,4.0,270,120,1.8,1543,270,-14.0,28,1022,40.1,2.1,1020.6,1024.4,848,1021.4,125,1022.9,9.6,8.7,,,,,,,,,0.3,0.0,-3.5,-9.8,,,,,,,,,,,,,,
90,속초,2013-01-07,-0.9,-4.8,1,3.3,1447,,,,,,,8.7,270,1542,4.6,250,257,1.8,1554,250,-15.8,18,1225,32.3,1.8,1019.6,1023.4,2314,1020.2,1359,1021.9,9.6,2.6,,,,,,,,,3.6,1.4,-2.7,-10.2,,,,,,,,,,,,,,
90,속초,2013-01-08,-0.4,-4.9,533,4.6,1329,,,,,,,11.2,340,2103,6.1,320,2115,2.2,1931,250,-15.0,21,1247,33.4,1.9,1019.9,1024.4,932,1019.9,2033,1022.2,9.7,8.3,,,,,,,,,1.1,0.0,-2.5,-9.8,,,,,,,,,,,,,,
90,속초,2013-01-09,-4.0,-6.8,805,-0.1,1354,,,,,,,10.5,270,157,6.7,250,215,2.5,2193,250,-20.0,20,1134,28.0,1.3,1020.2,1023.9,2353,1020.7,1352,1022.5,9.7,9.0,,,,,,,,,0.0,0.0,-4.2,-12.0,,,,,,,,,,,,,,
90,속초,2013-01-10,-4.2,-7.8,251,-0.2,1438,,,,,,,9.9,250,105,4.7,270,111,2.2,1936,270,-19.4,21,1513,29.8,1.3,1024.3,1028.5,2315,1023.4,22,1026.6,9.7,9.0,,,,,,,,,0.0,0.0,-5.0,-11.8,,,,,,,,,,,,,,
